index,x,y,z,yaw,distance
0,0,0.00,0.00,0.00,0.00
1,1,0.00,0.00,0.00,0.00
2,2,0.00,0.00,0.00,0.00
3,3,0.00,0.00,0.00,0.00
4,4,0.00,0.00,0.00,0.00
5,5,0.00,0.00,0.00,0.00
6,6,0.00,0.00,0.00,0.00
7,7,0.00,0.00,0.00,0.00
8,8,0.00,0.00,0.00,0.00
9,9,0.00,0.00,0.00,0.00
10,10,0.00,0.00,0.00,0.00
11,11,0.00,0.00,0.00,0.00
12,12,0.00,0.00,0.00,0.00
13,13,0.00,0.00,0.00,0.00
14,14,0.00,0.00,0.00,0.00
15,15,0.00,0.00,0.00,0.00
16,16,0.00,0.00,0.00,0.00
17,17,0.00,0.00,0.00,0.00
18,18,0.00,0.00,0.00,0.00
19,19,0.00,0.00,0.00,0.00
20,20,0.00,0.00,0.00,0.00
21,21,0.00,0.00,0.00,0.00
22,22,0.00,0.00,0.00,0.00
23,23,0.00,0.00,0.00,0.00
24,24,0.00,0.00,0.00,0.00
25,25,0.00,0.00,0.00,0.00
26,26,0.00,0.00,0.00,0.00
27,27,0.00,0.00,0.00,0.00
28,28,0.00,0.00,0.00,0.00
29,29,0.00,0.00,0.00,0.00
30,30,0.00,0.00,0.00,0.00
31,31,0.00,0.00,0.00,0.00
32,32,0.00,0.00,0.00,0.00
33,33,0.00,0.00,0.00,0.00
34,34,0.00,0.00,0.00,0.00
35,35,0.00,0.00,0.00,0.00
36,36,0.00,0.00,0.00,0.00
37,37,0.00,0.00,0.00,0.00
38,38,0.00,0.00,0.00,0.00
39,39,0.00,0.00,0.00,0.00
40,40,0.00,0.00,0.00,0.00
41,41,0.00,0.00,0.00,0.00
42,42,0.00,0.00,0.00,0.00
43,43,0.00,0.00,0.00,0.00
44,44,0.00,0.00,0.00,0.00
45,45,0.00,0.00,0.00,0.00
46,46,0.00,0.00,0.00,0.00
47,47,0.00,0.00,0.00,0.00
48,48,0.00,0.00,0.00,0.00
49,49,0.00,0.00,0.00,0.00
50,50,0.00,0.00,0.00,0.00
51,51,0.00,0.00,0.00,0.00
52,52,0.00,0.00,0.00,0.00
53,53,0.00,0.00,0.00,0.00
54,54,0.00,0.00,0.00,0.00
55,55,0.00,0.00,0.00,0.00
56,56,0.00,0.00,0.00,0.00
57,57,0.00,0.00,0.00,0.00
58,58,0.00,0.00,0.00,0.00
59,59,0.00,0.00,0.00,0.00
60,60,0.00,0.00,0.00,0.00
61,61,0.00,0.00,0.00,0.00
62,62,0.00,0.00,0.00,0.00
63,63,0.00,0.00,0.00,0.00
64,64,0.00,0.00,0.00,0.00
65,65,0.00,0.00,0.00,0.00
66,66,0.00,0.00,0.00,0.00
67,67,0.00,0.00,0.00,0.00
68,68,0.00,0.00,0.00,0.00
69,69,0.00,0.00,0.00,0.00
70,70,0.00,0.00,0.00,0.00
71,71,0.00,0.00,0.00,0.00
72,72,0.00,0.00,0.00,0.00
73,73,0.00,0.00,0.00,0.00
74,74,0.00,0.00,0.00,0.00
75,75,0.00,0.00,0.00,0.00
76,76,0.00,0.00,0.00,0.00
77,77,0.00,0.00,0.00,0.00
78,78,0.00,0.00,0.00,0.00
79,79,0.00,0.00,0.00,0.00
80,80,0.00,0.00,0.00,0.00
81,81,0.00,0.00,0.00,0.00
82,82,0.00,0.00,0.00,0.00
83,83,0.00,0.00,0.00,0.00
84,84,0.00,0.00,0.00,0.00
85,85,0.00,0.00,0.00,0.00
86,86,0.00,0.00,0.00,0.00
87,87,0.00,0.00,0.00,0.00
