time,type,distance
106.216326,L,80.49
106.174463,R,82.17
106.259071,U,93.45
106.301274,R,82.18
106.343096,L,80.47
106.385890,U,96.04
106.427992,R,82.05
106.469800,L,80.42
106.512544,U,96.08
106.554662,R,82.06
106.596509,L,80.42
106.639190,U,93.61
106.681322,R,82.08
106.723193,L,80.40
106.765875,U,93.50
106.808036,R,82.03
106.849826,L,77.86
106.892694,U,96.08
106.934760,R,79.54
106.976589,L,77.85
107.019345,U,93.59
107.061478,R,79.61
107.103284,L,75.31
107.146109,U,93.52
107.188257,R,82.08
107.229988,L,75.36
107.272817,U,93.49
107.315046,R,84.60
107.356631,L,72.90
107.399660,U,96.06
107.441788,R,84.60
107.483408,L,75.31
107.526315,U,96.13
107.568368,R,82.06
107.610031,L,75.31
107.652974,U,96.20
107.695078,R,82.08
107.736758,L,75.32
107.779717,U,96.04
107.821789,R,82.08
107.863421,L,72.87
107.906387,U,93.54
107.948606,R,84.60
107.990187,L,75.32
108.075291,R,84.67
108.033018,U,93.47
108.116857,L,72.77
108.159818,U,93.49
108.201962,R,82.18
108.243673,L,75.34
108.286506,U,93.54
108.370299,L,75.38
108.328640,R,82.01
108.413168,U,93.55
108.455325,R,82.05
108.496997,L,75.31
108.539881,U,93.52
108.582030,R,82.06
108.623761,L,75.31
108.666624,U,93.47
108.708799,R,82.12
108.750495,L,75.38
108.793333,U,93.50
108.835510,R,82.03
108.877204,L,75.27
108.920050,U,93.49
108.962228,R,82.18
109.004039,L,77.86
109.046857,U,93.49
109.130940,L,80.47
109.088990,R,79.68
109.173768,U,96.01
109.215821,R,79.56
109.257713,L,80.49
109.300510,U,96.04
109.342422,R,74.55
109.384448,L,80.40
109.427261,U,96.16
109.469095,R,74.56
109.511158,L,80.42
109.553920,U,96.06
109.595862,R,77.14
109.637741,L,77.93
109.680661,U,98.79
109.722495,R,77.07
109.764446,L,77.88
109.807310,U,96.06
109.849314,R,79.56
109.891054,L,75.41
109.934044,U,98.63
109.976033,R,79.56
110.017785,L,75.34
110.060694,U,96.06
110.102692,R,79.57
110.144463,L,75.31
110.187419,U,96.06
110.229409,R,79.59
110.271171,L,75.34
110.314053,U,96.09
110.356098,R,79.54
110.397841,L,72.78
110.440835,U,96.03
110.482909,R,82.03
110.524489,L,70.23
110.567522,U,96.18
110.609626,R,82.03
110.651062,L,67.69
110.694176,U,96.03
110.736292,R,82.06
110.777958,L,75.39
110.820923,U,96.16
110.863078,R,84.62
110.904879,L,80.47
110.947670,U,96.08
110.989794,R,84.66
111.031540,L,80.35
111.074289,U,93.52
111.116489,R,84.62
111.158092,L,75.27
111.200948,U,93.50
111.243207,R,84.59
111.284640,L,70.26
111.327605,U,93.62
111.369890,R,84.60
111.411318,L,67.72
111.454348,U,93.50
111.496574,R,84.66
111.538092,L,70.30
111.581093,U,93.50
111.623420,R,87.11
111.664792,L,70.23
111.707813,U,93.54
111.750176,R,89.60
111.791520,L,70.23
111.834559,U,93.50
111.876944,R,89.63
111.918273,L,70.24
111.961307,U,93.57
112.003716,R,89.60
112.045088,L,70.21
112.088157,U,96.04
112.130501,R,92.22
112.171723,L,67.69
112.214770,U,93.52
112.257246,R,92.12
112.298430,L,67.70
112.341519,U,93.61
112.384030,R,94.66
112.425138,L,67.70
112.468163,U,90.96
112.510772,R,94.63
112.551873,L,67.69
112.594945,U,93.59
112.637464,R,94.61
112.678548,L,67.67
112.721631,U,93.62
112.805197,L,67.70
112.764127,R,94.70
112.848282,U,93.49
112.890840,R,94.64
112.931997,L,67.79
112.975082,U,93.54
113.017582,R,94.66
113.058674,L,67.63
113.101708,U,93.52
113.144212,R,94.75
113.185295,L,67.74
113.228467,U,96.08
113.270956,R,94.61
113.312029,L,67.70
113.355159,U,96.15
113.397643,R,94.64
113.438665,L,65.18
113.481855,U,93.52
113.524354,R,94.66
113.565405,L,65.20
113.608541,U,93.52
113.650964,R,92.29
113.692015,L,62.62
113.735256,U,93.50
113.777757,R,92.12
113.818728,L,60.08
113.862130,U,96.20
113.904503,R,92.24
113.945632,L,65.30
113.988840,U,96.03
114.031069,R,87.09
114.072510,L,70.21
114.115579,U,96.06
114.157805,R,87.20
114.199386,L,77.99
114.242236,U,96.03
114.284483,R,87.07
114.326101,L,77.83
114.369048,U,98.63
114.411257,R,87.23
114.452680,L,70.38
114.495752,U,95.99
114.538025,R,87.09
114.579253,L,62.69
114.622502,U,93.45
114.664818,R,87.07
114.705979,L,62.62
114.749175,U,93.54
114.791504,R,87.09
114.832864,L,67.74
114.876064,U,98.63
114.918140,R,84.59
114.959566,L,67.67
115.002749,U,98.62
115.044879,R,84.66
115.086301,L,67.81
115.129487,U,98.60
115.171521,R,82.05
115.212982,L,67.70
115.256175,U,98.67
115.298280,R,84.57
115.339694,L,67.72
115.382947,U,98.62
115.425061,R,84.57
115.466492,L,67.70
115.509750,U,98.60
115.551789,R,82.08
115.593228,L,67.72
115.636481,U,101.14
115.678475,R,84.60
115.719910,L,67.81
115.763130,U,98.62
115.805265,R,84.55
115.846711,L,67.81
115.889966,U,98.65
115.932023,R,84.59
115.973349,L,65.13
116.016682,U,98.62
116.058875,R,87.21
116.100258,L,70.24
116.143426,U,98.60
116.185558,R,84.60
116.227306,L,77.90
116.270258,U,98.69
116.312290,R,82.06
116.354199,L,82.93
116.396976,U,98.63
116.439032,R,82.12
116.480776,L,77.90
116.523696,U,98.58
116.565652,R,79.54
116.607372,L,72.77
116.650442,U,98.63
116.692471,R,82.08
116.733960,L,67.67
116.777163,U,98.58
116.819160,R,82.06
116.860710,L,70.33
116.903824,U,98.62
116.945853,R,82.06
116.987439,L,70.21
117.030541,U,98.74
117.072592,R,84.59
117.114037,L,67.65
117.157260,U,98.60
117.199373,R,84.71
117.240766,L,67.70
117.283975,U,98.63
117.326067,R,84.59
117.367497,L,67.70
117.410699,U,98.70
117.452818,R,84.59
117.494297,L,70.24
117.537447,U,98.62
117.579444,R,82.08
117.621005,L,70.23
117.664172,U,98.63
117.706302,R,84.59
117.747822,L,70.21
117.790903,U,96.06
117.833058,R,84.59
117.874582,L,70.30
117.917672,U,96.04
117.959866,R,84.60
118.001236,L,67.67
118.044424,U,96.06
118.086583,R,84.62
118.128090,L,70.26
118.171173,U,96.08
118.254663,L,67.77
118.213302,R,84.71
118.297703,U,93.47
118.339982,R,87.07
118.381340,L,67.69
118.424430,U,93.59
118.466734,R,87.09
118.508146,L,70.23
118.551182,U,93.50
118.593481,R,87.14
118.634853,L,70.26
118.677891,U,96.06
118.720092,R,87.25
118.761458,L,70.23
118.804559,U,96.08
118.847437,R,109.83
118.888225,L,70.19
118.931313,U,95.97
118.974239,R,112.20
119.014923,L,70.21
119.057969,U,96.06
119.101122,R,117.35
119.141646,L,70.33
119.184713,U,96.09
119.231060,R,227.96
119.268351,L,70.23
119.311378,U,96.08
119.395027,L,70.31
119.357823,R,233.11
119.438068,U,96.13
119.484744,R,240.42
119.521738,L,70.23
119.564713,U,93.52
119.611702,R,248.06
119.648291,L,65.27
119.691426,U,93.50
119.749782,R,641.18
119.775379,L,67.70
119.818428,U,93.49
119.876738,R,641.11
119.902559,L,75.48
119.945399,U,93.50
119.991600,R,220.25
120.029330,L,77.88
120.072120,U,93.49
120.115837,R,134.92
120.155852,L,70.21
120.198865,U,93.49
120.242308,R,127.39
120.282338,L,62.66
120.325588,U,93.50
120.368912,R,122.36
120.408962,L,60.08
120.452250,U,93.64
120.495454,R,117.25
120.535792,L,62.57
120.578999,U,93.52
120.621580,R,97.17
120.662393,L,60.15
120.748253,R,94.71
120.705725,U,93.49
120.789139,L,60.03
120.832388,U,93.49
120.874959,R,94.68
120.915837,L,60.08
120.959107,U,93.50
121.001670,R,94.66
121.042592,L,60.07
121.085856,U,93.50
121.128407,R,94.66
121.169289,L,60.05
121.212608,U,93.52
121.255141,R,94.66
121.296011,L,60.05
121.339273,U,93.49
121.381754,R,92.14
121.422710,L,60.10
121.466034,U,93.50
121.508544,R,92.28
121.549420,L,57.56
121.592777,U,93.54
121.635283,R,92.12
121.676246,L,60.08
121.719662,U,96.18
121.762005,R,89.63
121.803250,L,67.72
121.846332,U,93.54
121.888716,R,89.61
121.930182,L,75.32
121.973008,U,90.95
122.015446,R,89.63
122.056804,L,70.33
122.099619,U,88.46
122.142078,R,87.07
122.183362,L,65.18
122.226447,U,90.98
122.268792,R,84.60
122.310047,L,62.62
122.353203,U,90.86
122.395565,R,87.09
122.436930,L,67.62
122.479880,U,88.51
122.522288,R,84.59
122.563695,L,67.70
122.649015,R,84.66
122.606659,U,88.49
122.690397,L,67.62
122.733354,U,88.39
122.775726,R,84.74
122.817127,L,67.76
122.860090,U,90.96
122.902443,R,87.09
122.943768,L,67.77
122.986657,U,88.44
123.029160,R,87.11
123.070524,L,67.67
123.113496,U,88.41
123.155956,R,87.28
123.197363,L,70.24
123.240247,U,88.41
123.282546,R,82.10
123.324097,L,70.21
123.366977,U,88.37
123.409247,R,79.70
123.450890,L,70.24
123.493757,U,88.39
123.536104,R,82.05
123.577683,L,70.23
123.620511,U,88.51
123.662810,R,82.08
123.704325,L,70.26
123.747171,U,88.42
123.789521,R,82.08
123.831056,L,70.24
123.873862,U,88.39
123.916140,R,82.08
123.957669,L,70.24
124.042855,R,82.12
124.000530,U,88.54
124.084432,L,70.33
124.127271,U,88.39
124.169593,R,82.08
124.211168,L,70.26
124.254047,U,88.41
124.296355,R,82.17
124.337901,L,70.28
124.380870,U,90.95
124.464738,L,72.80
124.423115,R,82.10
124.507587,U,90.96
124.549786,R,79.54
124.591445,L,72.78
124.634280,U,91.05
124.676559,R,82.03
124.718214,L,72.82
124.761029,U,90.95
124.803299,R,82.08
124.844876,L,70.26
124.887842,U,90.96
124.930164,R,84.72
