time,type,distance
89.662801,L,131.24
89.620484,R,114.83
89.704027,U,93.43
89.747135,R,114.76
89.789527,L,131.23
89.830785,U,93.69
89.873865,R,114.74
89.916239,L,131.33
89.957454,U,93.45
90.000473,R,112.18
90.042891,L,131.10
90.084131,U,93.64
90.127183,R,112.18
90.169601,L,131.14
90.210792,U,93.47
90.253804,R,112.18
90.296254,L,131.19
90.337494,U,93.50
90.423053,L,133.73
90.380566,R,112.32
90.464221,U,93.52
90.507301,R,112.32
90.549789,L,133.73
90.590948,U,93.54
90.633937,R,109.73
90.676569,L,136.20
90.717743,U,96.03
90.760567,R,107.19
90.803383,L,138.85
90.844572,U,98.55
90.887285,R,104.58
90.930192,L,141.23
90.971279,U,98.53
91.013917,R,102.16
91.057002,L,143.86
91.098034,U,98.58
91.140612,R,102.09
91.183749,L,143.93
91.224733,U,98.79
91.267299,R,99.60
91.310497,L,146.48
91.351433,U,98.53
91.394000,R,99.60
91.437173,L,143.82
91.478183,U,98.57
91.520759,R,99.60
91.563880,L,143.77
91.604855,U,98.50
91.647450,R,102.07
91.690590,L,143.86
91.731608,U,98.82
91.774299,R,104.77
91.817279,L,141.51
91.858334,U,98.63
91.901122,R,107.33
91.943946,L,138.74
91.985128,U,98.58
92.027969,R,109.68
92.070575,L,133.64
92.111811,U,96.06
92.154755,R,112.20
92.197148,L,131.12
92.238526,U,98.55
92.281539,R,114.69
92.323937,L,131.10
92.365355,U,101.16
92.408300,R,117.31
92.450483,L,128.62
92.491974,U,101.24
92.534954,R,117.31
92.577073,L,126.06
92.618598,U,98.55
92.661671,R,119.73
92.703721,L,126.09
92.745275,U,98.60
92.788357,R,119.75
92.830449,L,126.11
92.871946,U,98.55
92.915075,R,119.72
92.957187,L,126.08
92.998783,U,101.31
93.041448,R,107.24
93.083892,L,126.13
93.125441,U,98.58
93.168580,R,119.85
93.210684,L,126.13
93.252200,U,98.53
93.295300,R,119.79
93.337362,L,126.06
93.378790,U,95.94
93.421978,R,119.80
93.464039,L,125.99
93.505588,U,98.53
93.548705,R,119.75
93.590748,L,126.04
93.632266,U,98.55
93.675344,R,119.68
93.717322,L,123.50
93.758937,U,98.67
93.802118,R,122.31
93.844082,L,123.54
93.885681,U,98.58
93.928859,R,122.26
93.970762,L,123.54
94.012275,U,96.22
94.055496,R,119.75
94.097521,L,123.52
94.139026,U,96.04
94.182173,R,119.72
94.224207,L,126.06
94.265691,U,95.99
94.308907,R,119.72
94.350943,L,126.11
94.392387,U,96.04
94.435546,R,117.45
94.477750,L,128.82
94.519070,U,93.47
94.562279,R,117.23
94.604523,L,128.68
94.645930,U,96.03
94.689001,R,114.69
94.731217,L,126.18
94.772763,U,98.57
94.815889,R,119.72
94.857978,L,126.06
94.899537,U,101.09
94.942691,R,124.85
94.984564,L,123.62
95.026209,U,101.28
95.069573,R,129.86
95.111261,L,123.55
95.152898,U,101.11
95.196405,R,134.96
95.238023,L,126.08
95.279625,U,101.05
95.323161,R,137.31
95.364706,L,126.02
95.406319,U,101.11
95.449580,R,127.30
95.491444,L,126.11
95.533003,U,98.72
95.576192,R,122.41
95.618150,L,126.06
95.659595,U,96.04
95.702824,R,119.75
95.744923,L,126.01
95.786258,U,90.89
95.829460,R,114.71
95.871686,L,125.99
95.913158,U,96.20
95.956261,R,117.21
95.998396,L,126.04
96.039870,U,98.60
96.082943,R,117.21
96.125176,L,128.53
96.166449,U,93.45
96.209386,R,107.14
96.251856,L,128.63
96.293166,U,93.50
96.336060,R,107.33
96.378561,L,128.75
96.419837,U,93.49
96.462780,R,109.68
96.505107,L,126.11
96.546660,U,98.53
96.589645,R,114.65
96.631843,L,126.20
96.673371,U,98.60
96.716187,R,109.63
96.758727,L,131.16
96.800103,U,98.58
96.842952,R,109.66
96.885654,L,138.78
96.926761,U,96.01
96.969696,R,109.80
97.012577,L,143.89
97.053560,U,98.82
97.096300,R,107.15
97.139175,L,141.28
97.180263,U,98.58
97.223009,R,107.33
97.265708,L,136.22
97.306970,U,98.53
97.349720,R,107.21
97.392364,L,133.64
97.433636,U,98.58
97.476376,R,107.15
97.519002,L,131.12
97.560365,U,98.50
97.603085,R,107.21
97.645729,L,133.70
97.687108,U,101.30
97.729720,R,104.73
97.772548,L,136.34
97.813839,U,101.12
97.856523,R,107.19
97.899289,L,136.24
97.940565,U,101.21
97.983284,R,109.64
98.026016,L,138.71
98.067236,U,101.19
98.110002,R,109.64
98.152755,L,138.74
98.193939,U,101.12
98.236803,R,114.71
98.279509,L,141.25
98.320673,U,101.19
98.363626,R,117.42
98.406320,L,143.84
98.447428,U,101.18
98.490399,R,117.19
98.533131,L,146.35
98.574098,U,101.09
98.617096,R,119.72
98.659786,L,146.35
98.700793,U,101.12
98.743810,R,119.70
98.786537,L,149.02
98.827533,U,103.66
98.870495,R,119.66
98.915621,L,230.24
98.954299,U,103.68
98.997228,R,119.68
99.042210,L,225.09
99.080967,U,103.63
99.123970,R,119.84
99.168892,L,225.16
99.207671,U,103.91
99.250692,R,122.40
99.295505,L,222.55
99.334401,U,103.70
99.377512,R,124.87
99.422117,L,219.99
99.461051,U,103.61
99.504167,R,124.81
99.548806,L,219.94
99.587783,U,103.63
99.630942,R,124.78
99.675557,L,217.45
99.714597,U,103.63
99.757822,R,127.35
99.802296,L,217.54
99.841327,U,103.85
99.884619,R,129.84
99.929031,L,217.68
99.968054,U,103.65
100.015016,R,257.94
100.055813,L,219.99
100.094783,U,103.84
100.141686,R,255.43
100.193517,L,598.41
100.221926,U,106.24
100.268741,R,255.54
100.319265,L,552.79
100.348970,U,106.29
100.395765,R,253.00
100.446341,L,552.76
100.475731,U,106.20
100.524016,R,305.72
100.573351,L,562.80
100.602490,U,106.27
100.650727,R,305.69
100.700056,L,562.81
100.729196,U,106.31
100.775909,R,250.44
100.818330,L,268.33
100.856269,U,106.31
100.902833,R,248.06
100.945237,L,265.82
100.982974,U,106.43
101.025606,R,109.85
101.069749,L,187.01
101.109689,U,103.68
101.152247,R,104.77
101.196396,L,181.96
101.236436,U,103.73
101.278857,R,99.74
101.323085,L,179.40
101.363104,U,98.60
101.405103,R,82.01
101.449680,L,174.34
101.489807,U,98.72
101.531696,R,77.07
101.576380,L,174.29
101.616471,U,96.23
101.658199,R,69.45
101.700800,L,93.09
101.743244,U,96.09
101.784911,R,66.98
101.827517,L,90.53
101.869993,U,95.99
101.911625,R,66.94
101.954201,L,90.46
101.996582,U,93.50
102.038386,R,69.48
102.080892,L,90.48
102.123272,U,93.49
102.165109,R,69.47
102.207584,L,90.44
102.250012,U,96.03
102.291702,R,67.03
102.334274,L,90.57
102.376707,U,96.13
102.418394,R,66.93
102.461042,L,93.17
102.503487,U,96.08
102.545066,R,64.47
102.587729,L,90.53
102.630249,U,95.99
102.671841,R,64.37
102.714557,L,93.05
102.756919,U,95.99
102.798401,R,61.86
102.841351,L,98.13
102.883610,U,95.99
102.925078,R,59.37
102.968051,L,98.22
103.010207,U,93.55
103.051677,R,59.39
103.094659,L,98.13
103.136872,U,93.61
103.178443,R,61.98
103.221356,L,98.15
103.263497,U,90.89
103.305207,R,61.97
103.348060,L,95.61
103.390294,U,93.43
103.431939,R,64.61
103.474730,L,95.52
103.517025,U,93.43
103.601444,L,93.04
103.558765,R,67.01
103.643782,U,93.43
103.685587,R,69.59
103.728095,L,90.50
103.770438,U,90.95
103.812386,R,71.99
103.854846,L,90.46
103.897054,U,88.47
103.939056,R,71.95
103.981337,L,85.42
104.023724,U,88.44
104.065762,R,71.97
104.107985,L,82.82
104.150419,U,88.44
104.192408,R,71.95
104.234588,L,82.84
104.319235,R,74.55
104.277018,U,85.93
104.361325,L,80.30
104.403806,U,85.88
104.446000,R,74.56
104.488014,L,80.37
104.530555,U,88.37
104.572750,R,76.95
104.614700,L,77.83
104.657434,U,93.43
104.699486,R,76.95
104.741319,L,75.43
104.784136,U,93.45
104.826264,R,79.44
104.868004,L,75.25
104.910868,U,93.33
104.952797,R,74.46
104.994754,L,77.85
105.037534,U,93.52
105.079432,R,72.09
105.121477,L,77.81
105.164268,U,93.47
105.206193,R,72.06
105.248151,L,75.25
105.290961,U,90.86
105.332969,R,74.70
105.374899,L,75.22
105.417691,U,90.91
105.459731,R,74.48
105.501828,L,80.34
105.544430,U,90.89
105.586433,R,74.48
105.628610,L,82.94
105.671206,U,93.57
105.713282,R,79.56
105.755059,L,75.29
105.797879,U,93.59
105.839928,R,77.02
105.881661,L,70.17
105.924663,U,93.61
105.966791,R,79.54
106.008485,L,72.66
106.051514,U,95.96
106.093426,R,77.00
106.134952,L,65.08
106.178146,U,96.06
106.219932,R,71.97
106.261880,L,72.84
106.304897,U,96.08
106.346772,R,74.55
106.388645,L,72.70
106.431748,U,98.58
106.473606,R,77.02
106.515337,L,72.80
106.558289,U,95.99
106.600260,R,76.98
106.642101,L,75.27
106.684980,U,96.03
106.726972,R,76.98
106.768701,L,72.75
106.811649,U,95.99
106.853646,R,76.98
106.895452,L,72.75
106.938434,U,96.11
106.980407,R,77.00
107.022147,L,72.82
107.065089,U,93.45
107.107085,R,77.00
107.148819,L,72.75
107.191692,U,90.89
107.233821,R,76.98
107.275677,L,75.27
107.318551,U,93.40
107.360554,R,76.97
107.402493,L,77.76
107.445281,U,93.45
107.487247,R,74.60
107.529149,L,75.27
107.572014,U,93.42
107.655996,L,80.40
107.613952,R,74.60
107.698685,U,93.40
107.782920,L,88.02
107.740656,R,74.51
107.825444,U,93.55
107.867427,R,74.53
107.909684,L,85.57
107.952263,U,96.11
107.994164,R,74.58
108.036108,L,77.74
108.078922,U,93.47
108.120909,R,77.03
108.162792,L,75.19
108.205655,U,93.49
108.247594,R,74.48
108.289587,L,77.76
108.332320,U,93.64
108.374299,R,74.48
108.416185,L,75.27
108.458993,U,93.43
108.500924,R,74.46
108.542798,L,75.24
108.585639,U,93.61
108.627627,R,74.58
108.669581,L,75.31
108.712395,U,93.49
108.754331,R,74.43
108.796225,L,75.24
108.839064,U,93.47
108.881079,R,76.98
108.922896,L,75.31
108.965809,U,96.03
109.007750,R,76.98
109.049518,L,72.84
109.092478,U,93.45
109.134538,R,77.00
109.176250,L,70.30
109.219239,U,93.52
109.261271,R,76.97
109.303073,L,72.89
109.346029,U,93.45
109.388094,R,77.03
109.429897,L,75.27
109.472722,U,93.42
109.514772,R,77.07
109.556633,L,75.19
109.599474,U,93.45
109.641504,R,77.14
109.683394,L,77.80
109.726133,U,90.89
109.768204,R,76.98
109.809948,L,72.71
109.852835,U,91.07
109.894914,R,77.05
109.936921,L,80.35
109.979530,U,90.95
110.021725,R,79.56
110.063876,L,87.99
110.106321,U,91.05
110.148523,R,79.57
110.190480,L,80.40
110.233116,U,91.08
110.275293,R,79.51
110.317052,L,75.20
110.359785,U,90.91
110.401873,R,76.98
110.443751,L,75.24
110.528629,R,77.03
110.486509,U,90.96
110.570587,L,77.83
110.613342,U,93.54
110.655388,R,77.03
110.697243,L,75.34
110.739996,U,90.91
110.782097,R,76.97
110.823909,L,75.44
110.866703,U,93.43
110.908691,R,76.97
110.950488,L,75.34
110.993270,U,90.89
111.035401,R,76.98
111.077215,L,75.25
111.120035,U,93.49
111.162077,R,77.00
111.203905,L,75.27
111.246764,U,93.66
111.288738,R,74.53
111.330756,L,77.80
111.373436,U,90.89
111.415640,R,79.61
111.457374,L,75.27
111.500198,U,93.43
111.542559,R,89.68
111.584069,L,75.29
111.626919,U,93.45
111.669092,R,82.05
111.710835,L,77.81
111.753644,U,93.43
111.795565,R,71.99
111.837725,L,80.34
111.880428,U,93.61
111.922346,R,74.65
111.964290,L,75.39
112.007093,U,93.47
112.049122,R,77.07
112.090999,L,77.83
112.133756,U,93.59
112.175813,R,79.51
112.217866,L,85.31
112.260390,U,93.43
112.302491,R,79.51
112.344431,L,80.32
112.387141,U,93.43
112.429298,R,82.01
112.470934,L,72.66
112.513890,U,93.47
112.556026,R,79.61
112.597676,L,72.70
112.640611,U,93.55
112.682705,R,79.51
112.724429,L,72.73
112.767434,U,96.06
112.809469,R,79.54
112.851111,L,70.21
112.894119,U,93.47
112.936279,R,82.01
112.977810,L,70.17
113.020810,U,93.47
113.062964,R,81.98
113.104404,L,67.58
113.147481,U,93.50
113.189695,R,84.52
113.231055,L,67.69
113.274192,U,96.06
113.316379,R,84.55
113.357699,L,65.15
113.400948,U,95.97
113.443155,R,84.62
113.484555,L,67.65
113.527771,U,98.57
113.569867,R,84.55
113.611310,L,67.65
113.654478,U,95.97
113.696591,R,82.12
113.738170,L,70.16
113.781332,U,98.57
113.823383,R,82.01
113.865029,L,72.70
113.908064,U,98.65
113.950023,R,79.59
113.991837,L,75.36
114.034778,U,95.99
114.076619,R,71.90
114.118569,L,72.73
114.161537,U,96.18
114.203627,R,82.05
114.245338,L,75.24
114.288279,U,98.58
114.330271,R,79.51
114.372256,L,82.88
114.456990,R,79.57
114.415081,U,101.16
114.498993,L,82.84
114.541744,U,98.63
114.583724,R,79.73
114.625527,L,75.27
114.668475,U,98.63
114.710390,R,79.45
114.752042,L,70.09
114.795216,U,101.12
114.837126,R,79.51
114.878808,L,72.71
114.921973,U,101.11
114.963835,R,79.47
115.005464,L,70.30
115.048642,U,101.12
115.090513,R,79.57
115.132094,L,70.24
115.175196,U,98.65
115.217263,R,82.05
115.258771,L,67.74
115.302016,U,98.63
115.344037,R,82.06
115.385523,L,67.63
115.428717,U,98.51
115.470685,R,79.56
115.512219,L,67.60
115.555401,U,95.99
115.597592,R,84.52
115.639020,L,67.65
115.682161,U,95.97
115.724448,R,89.60
115.765745,L,67.67
115.808787,U,93.49
115.892400,L,67.76
115.851202,R,92.15
115.935587,U,96.06
115.977721,R,84.62
116.019161,L,67.62
116.062311,U,96.03
116.104412,R,82.03
116.145885,L,67.60
116.189071,U,96.09
116.231203,R,84.53
116.272578,L,67.63
116.315666,U,93.49
116.357963,R,87.06
116.399198,L,65.08
116.442382,U,96.18
116.484656,R,87.14
116.526059,L,70.19
116.569136,U,96.01
116.611408,R,86.97
116.653012,L,77.99
116.695864,U,96.01
116.738143,R,87.07
116.779698,L,75.32
116.822581,U,93.43
116.864963,R,89.55
116.906205,L,67.79
116.949352,U,96.03
116.991787,R,92.07
117.032909,L,65.09
117.076076,U,96.03
117.120198,R,152.34
117.159619,L,67.63
117.202751,U,95.99
117.246978,R,155.00
117.286384,L,70.23
117.329352,U,93.66
117.373530,R,152.55
117.413082,L,70.30
117.456127,U,96.08
117.500286,R,152.41
117.539772,L,70.19
117.582877,U,98.51
117.626931,R,152.51
117.666209,L,62.57
117.709582,U,98.55
117.751645,R,82.01
117.792876,L,60.07
117.836241,U,95.99
117.878250,R,79.57
117.919779,L,67.67
117.962879,U,96.11
118.004869,R,79.57
118.046640,L,75.27
118.089598,U,98.69
118.131504,R,77.10
118.173411,L,77.81
118.216332,U,98.58
118.258087,R,71.99
118.300254,L,82.82
118.342994,U,96.08
118.384693,R,69.41
118.427060,L,85.40
118.469803,U,98.55
118.511482,R,69.41
118.553857,L,85.40
118.596536,U,98.58
118.638216,R,69.55
118.680706,L,90.51
118.723226,U,98.63
118.764859,R,69.45
118.807402,L,93.23
118.849842,U,98.63
118.891508,R,69.47
118.934226,L,98.17
118.976574,U,98.55
119.018245,R,69.40
119.061048,L,100.83
119.103278,U,98.51
119.145024,R,71.94
119.188642,L,131.16
119.230037,U,98.60
119.271764,R,71.97
119.315359,L,131.24
119.356782,U,101.18
119.407657,R,391.33
119.442037,L,131.07
119.483514,U,101.05
119.534287,R,388.61
119.568859,L,136.29
119.610152,U,101.12
119.651753,R,69.47
119.695646,L,138.76
119.736908,U,101.12
119.778393,R,67.01
119.822874,L,156.54
119.863502,U,98.60
119.905049,R,66.98
119.949643,L,159.12
119.990170,U,98.77
120.041866,R,416.50
120.076917,L,161.88
120.117363,U,96.08
120.158929,R,64.37
120.203633,L,161.60
120.244054,U,96.15
120.285537,R,61.98
120.330275,L,159.06
120.370810,U,96.06
120.412288,R,59.41
120.456971,L,156.52
120.497566,U,96.08
120.539008,R,59.43
120.583712,L,156.54
120.624271,U,96.08
120.665668,R,56.92
120.710185,L,146.43
120.750930,U,93.61
120.792481,R,59.77
120.836772,L,141.20
120.877585,U,90.91
120.919187,R,59.41
120.963514,L,143.96
121.004314,U,90.95
121.045992,R,61.97
121.090225,L,143.81
121.130983,U,90.98
121.172682,R,61.90
121.217075,L,148.95
121.257821,U,93.45
121.299523,R,64.44
121.343765,L,146.38
121.384487,U,91.00
121.426253,R,67.12
121.470366,L,143.93
121.511177,U,91.15
121.552997,R,66.94
121.595684,L,93.05
121.637889,U,88.37
121.679870,R,69.62
121.722385,L,90.53
121.764642,U,88.41
121.806579,R,69.50
121.849201,L,95.51
121.891320,U,88.34
121.933378,R,71.99
121.976106,L,100.66
122.018110,U,88.32
122.060173,R,71.97
122.102896,L,100.71
122.144797,U,85.80
122.187016,R,74.60
122.230699,L,136.17
122.271559,U,85.83
122.313815,R,77.03
122.357466,L,136.24
122.398369,U,88.39
122.440569,R,77.00
122.484135,L,133.61
122.525101,U,88.49
122.567329,R,79.56
122.610760,L,131.14
122.651861,U,88.42
122.694156,R,82.03
122.737492,L,131.09
122.778562,U,88.49
122.820917,R,82.05
122.864183,L,128.62
122.905396,U,90.91
122.947643,R,82.01
122.990892,L,128.60
123.032093,U,90.91
123.074345,R,82.03
123.117573,L,128.60
123.158758,U,90.91
123.201119,R,84.53
123.244207,L,126.14
123.285470,U,88.35
123.327911,R,87.07
123.370899,L,123.50
123.412230,U,88.42
123.454778,R,89.60
123.497629,L,123.50
