time,deltaX,deltaY,SQUAL,SHUTTER
91.400135,1,2,107,255
91.418345,1,2,98,255
91.456497,1,6,95,255
91.494879,4,6,93,255
91.513080,0,2,95,255
91.578362,2,10,101,255
91.616881,-3,7,104,255
91.635110,0,3,106,255
91.653517,4,4,103,255
91.691731,16,7,104,255
91.729990,21,8,95,255
91.748265,10,5,99,255
91.813040,17,13,110,255
91.861988,2,12,110,255
91.880299,0,7,105,255
91.898522,1,5,103,255
91.936685,7,9,99,255
91.975071,4,9,110,255
91.993337,6,4,105,255
92.058388,4,15,90,255
92.096878,3,8,89,255
92.115115,3,3,85,255
92.133343,3,5,96,255
92.171515,9,9,91,255
92.209887,6,9,89,255
92.228089,1,3,86,255
92.293299,10,18,83,255
92.331799,7,10,84,255
92.349999,0,4,79,255
92.368215,1,6,78,255
92.406470,-2,9,75,255
92.444791,-2,11,80,255
92.470864,-1,10,68,255
92.489196,0,9,72,255
92.527383,2,16,74,255
92.565786,0,12,72,255
92.607605,-1,18,74,255
92.648035,-3,14,79,255
92.686454,-1,13,76,255
92.704657,-1,5,77,255
92.722956,0,7,78,255
92.761143,-4,16,76,255
92.799601,3,15,70,255
92.817802,3,9,68,255
92.843627,3,9,65,255
92.884118,4,19,67,255
92.922526,-1,13,61,255
92.940727,-1,7,58,255
92.958937,-1,8,55,255
92.997132,0,16,60,255
93.035605,4,14,63,255
93.053874,1,6,68,255
93.081176,-1,11,71,255
93.129952,-3,20,70,255
93.168447,0,13,76,255
93.186765,0,9,73,255
93.205032,-1,7,78,255
93.243223,-6,16,80,255
93.281625,0,17,78,255
93.299843,0,6,73,255
93.364867,-3,29,69,255
93.403407,-1,18,61,255
93.421616,0,9,62,255
93.439887,0,6,63,255
93.478048,1,18,57,255
93.516446,1,16,56,255
93.534648,0,7,59,255
93.599943,2,26,53,255
93.638455,5,17,50,255
93.664799,3,8,52,255
93.683051,3,8,56,255
93.721228,1,18,61,255
93.759659,1,16,61,255
93.778081,0,8,62,255
93.796298,0,6,66,255
93.834478,1,17,75,255
93.872872,3,19,78,255
93.914365,6,15,80,255
93.954747,-3,19,77,255
93.993202,-2,18,72,255
94.011403,1,10,75,255
94.029694,3,11,72,255
94.067880,0,19,72,255
94.106273,1,20,76,255
94.124475,0,11,75,255
94.150240,-2,14,67,255
94.190710,-3,20,60,255
94.229149,5,20,64,255
94.255505,5,13,74,255
94.273764,4,10,75,255
94.311940,0,18,81,255
94.350392,-2,19,79,255
94.368812,-5,9,79,255
94.434272,-15,31,89,255
94.472805,0,18,90,255
94.491070,0,6,93,255
94.509281,3,7,90,255
94.547439,2,16,91,255
94.585850,0,18,94,255
94.604053,-2,5,94,255
94.669434,0,29,85,255
94.707946,9,18,92,255
94.726278,6,8,90,255
94.744604,5,8,88,255
94.782796,7,13,91,255
94.821196,8,14,89,255
94.839491,5,9,92,255
94.865776,5,10,94,255
94.904284,2,16,92,255
94.942725,-1,16,99,255
94.984167,4,15,102,255
95.024603,8,14,94,255
95.063016,7,17,102,255
95.081444,0,7,103,255
95.099763,-1,5,101,255
95.137930,-9,16,108,255
95.176317,-10,20,113,255
95.194555,-1,11,122,255
95.257528,0,36,115,255
95.296027,1,26,113,255
95.314235,3,13,102,255
95.332531,3,15,106,255
95.370706,2,22,110,255
95.409094,1,25,105,255
95.427296,0,12,109,255
95.453226,-1,16,109,255
95.491721,-7,25,106,255
95.530036,-5,19,105,255
95.572064,-5,25,98,255
