time,type,distance
86.121094,R,87.06
86.162559,L,72.82
86.205659,U,98.60
86.247862,R,87.09
86.289295,L,70.33
86.332400,U,96.09
86.374658,R,87.13
86.416090,L,70.23
86.459158,U,96.08
86.501364,R,87.21
86.542736,L,67.72
86.585880,U,96.08
86.628167,R,89.68
86.669384,L,67.70
86.712516,U,96.09
86.754873,R,89.58
86.796228,L,70.23
86.839303,U,96.18
86.881573,R,89.63
86.922886,L,70.21
86.966020,U,98.60
87.008254,R,89.60
87.049567,L,70.21
87.092752,U,98.58
87.134883,R,87.13
87.176245,L,70.31
87.219343,U,96.03
87.261583,R,87.09
87.303023,L,70.24
87.346124,U,96.15
87.388353,R,87.09
87.429759,L,70.21
87.472919,U,98.69
87.515091,R,87.23
87.556475,L,70.17
87.599582,U,98.62
87.641743,R,87.11
87.683264,L,72.73
87.726294,U,96.06
87.768434,R,84.59
87.810015,L,72.75
87.853050,U,96.13
87.895261,R,84.57
87.936737,L,70.23
87.979876,U,98.60
88.022046,R,87.11
88.063481,L,70.33
88.106574,U,98.58
88.148702,R,87.11
88.190203,L,72.77
88.233310,U,101.19
88.275416,R,87.11
88.316856,L,72.78
88.359915,U,98.60
88.401970,R,84.59
88.443619,L,75.31
88.486655,U,101.18
88.528719,R,84.60
88.570373,L,75.43
88.613464,U,101.23
88.655374,R,79.52
88.697138,L,75.32
88.740262,U,103.73
88.782109,R,79.57
88.823873,L,75.27
88.866896,U,101.30
88.908813,R,79.54
88.950615,L,75.25
88.993638,U,101.12
89.035485,R,79.56
89.077169,L,72.78
89.120305,U,101.07
89.162233,R,81.96
89.203860,L,72.68
89.246971,U,101.14
89.288948,R,82.18
89.330574,L,72.82
89.373726,U,101.19
89.415660,R,82.10
89.457292,L,72.78
89.500401,U,101.28
89.542279,R,79.57
89.584017,L,75.31
89.627140,U,103.78
89.710607,L,72.84
89.668927,R,79.66
89.753845,U,103.70
89.795685,R,79.57
89.837377,L,72.85
89.880500,U,101.19
89.922360,R,79.57
89.964065,L,72.78
90.007126,U,98.62
90.049104,R,82.08
90.090976,L,80.35
90.133853,U,98.63
90.175899,R,82.06
90.217829,L,82.93
90.260580,U,98.63
90.302639,R,82.06
90.344322,L,75.31
90.387310,U,98.77
90.429354,R,82.05
90.470882,L,70.19
90.514005,U,98.62
90.556003,R,82.08
90.597644,L,72.78
90.640804,U,101.16
90.682715,R,82.06
90.724400,L,75.31
90.767449,U,101.16
90.809477,R,84.59
90.851085,L,75.32
90.894118,U,101.18
90.936211,R,87.11
90.977738,L,75.31
91.020780,U,101.18
91.062879,R,87.16
91.104455,L,75.29
91.147565,U,101.16
91.189647,R,87.04
91.231153,L,72.78
91.274369,U,103.84
91.316418,R,87.07
91.357861,L,72.77
91.401007,U,101.23
91.443171,R,89.63
91.484575,L,72.78
91.527733,U,101.16
91.569813,R,87.07
91.611324,L,72.71
91.654424,U,101.18
91.696517,R,87.13
91.737954,L,72.78
91.781058,U,101.14
91.823109,R,87.07
91.864586,L,72.78
91.907723,U,101.16
91.949816,R,87.13
91.991267,L,72.77
92.034379,U,101.19
92.076471,R,87.14
92.117958,L,72.75
92.161133,U,101.16
