time,deltaX,deltaY,SQUAL,SHUTTER
52.906219,-333,-64,98,255
52.924603,2,-1,97,255
52.942809,0,0,94,255
52.980954,-3,-1,101,255
53.019352,-1,0,90,255
53.037770,0,0,91,255
53.103006,-9,0,95,255
53.141543,-8,4,97,255
53.159794,-3,1,97,255
53.178079,-5,1,95,255
53.216235,-14,1,94,255
53.254636,-8,1,88,255
53.272838,-7,0,86,255
53.337809,-15,0,86,255
53.376345,-1,1,94,255
53.394611,0,1,90,255
53.412847,2,1,92,255
53.450993,4,1,92,255
53.489344,-1,1,92,255
53.507545,-2,0,86,255
53.572603,0,1,87,255
53.621483,0,1,86,255
53.639829,2,0,87,255
53.658049,3,0,88,255
53.696175,0,0,90,255
53.734550,0,0,89,255
53.752762,1,0,87,255
53.819404,1,-1,90,255
53.857945,0,-1,91,255
53.876152,0,0,91,255
53.894446,-1,0,93,255
53.932593,-2,0,93,255
53.970994,-2,0,87,255
53.989333,-1,0,87,255
54.054119,1,1,91,255
54.092613,4,3,96,255
54.110891,0,0,91,255
54.129100,-2,1,88,255
54.167246,-1,1,89,255
54.205630,2,4,92,255
54.223836,2,0,94,255
54.288859,1,0,95,255
54.327346,1,0,95,255
54.345765,0,0,93,255
54.364039,0,0,98,255
54.412578,-1,-1,89,255
54.451066,0,-2,89,255
54.469271,0,0,88,255
54.534183,3,4,94,255
54.572651,4,3,89,255
54.590851,0,2,90,255
54.609086,-2,5,92,255
54.647243,-1,7,86,255
54.685526,1,6,90,255
54.703777,2,7,99,255
54.768766,2,6,96,255
54.807287,3,4,99,255
54.825565,0,2,102,255
54.843767,1,3,95,255
54.881915,3,2,95,255
54.920330,1,4,98,255
54.938530,3,1,96,255
55.003556,15,12,109,255
55.042054,7,8,95,255
55.060464,0,2,105,255
55.078738,-2,6,100,255
55.116923,-9,8,105,255
55.165747,-10,16,107,255
55.184042,-3,6,109,255
55.248987,0,20,92,255
55.287449,3,10,92,255
55.305661,4,5,97,255
55.323884,5,9,98,255
55.362035,2,14,100,255
55.400275,-4,11,99,255
55.418525,-6,7,104,255
55.483264,-30,17,94,255
55.521770,-4,16,96,255
55.540054,4,3,93,255
55.558278,5,6,93,255
55.596430,14,12,107,255
55.634822,2,13,108,255
55.653022,-4,6,107,255
55.718125,-18,28,93,255
55.756640,-1,15,93,255
55.774858,2,5,98,255
55.793136,5,9,98,255
55.831325,4,13,90,255
55.880142,-2,17,96,255
55.898466,-4,9,93,255
55.964529,-8,28,97,255
56.003025,4,20,100,255
56.021241,3,4,96,255
56.039461,3,8,103,255
56.077623,0,18,102,255
56.115982,-6,16,99,255
56.134244,-4,9,101,255
56.199036,-1,27,93,255
56.237549,1,18,96,255
56.255812,3,6,93,255
56.274030,2,6,90,255
56.312174,-3,13,94,255
56.350549,-5,14,92,255
56.368751,-3,8,95,255
56.434037,-10,25,79,255
56.472546,0,13,78,255
56.490749,2,7,81,255
56.509021,1,4,79,255
56.547172,8,13,89,255
56.595867,6,12,88,255
56.614154,-1,7,81,255
56.679811,-12,24,94,255
56.718343,-6,16,95,255
56.736546,-3,8,101,255
56.754770,0,5,90,255
56.792931,5,15,83,255
56.831326,0,16,78,255
56.849603,0,9,78,255
56.914633,-11,29,79,255
56.953152,-3,19,74,255
56.971390,-1,7,73,255
56.989621,-4,11,72,255
57.027805,-8,19,77,255
57.066214,-6,18,83,255
57.084414,-1,6,83,255
57.149442,7,29,72,255
57.187943,3,17,75,255
57.206143,0,8,72,255
57.224387,-3,10,75,255
57.272959,-3,18,65,255
57.311434,-4,16,59,255
57.329662,0,4,56,255
57.394385,10,21,64,255
