time,type,distance
53.717639,U,108.74
53.759585,R,89.56
53.800892,L,70.17
53.844328,U,108.74
53.886297,R,89.49
53.927588,L,67.63
53.971133,U,108.88
54.013055,R,89.60
54.054292,L,67.76
54.097750,U,106.32
54.139729,R,89.58
54.180942,L,67.62
54.224392,U,106.38
54.266436,R,89.44
54.307699,L,67.60
54.351112,U,106.36
54.393135,R,89.53
54.434348,L,67.62
54.477742,U,106.20
54.519753,R,89.51
54.560970,L,67.63
54.604373,U,106.22
54.646434,R,89.65
54.687713,L,67.89
54.731120,U,106.27
54.773207,R,92.19
54.814431,L,67.60
54.857843,U,106.24
54.899941,R,92.10
54.941071,L,65.27
54.984533,U,106.17
55.026592,R,92.05
55.067698,L,65.06
55.111163,U,106.20
55.153274,R,92.09
55.194384,L,65.11
55.237907,U,106.17
55.279963,R,89.53
55.321200,L,67.63
55.364601,U,106.31
55.406606,R,89.55
55.447826,L,67.72
55.491149,U,103.65
55.533285,R,89.53
55.574612,L,70.17
55.617922,U,103.65
55.659976,R,87.04
55.701381,L,70.14
55.744697,U,103.59
55.786706,R,87.01
55.828137,L,72.68
55.871400,U,106.19
55.913314,R,84.60
55.954830,L,72.68
55.998111,U,106.31
56.039946,R,82.22
56.081599,L,72.77
56.124884,U,106.19
56.166646,R,81.99
56.208292,L,72.70
56.251612,U,106.12
56.293409,R,82.03
56.335064,L,72.73
56.378385,U,106.22
56.420203,R,81.99
56.461779,L,72.70
56.505093,U,108.80
56.588434,L,72.78
56.546799,R,82.08
56.673504,R,82.03
56.631885,U,111.37
56.715121,L,72.68
56.758470,U,108.88
56.800179,R,82.01
56.841785,L,72.70
56.885101,U,108.73
56.926872,R,84.52
56.968355,L,70.17
57.011762,U,108.74
57.053577,R,84.53
57.095010,L,70.17
57.138341,U,106.13
57.180174,R,84.52
57.221646,L,70.17
57.264972,U,106.19
57.306823,R,84.52
57.348259,L,67.77
57.391642,U,103.68
57.433626,R,84.69
57.475106,L,70.11
57.518424,U,106.15
57.560303,R,84.55
57.601759,L,70.14
57.645085,U,106.15
57.686922,R,84.71
