time,gyro x,gyro y,gyro z,accel x,accel y, accel z
16.4530,-0.1678,2.7700,-1.7580,3.3140,-14.0747,16.2968
16.5560,-0.2976,0.3655,1.1733,3.8022,-9.6802,-2.7462
16.6530,1.3818,-1.7109,0.2496,5.7554,-7.7271,-4.2111
16.7530,-2.6182,-0.1842,-1.4069,6.2437,-12.1216,-0.7931
16.8530,-0.0991,0.6861,-1.8954,-3.0337,-6.2622,10.4374
16.9530,0.3054,0.2586,1.0969,-7.4282,-6.2622,3.1132
17.0530,0.2138,-1.3826,-1.0023,-0.5923,-11.1450,7.5077
17.1530,2.1528,1.6250,4.0893,-1.0806,-3.3325,-5.1876
17.2530,-0.5877,1.2586,-0.1168,4.7788,3.0151,5.5546
17.3530,1.5039,-0.5811,2.2878,-6.4517,-15.0513,5.5546
17.4530,0.2444,-0.5048,0.3030,-5.9634,8.8745,2.1366
17.5530,2.0001,-0.2376,1.0206,-2.0571,-14.0747,0.1835
17.6530,-0.2213,2.5563,0.0588,-8.4048,-3.3325,9.4608
17.7530,-1.6335,1.2662,-1.5367,-14.2642,10.3394,5.0663
17.8530,4.6566,-0.3445,1.0053,-7.9165,-6.7505,-32.0431
17.9530,-1.2213,1.4342,-1.1015,5.2671,2.0386,0.6718
18.0530,0.4886,2.8311,-1.5748,-5.4751,-5.7739,-3.2345
18.1530,2.3283,4.7929,-7.7580,-54.7915,-22.8638,55.8475
18.2530,0.5344,-4.1002,-6.1397,-84.5767,34.2651,38.7577
18.3530,1.1833,-1.2071,0.2878,-5.4751,15.7104,13.3671
18.4530,-1.0915,0.3731,-1.2084,-5.4751,7.8979,-5.6759
18.5530,0.9696,2.1899,0.2038,-2.0571,-11.6333,1.6483
18.6530,1.3207,0.1212,3.9595,-1.0806,3.0151,-0.7931
18.7530,0.3283,-0.1842,2.8145,-25.0063,3.0151,-1.2814
18.8530,2.4734,-1.7185,0.5473,-2.5454,8.8745,0.1835
18.9530,-2.2136,1.5181,1.4404,7.2202,7.4097,2.6249
19.0530,0.6413,1.3807,1.2267,-8.8931,10.8276,5.0663
19.1530,-0.6946,-2.7262,1.0588,-5.4751,5.9448,-3.2345
19.2530,1.3665,0.5029,0.1809,-9.8696,3.9917,2.1366
19.3530,-1.0457,0.1441,-0.4069,-5.9634,6.9214,7.0194
19.4530,-0.3358,-0.9323,-1.0023,-4.4985,3.9917,7.0194
19.5530,1.2825,-0.6651,-1.9336,-10.3579,8.8745,1.6483
19.6530,0.8932,-0.9246,-1.0099,-20.6118,3.0151,7.9960
19.7530,0.9848,1.6937,-0.1779,-7.9165,2.5269,7.0194
19.8530,-0.3434,0.6250,-1.2008,0.3843,10.3394,-7.6290
19.9530,0.9925,-1.5200,-1.2848,5.7554,7.8979,2.6249
20.0530,1.1833,-0.6880,-1.5061,-14.7524,6.9214,-0.3048
20.1530,-0.4427,-0.3674,-1.9870,-9.3813,-3.3325,-4.2111
20.2530,-0.6259,1.5487,-2.9412,-21.1001,-0.8911,3.6014
20.3530,0.6871,1.6555,-1.2848,-4.0103,8.8745,-3.7228
20.4530,-0.3358,-1.3445,0.2878,-11.8228,-0.8911,-5.1876
20.5530,2.2902,0.1212,0.2649,7.2202,9.3628,3.6014
20.6530,0.2596,0.3502,-0.4527,-6.9399,9.3628,9.9491
20.7530,0.2291,-2.1918,1.5244,-12.3110,-9.6802,-2.2579
20.8530,0.4047,1.4265,-0.2161,3.3140,1.5503,-12.0236
20.9530,-1.0991,1.4418,-0.2161,-4.0103,6.9214,-5.1876
21.0530,-0.7404,4.9685,1.9290,1.3608,-1.8677,5.5546
21.1530,-1.0839,-0.1231,-1.0481,-5.4751,0.0854,-2.2579
21.2530,-3.9465,-8.0620,0.8908,-59.6743,48.9136,133.9725
21.3530,-16.6488,16.2509,-166.1931,-35.7485,278.8940,31.9218
21.4530,-3.4503,3.7700,3.8068,-445.4165,-114.1724,-41.3204
21.5530,-3.5648,-3.1613,4.2114,-55.2798,74.3042,53.8944
21.6530,1.4047,-1.5887,0.3412,6.7319,-3.3325,-1.2814
21.7530,0.7864,0.3502,-5.5443,-13.7759,6.9214,-10.5587
21.8530,-0.7785,1.8082,-25.7657,-224.2251,-78.5278,-158.0197
21.9530,8.0306,7.1212,-138.4298,507.2202,-442.7856,-249.3282
22.0530,1.2902,-3.8407,-16.9489,607.3179,393.1519,69.0311
22.1530,0.6031,0.0754,0.1122,-57.7212,-48.2544,-17.3947
22.2530,0.2902,2.1822,2.3107,-23.5415,7.8979,11.4139
