Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
4.43,0.00,-0.00,-0.00,-0.01,-0.00,1.03
4.43,0.00,0.00,-0.00,-0.00,-0.02,1.02
4.44,-0.00,0.00,-0.00,0.01,0.00,1.02
4.45,-0.00,0.00,-0.00,0.01,0.00,1.01
4.46,-0.00,0.00,-0.00,0.02,0.01,1.02
4.47,-0.00,0.00,-0.00,0.01,0.02,1.02
4.47,0.00,0.00,0.00,0.02,-0.02,1.02
4.48,0.00,-0.00,-0.00,-0.00,-0.01,1.02
4.49,-0.00,-0.00,-0.00,0.00,0.01,1.02
4.50,0.00,-0.00,0.00,-0.01,-0.00,1.02
4.51,0.00,0.00,-0.00,-0.01,-0.01,1.04
4.51,0.00,0.00,0.00,0.01,-0.01,1.01
4.52,-0.00,0.00,0.00,0.00,-0.01,1.03
4.53,0.00,0.00,0.00,-0.00,-0.02,1.03
4.54,0.00,-0.00,0.00,0.02,0.01,1.01
4.55,0.00,0.00,0.00,0.00,0.00,1.01
4.55,-0.00,0.00,-0.00,0.01,-0.01,1.01
4.56,-0.00,0.00,-0.00,-0.01,-0.01,1.01
4.57,-0.00,-0.00,-0.00,-0.01,-0.01,1.02
4.58,-0.00,-0.00,-0.00,0.00,0.00,1.02
4.59,-0.00,0.00,-0.00,0.01,0.01,1.01
4.59,-0.00,0.00,-0.00,0.00,0.00,1.00
4.60,-0.00,0.00,-0.00,0.00,-0.00,1.00
4.61,-0.00,0.00,-0.00,0.01,0.00,1.03
4.62,-0.00,-0.00,-0.00,0.00,0.00,1.02
4.62,-0.00,0.00,-0.00,0.01,-0.01,1.02
4.63,0.00,-0.00,-0.00,-0.01,-0.00,1.01
4.64,-0.00,0.00,-0.00,-0.01,-0.01,1.01
4.65,-0.00,0.00,-0.00,0.00,-0.01,1.02
4.66,-0.00,0.00,-0.00,-0.01,-0.02,1.02
4.66,-0.00,0.00,0.00,-0.00,-0.00,1.00
4.67,-0.00,-0.00,-0.00,0.00,0.00,1.03
