Timestamp(us)	AccelX(g)	AccelY(g)	AccelZ(g)	GyroX(dps)	GyroY(dps)	GyroZ(dps)
2510893	-0.0122	0.0049	1.0088	0.7935	-0.6714	-0.061
2754113	-0.0117	0.0078	1.0088	0.7935	-0.7324	-0.061
3036016	-0.0137	0.0088	1.0044	0.9155	-0.6714	-0.2441
3176038	-0.0186	0.0073	1.0098	0.7935	-0.6714	-0.3662
3186020	-0.0112	0.0083	1.0073	0.8545	-0.6714	-0.1221
3196043	-0.0137	0.0073	1.0063	0.7935	-0.7324	-0.061
3206016	-0.0098	0.0068	1.0078	0.7324	-0.5493	-0.2441
3216051	-0.0117	0.0049	1.0083	0.8545	-0.6714	-0.2441
3226016	-0.0151	0.0054	1.0073	0.6714	-0.7324	-0.1221
3238038	-0.0137	0.0054	1.0039	0.6714	-0.7324	-0.1221
3248016	-0.0161	0.0078	1.0059	0.8545	-0.6714	-0.1221
3258043	-0.0137	0.0049	1.0063	0.8545	-0.6714	-0.1221
3268020	-0.0166	0.0044	1.0098	0.6104	-0.6714	-0.3052
3278038	-0.0132	0.0054	1.0039	0.6104	-0.5493	-0.1831
3288016	-0.0122	0.0049	1.0073	0.6714	-0.8545	-0.061
3298038	-0.0156	0.0039	1.0083	0.7324	-0.7324	0.061
3308020	-0.0117	0.0044	1.0068	0.7324	-0.8545	-0.1831
3318038	-0.0112	0.0068	1.0054	0.7324	-0.7935	-0.1831
3330016	-0.0137	0.0049	1.0063	0.7935	-0.8545	-0.1831
3340043	-0.0142	0.0088	1.0059	0.7935	-0.8545	-0.2441
3350035	-0.0132	0.0044	1.0093	0.7324	-0.9155	-0.2441
3360038	-0.0132	0.0054	1.0078	0.7324	-0.9155	-0.2441
3370016	-0.0117	0.0063	1.0054	0.8545	-0.6104	-0.1831
3380043	-0.0142	0.0073	1.0088	0.9155	-0.9766	-0.3052
3390020	-0.0146	0.0059	1.0093	0.6714	-0.9155	0.061
3400038	-0.0127	0.0088	1.0049	0.7324	-0.9155	-0.2441
3410016	-0.0146	0.0054	1.0054	0.7935	-0.6714	-0.1831
3420038	-0.0151	0.0059	1.0063	0.6714	-0.7324	-0.1221
3432016	-0.0161	0.0029	1.0068	0.6714	-0.7935	-0.1221
3442038	-0.0112	0.0049	1.0078	0.6714	-0.6714	-0.061
3452020	-0.0132	0.0029	1.0083	1.0376	-0.8545	-0.1831
3462043	-0.0122	0.0054	1.0088	0.7935	-0.8545	-0.3052
3473016	-0.0156	0.0088	1.0039	0.7935	-0.8545	-0.2441
3483038	-0.0146	0.0044	1.0049	0.6104	-0.6104	-0.061
3493016	-0.0151	0.0083	1.0093	0.7324	-0.7324	0
3503043	-0.0142	0.001	1.0098	0.7935	-0.7935	-0.2441
3513016	-0.0112	0.0093	1.0063	0.8545	-0.6714	-0.061
3523038	-0.0132	0.0063	1.0063	0.9155	-0.9155	-0.2441
3535020	-0.0146	0.0049	1.0073	0.6714	-0.6104	-0.1221
3545043	-0.0137	0.0034	1.0059	0.8545	-0.7324	0
3555016	-0.0146	0.0063	1.0059	0.6714	-0.6104	-0.2441
3565038	-0.0132	0.0039	1.0073	0.7324	-0.5493	-0.1221
3575020	-0.0103	0.0049	1.0083	0.6714	-0.7935	-0.1221
3585043	-0.0137	0.0054	1.0044	0.7935	-0.8545	-0.061
3595016	-0.0137	0.0059	1.0068	0.6714	-0.4883	-0.1831
3605038	-0.0137	0.0063	1.0068	0.7324	-0.6714	-0.1831
3615016	-0.0132	0.0054	1.0044	0.6714	-0.7935	-0.1221
3627029	-0.0142	0.0039	1.0073	0.6104	-0.6714	-0.3052
3637020	-0.0132	0.0078	1.0107	0.7324	-0.7324	0.1221
3647038	-0.0107	0.0063	1.0098	0.7324	-0.7324	-0.1221
3657031	-0.0137	0.0063	1.0054	0.8545	-0.6714	-0.1221
3667029	-0.0137	0.0054	1.0073	0.8545	-0.7324	0
3677020	-0.0132	0.0034	1.0088	0.6714	-0.6714	-0.3052
3687029	-0.0142	0.0063	1.0059	0.7935	-0.6104	-0.1831
3697031	-0.0151	0.0044	1.0073	0.7935	-0.6104	0
3707029	-0.0142	0.0068	1.0044	0.8545	-0.7324	-0.061
3717020	-0.0146	0.0068	1.0039	0.6714	-0.7324	-0.1221
3729038	-0.0117	0.0073	1.002	0.7935	-0.6104	-0.1831
3739031	-0.0117	0.0059	1.0015	0.7935	-0.7324	-0.1221
3749029	-0.0127	0.002	1.0063	0.7935	-0.9155	-0.3662
3759020	-0.0122	0.0063	1.0088	0.9155	-0.6714	-0.1221
3769038	-0.0142	0.0049	1.0073	0.6714	-0.7935	-0.1221
3779031	-0.0142	0.0059	1.0103	0.6714	-0.6714	-0.1221
3789029	-0.0146	0.0063	1.0015	0.7324	-0.6714	-0.1221
3799020	-0.0146	0.0039	1.0083	0.7324	-0.8545	-0.1221
3809029	-0.0122	0.0054	1.0088	0.7324	-0.7324	0
3819031	-0.0146	0.0078	1.0063	0.6104	-0.6714	-0.1221
3831038	-0.0151	0.0054	1.0034	0.7324	-0.6104	-0.1221
3841031	-0.0166	0.0063	1.0063	0.7324	-0.8545	-0.1221
3851043	-0.0132	0.0039	1.0073	0.7324	-0.7324	0
3861031	-0.0166	0.0034	1.0063	0.6714	-0.4883	-0.061
3871038	-0.0122	0.0068	1.0044	0.7935	-0.6714	-0.1221
3881031	-0.0166	0.0044	1.0044	0.8545	-0.7324	-0.061
3891043	-0.0146	0.0015	1.0068	0.9155	-0.7935	-0.2441
3901031	-0.0161	0.0034	1.0083	0.8545	-0.7935	0.061
3911029	-0.0117	0.0068	1.0068	0.7324	-0.7935	-0.2441
3919593	-0.0132	0.0049	1.0063	0.7935	-0.6714	-0.3052
3929040	-0.0127	0.0059	1.0054	0.7935	-0.6714	0
3939012	-0.0122	0.0073	1.0059	0.7935	-0.8545	-0.061
3949043	-0.0142	0.0029	1.0068	0.8545	-0.7324	-0.3052
3959016	-0.0146	0.0059	1.0073	0.6714	-0.6104	-0.1221
3969025	-0.0112	0.0054	1.0083	0.8545	-0.6714	-0.061
3979012	-0.0132	0.0044	1.0054	0.7935	-0.6104	-0.3662
3989021	-0.0117	0.0078	1.0083	0.6714	-0.7324	-0.3052
3999016	-0.0146	0.0039	1.0059	0.9155	-0.7935	-0.061
4009025	-0.0107	0.0073	1.0059	0.6714	-0.7935	-0.061
4021060	-0.0112	0.0059	1.0098	0.7935	-0.6714	0.061
4031021	-0.0142	0.0088	1.0049	0.7935	-0.8545	-0.1221
4041016	-0.0137	0.0059	1.0107	0.8545	-0.7935	-0.061
4051021	-0.0112	0.0044	1.0083	0.7324	-0.4883	-0.1831
4061012	-0.0098	0.0044	1.0059	0.6714	-0.7935	-0.2441
4071021	-0.0166	0.0024	1.0049	0.8545	-0.7935	-0.2441
4081016	-0.0156	0.0063	1.0098	0.6104	-0.7324	-0.061
4091025	-0.0156	0.0054	1.0088	0.7324	-0.9155	-0.2441
4101012	-0.0103	0.0073	1.0068	0.7935	-0.7324	-0.2441
4111025	-0.0122	0.0044	1.0093	0.7935	-0.6714	-0.1831
4123086	-0.0151	0.001	1.0039	0.7935	-0.7935	-0.1831
4133017	-0.0146	0.0034	1.0073	0.7935	-0.5493	-0.1221
4143008	-0.0151	0.0024	1.0068	0.7935	-0.6714	-0.2441
4153021	-0.0127	0.0078	1.0063	0.8545	-0.6714	-0.1221
4163024	-0.0112	0.0039	1.0059	0.7324	-0.7324	0
4173017	-0.0142	0.0088	1.0122	0.6714	-0.9766	-0.061
4183008	-0.0132	0.0078	1.0083	0.6714	-0.7935	-0.1221
4193021	-0.0142	0.0049	1.0083	0.6714	-0.7324	-0.1831
4203012	-0.0112	0.0088	1.0083	0.7324	-0.6714	-0.061
4213017	-0.0156	0.0044	1.0029	0.7324	-0.6714	-0.2441
4225058	-0.0142	0.0059	1.0049	0.5493	-0.7935	-0.1831
4235021	-0.0127	0.0054	1.0098	0.6714	-0.7324	-0.2441
4245008	-0.0132	0.001	1.0088	0.6104	-0.7324	0.061
4255017	-0.0127	0.0073	1.0073	0.4883	-0.6714	0
4265008	-0.0112	0.0054	1.0063	0.8545	-0.7324	-0.1831
4275021	-0.0137	0.0039	1.0083	0.8545	-0.6104	-0.2441
4285012	-0.0132	0.0088	1.0059	0.7935	-0.6714	0
4295013	-0.0166	0.0044	1.0083	0.7324	-0.5493	-0.3662
4305012	-0.0137	0.0073	1.0029	0.7324	-0.6714	0.061
4317013	-0.0137	0.0068	1.0054	0.8545	-0.7935	0
4327039	-0.0156	0.0093	1.0049	0.8545	-0.6714	-0.2441
4337013	-0.0137	0.0049	1.0068	0.8545	-0.7324	-0.1831
4347016	-0.0176	0.0059	1.0088	1.0376	-0.7935	-0.1221
4357017	-0.0142	0.0039	1.0073	0.6714	-0.7324	-0.061
4367012	-0.0132	0.0049	1.0078	0.8545	-0.6104	-0.061
4378013	-0.0161	0.0049	1.0059	0.8545	-0.7935	-0.3052
4388016	-0.0156	0.0029	1.0068	0.8545	-0.9155	-0.1221
4398017	-0.0122	0.0059	1.0049	0.8545	-0.7324	-0.1221
4408012	-0.0142	0.0068	1.0098	0.7935	-0.8545	-0.2441
4420013	-0.0146	0.0039	1.0029	0.7324	-0.7324	-0.1831
4430067	-0.0112	0.0063	1.0049	0.6104	-0.8545	-0.1831
4440013	-0.0098	0.0112	1.0093	0.7935	-0.7324	-0.061
4450012	-0.0156	0.0068	1.0049	0.9155	-0.7324	0
4460013	-0.0117	0.0093	1.0088	0.7324	-0.8545	0.061
4470016	-0.0156	0.0049	1.0054	1.0376	-0.7324	-0.1831
4480017	-0.0137	0.0024	1.0063	0.6714	-0.9155	0
4490012	-0.0146	0.0083	1.0054	0.8545	-0.8545	-0.1831
4500013	-0.0142	0.0073	1.0088	0.6714	-0.7935	-0.061
4510016	-0.0132	0.0054	1.0059	0.8545	-0.6104	-0.2441
4522013	-0.0127	0.0073	1.0029	0.6714	-0.7324	0
4532068	-0.0137	0.0068	1.0068	1.0376	-0.6104	-0.1831
4542017	-0.0112	0.0063	1.0078	0.9766	-0.8545	-0.1221
4552016	-0.0083	0.0073	1.0044	0.6104	-0.7324	-0.1221
4562013	-0.0142	0.0039	1.0059	0.7935	-0.7935	-0.1221
4572012	-0.0146	0.0073	1.0073	0.7324	-0.6104	-0.1221
4582017	-0.0137	0.0063	1.0093	0.7935	-0.8545	-0.061
4592016	-0.0132	0.0068	1.0088	0.5493	-0.8545	-0.061
4602013	-0.0137	0.0049	1.0088	0.5493	-0.7324	-0.061
4612331	-0.0146	0.0029	1.0112	0.8545	-0.8545	-0.1831
4622017	-0.0127	0.0083	1.002	0.7324	-0.7935	-0.1221
4632016	-0.0127	0.0054	1.0142	0.7935	-0.6714	-0.061
4642013	-0.0166	0.0093	1.0029	0.9155	-0.6714	-0.1221
4652012	-0.0166	0.0049	1.0073	0.7324	-0.7324	-0.2441
4662017	-0.0122	0.0063	1.0112	0.6714	-0.8545	-0.1221
4672016	-0.0151	0.0073	0.9976	0.8545	-0.7324	-0.061
4682004	-0.0137	0.0063	1.0122	0.7935	-0.9155	0
4692012	-0.0117	0.0112	0.9966	0.7324	-0.5493	-0.1221
4702004	-0.0146	0.0054	1.0112	0.7324	-0.6714	-0.1831
4725887	-0.0122	0.0068	1.0078	0.6104	-0.6714	0
4738433	-0.0132	0.0068	1.0024	0.9155	-0.6714	-0.3052
4750403	-0.0166	0.0049	1.0107	0.6714	-0.8545	-0.3052
4762399	-0.0112	0.0068	1.0049	0.6714	-0.6714	-0.061
4774399	-0.0146	0.0044	1.0098	0.5493	-0.7324	-0.061
4786411	-0.0146	0.0068	1.0073	0.8545	-0.7935	-0.1221
4798403	-0.0176	0.0039	1.0107	0.7935	-0.7935	-0.061
4810399	-0.0156	0.0054	1.0059	0.7324	-0.6714	-0.1221
4822399	-0.0146	0.0078	1.0054	0.6104	-0.7324	-0.1221
4834403	-0.0132	0.0015	1.0024	0.8545	-0.7935	-0.1831
4848399	-0.0122	0.0054	1.0054	0.9766	-0.7935	0
4860399	-0.0112	0.0029	1.0073	0.6714	-0.7324	-0.1221
4872414	-0.0112	0.0078	1.0073	0.9155	-0.8545	0.061
4884403	-0.0127	0.0073	1.0088	0.7324	-0.7935	-0.1221
4896399	-0.0156	0.0039	1.0044	0.6714	-0.8545	-0.1831
4908399	-0.0146	0.0054	1.0088	0.9155	-0.7324	-0.1831
4920403	-0.0171	0.0044	1.0117	0.7324	-0.9155	-0.061
4932403	-0.0166	0.0054	1.0093	0.7935	-0.6714	-0.2441
4944487	-0.0127	0.0049	1.0088	0.7935	-0.8545	-0.061
4958399	-0.0146	0.0054	1.0073	0.6104	-0.5493	-0.061
