index,x,y,z,yaw,distance
24.2120,-0.0002,0.0009,0.0003,-0.0167,0.0190
24.3120,0.0006,-0.0001,-0.0008,-0.0071,0.0094
24.4120,-0.0005,0.0004,0.0005,0.0001,-0.0073
24.5120,-0.0002,0.0009,-0.0003,0.0072,-0.0121
24.6120,0.0003,-0.0015,0.0005,0.0049,-0.0001
24.7120,-0.0005,0.0004,0.0008,-0.0071,-0.0025
24.8120,0.0001,0.0009,0.0005,-0.0095,-0.0073
24.9120,0.0003,0.0001,-0.0005,0.0072,0.0190
25.0120,-0.0002,0.0007,-0.0003,-0.0023,-0.0097
25.1120,-0.0002,-0.0001,-0.0000,0.0025,0.0094
25.2120,0.0003,-0.0001,-0.0000,-0.0047,-0.0121
25.3120,0.0009,-0.0001,0.0003,-0.0047,-0.0097
25.4120,0.0001,0.0004,0.0008,0.0288,-0.0001
25.5120,0.0003,-0.0001,-0.0000,-0.0143,-0.0097
25.6120,0.0001,0.0007,0.0008,-0.0119,-0.0001
25.7120,-0.0002,0.0007,0.0005,0.0096,-0.0025
25.8120,-0.0002,0.0007,-0.0005,0.0049,0.0118
25.9120,-0.0005,-0.0004,-0.0000,0.0049,0.0166
26.0120,0.0001,-0.0004,0.0003,-0.0143,-0.0097
26.1120,-0.0005,-0.0004,-0.0005,0.0025,0.0166
26.2120,0.0001,-0.0007,0.0011,-0.0023,-0.0001
26.3120,0.0009,-0.0001,0.0008,-0.0047,-0.0097
26.4120,0.0001,0.0009,-0.0005,-0.0167,0.0022
26.5120,-0.0002,-0.0001,-0.0003,0.0312,-0.0289
26.6120,0.0009,-0.0001,-0.0000,-0.0095,-0.0025
26.7120,0.0006,0.0004,0.0005,-0.0023,0.0070
26.8120,0.0006,-0.0001,0.0005,-0.0071,0.0070
26.9120,0.0009,-0.0001,-0.0000,0.0096,-0.0313
27.0120,-0.0005,0.0007,0.0003,0.0144,0.0118
27.1120,0.0006,-0.0004,0.0005,0.0001,0.0166
