time,gyro x,gyro y,gyro z,accel x,accel y, accel z
11.2270,0.0003,0.0015,0.0053,0.0042,0.0092,1.0219
11.3270,0.0001,0.0015,0.0051,-0.0030,0.0021,1.0004
11.4270,-0.0002,0.0004,0.0045,-0.0101,0.0116,1.0267
11.5270,-0.0007,0.0004,0.0048,-0.0053,0.0045,1.0124
11.6270,-0.0002,0.0007,0.0040,0.0066,0.0092,1.0195
11.7270,0.0003,0.0001,0.0051,0.0186,-0.0099,1.0100
11.8270,0.0009,0.0017,0.0045,0.0042,-0.0099,0.9980
11.9270,-0.0013,0.0001,0.0037,-0.0101,0.0045,1.0100
12.0270,-0.0005,-0.0007,0.0053,0.0138,-0.0147,1.0291
12.1270,-0.0005,-0.0001,0.0040,-0.0030,-0.0003,1.0243
12.2270,-0.0007,0.0001,0.0051,0.0018,-0.0123,1.0100
12.3270,0.0001,0.0017,0.0043,0.0138,0.0021,1.0746
12.4270,-0.0005,-0.0020,0.0053,-0.0077,0.0045,1.0674
12.5270,-0.0002,0.0007,0.0053,0.0042,-0.0219,1.0291
12.6270,-0.0007,-0.0001,0.0051,0.0090,0.0021,0.9980
12.7270,0.0003,0.0015,0.0051,0.0018,-0.0243,1.0243
12.8270,-0.0002,0.0009,0.0056,-0.0053,-0.0171,1.0602
12.9270,-0.0005,-0.0009,0.0048,0.0186,-0.0123,0.9932
13.0270,-0.0005,0.0001,0.0053,-0.0053,0.0140,1.0650
13.1270,0.0003,-0.0004,0.0053,0.0042,0.0068,1.0626
13.2270,0.0003,-0.0001,0.0053,-0.0101,-0.0003,1.0411
13.3270,-0.0007,-0.0001,0.0040,0.0066,0.0021,0.9956
13.4270,-0.0005,-0.0004,0.0048,0.0090,0.0045,1.0243
13.5270,-0.0002,0.0004,0.0045,-0.0006,-0.0075,0.9980
13.6280,-0.0005,0.0012,0.0043,-0.0030,0.0045,1.0195
13.7270,-0.0002,0.0004,0.0045,-0.0149,-0.0099,1.0411
13.8270,-0.0002,0.0017,0.0037,0.0138,-0.0147,1.0195
13.9270,-0.0002,-0.0001,0.0035,0.0018,-0.0027,0.9812
14.0270,0.0006,0.0009,0.0045,0.0282,-0.0219,1.0076
14.1270,0.0009,0.0009,0.0043,0.0210,0.0021,0.9932
14.2270,0.0003,0.0007,0.0048,-0.0101,0.0092,0.9908
14.3270,0.0003,0.0004,0.0048,0.0234,0.0236,1.0291
14.4270,0.0001,0.0015,0.0045,0.0114,0.0068,1.0171
14.5270,0.0011,0.0009,0.0051,0.0066,0.0068,1.0435
14.6270,0.0003,0.0007,0.0053,0.0282,0.0021,1.0100
14.7290,0.0003,0.0009,0.0051,-0.0006,-0.0051,1.0147
14.8270,-0.0002,0.0012,0.0045,-0.0006,-0.0003,1.0147
14.9270,-0.0005,0.0007,0.0048,0.0186,-0.0171,1.0243
15.0270,0.0003,0.0012,0.0045,0.0186,-0.0027,1.0124
15.1270,-0.0005,0.0012,0.0056,0.0042,0.0045,1.0435
