time,px,py,pz,vx,vy,vz
15.125029,-6.172201629750691e-05,-7.366844216229402e-05,0.00018118188927884293,-0.05109024397084472,-0.060978867976088647,0.1499728537988243
15.125684,-2.781907284055295e-05,-3.320351280626746e-05,8.166149580957093e-05,-0.00739463897121119,-0.008825886872132545,0.021706592553314225
15.126309,-9.177124510780511e-06,-1.0953376230936788e-05,2.6938989630472437e-05,-0.0010786800597136102,-0.001287460850397425,0.003166411320788643
15.126935,-2.7119939016956235e-06,-3.2369060162998608e-06,7.960922346630484e-06,-0.00015737659071160353,-0.00018783716031981097,0.00046197110437792496
15.127607,-7.63619503439804e-07,-9.114196618594118e-07,2.2415668285448406e-06,-2.2960893508807914e-05,-2.7405022663145435e-05,6.740055356267054e-05
15.128291,-2.1000175011163672e-07,-2.5064802982958474e-07,6.164496255872747e-07,-3.3499382446811747e-06,-3.998325826493134e-06,9.833576032468373e-06
15.128946,-5.705627325112599e-08,-6.809963475166636e-08,1.674858341150219e-07,-4.887464235711332e-07,-5.833443201746542e-07,1.434690661660584e-06
15.129664,-1.5402926212713477e-08,-1.8384194925874433e-08,4.521451888723808e-08,-7.130633783948167e-08,-8.510782926488802e-08,2.0931618541169677e-07
15.130366,-4.14394218156391e-09,-4.946010892692796e-09,1.2164334844459161e-08,-1.0403238079963676e-08,-1.2416806656158052e-08,3.05381846383647e-08
15.131059,-1.1128082743700795e-09,-1.3281946526666814e-09,3.2665929865879013e-09,-1.5177538671346486e-09,-1.811518315258331e-09,4.455290504157311e-09
15.131684,-2.985323806377778e-10,-3.563139498000231e-10,8.763268600000042e-10,-2.2142171484424203e-10,-2.6427835271703326e-10,6.499723604211128e-10
15.132309,-8.00434869833412e-11,-9.553607197272958e-11,2.3496364937601745e-10,-3.2300812752284666e-11,-3.8552702889145366e-11,9.481741898210574e-11
15.132935,-2.145516908522202e-11,-2.56078621154954e-11,6.298057488790379e-11,-4.71150462488639e-12,-5.623426238747863e-12,1.383038598687843e-11
15.133562,-5.750000828673605e-12,-6.862925563522044e-12,1.6878839610041675e-11,-6.870989807614895e-13,-8.200884313308392e-13,2.0169446645404283e-12
