time,gyro x,gyro y,gyro z,accel x,accel y,accel z
8.241578,-0.006110108,0.006064697,1.006384850,0.508132935,0.644012451,-0.035896301
8.262027,0.001458252,0.001181885,1.007971764,0.363174438,0.140472412,-0.043525696
8.262652,-0.003180420,0.001792236,1.008826256,0.195327759,-0.042633057,0.002250671
8.263278,-0.002081787,0.002158447,1.006384850,0.241104126,0.277801514,0.032768250
8.263904,-0.001349365,0.004233642,1.006873131,0.195327759,-0.057891846,-0.058784485
8.264531,-0.000739014,0.004966064,1.008704185,0.080886841,0.178619385,0.032768250
8.265156,-0.002081787,0.005454346,1.007239342,-0.163253784,0.010772705,-0.028266907
8.265782,-0.002081787,0.004233642,1.005774498,-0.064071655,-0.218109131,0.170097351
8.266407,-0.001471436,0.002280517,1.009558678,-0.186141968,-0.202850342,-0.119819641
8.267032,-0.000372803,0.000327392,1.007727623,-0.094589233,-0.469879150,-0.043525696
8.267657,0.002678955,0.000327392,1.005774498,-0.125106812,-0.393585205,0.101432800
8.268284,0.001214111,-0.002480225,1.006995201,-0.102218628,-0.080780029,0.063285828
8.268910,0.004265869,-0.002724365,1.006262779,-0.315841675,-0.347808838,-0.028266907
8.269535,0.004754150,-0.002358154,1.006995201,-0.338729858,-0.256256104,-0.264778137
8.270161,0.002434814,-0.002846436,1.007239342,-0.025924683,0.026031494,0.116691589
8.271871,0.001580322,-0.000282959,1.007239342,0.271621704,-0.027374268,-0.264778137
8.272496,0.000359619,0.000571533,1.005286217,0.271621704,0.132843018,0.101432800
8.273123,0.000115479,0.000205322,1.005286217,0.126663208,0.132843018,0.055656433
8.273750,0.000725830,0.001670166,1.006995201,0.187698364,0.056549072,-0.081672668
8.274375,-0.000739014,0.002036377,1.000647545,0.187698364,0.064178467,-0.066413879
8.275000,0.001214111,0.001426025,1.005408287,0.096145630,0.193878174,-0.119819641
8.275625,-0.002814209,0.000449463,1.005530357,0.149551392,-0.088409424,0.055656433
8.276252,0.000237549,0.001792236,1.006751060,0.035110474,0.148101807,-0.005378723
8.276877,-0.000250732,0.003379150,1.008337975,0.065628052,-0.096038818,0.086174011
8.277502,0.000847900,0.003501221,1.002478600,-0.201400757,-0.057891846,-0.142707825
8.278128,-0.000739014,0.003989502,1.004309654,-0.117477417,-0.012115479,0.116691589
8.278754,0.002068603,0.002280517,1.006628990,0.180068970,0.033660889,0.032768250
8.279381,-0.001593506,0.000083252,1.008582115,0.027481079,0.026031494,0.147209167
8.280014,0.001580322,0.001792236,1.005896568,0.126663208,-0.355438232,-0.188484192
8.280640,-0.001593506,-0.001503662,1.007849693,0.065628052,-0.103668213,-0.165596008
8.282482,-0.002203858,0.001303955,1.007117271,-0.064071655,0.140472412,0.086174011
8.283109,-0.001349365,0.001426025,1.006018639,0.027481079,0.018402100,0.040397644
8.283735,0.000725830,0.001303955,1.007117271,0.134292603,0.148101807,-0.020637512
8.284361,-0.001593506,-0.000649170,1.003577232,0.134292603,0.094696045,-0.028266907
8.284987,-0.000494873,0.000937744,1.005896568,-0.010665894,0.170989990,0.025138855
