time,gyro x,gyro y,gyro z,accel x,accel y,accel z
31.171091,-1.228134155,-3.827278137,-0.927330017,-0.219106197,0.258721322,0.955488205
31.180867,2.906997681,-1.340095520,-1.835227966,-0.227651119,0.237481073,0.963666916
31.181494,3.181655884,-1.111213684,-1.758934021,-0.225820065,0.239312127,0.964033127
31.182120,3.456314087,-0.905220032,-1.774192810,-0.226918697,0.238945916,0.962324142
31.182745,4.089553833,-0.653450012,-1.949668884,-0.226186275,0.237847283,0.961591721
31.183370,4.181106567,-0.592414856,-2.117515564,-0.225331783,0.237725213,0.960981369
31.183996,4.661758423,-0.279609680,-2.033592224,-0.223500729,0.233941033,0.960004807
31.184623,4.837234497,-0.310127258,-2.216697693,-0.224843502,0.235650018,0.961469650
31.185248,5.195816040,-0.111763000,-2.201438904,-0.221059322,0.230400994,0.962812424
31.185875,5.531509399,0.239189148,-2.277732849,-0.222524166,0.231499627,0.963911057
31.186500,5.798538208,0.124748230,-2.376914978,-0.223989010,0.228692010,0.963178635
31.187125,5.790908813,0.559623718,-2.361656189,-0.223622799,0.226128533,0.960371017
31.187750,5.974014282,0.658805847,-2.491355896,-0.221303463,0.227715448,0.963788986
31.188376,6.042678833,0.651176453,-2.468467712,-0.221913815,0.222954705,0.960981369
31.189001,6.279190063,0.971611023,-2.460838318,-0.222890377,0.223931268,0.962202072
31.189626,6.477554321,1.040275574,-2.384544373,-0.219716549,0.222344354,0.959028244
31.190251,6.363113403,1.314933777,-2.308250427,-0.221181393,0.222832635,0.955366135
31.190878,6.485183716,1.345451355,-2.521873474,-0.221913815,0.218560174,0.953168869
31.191504,6.347854614,1.330192566,-2.361656189,-0.224233150,0.219048455,0.949506760
31.192130,6.202896118,1.665885925,-2.407432556,-0.225697994,0.216362908,0.949384689
31.192756,6.073196411,1.719291687,-2.415061951,-0.226796627,0.213555291,0.951459885
31.193381,5.981643677,1.780326843,-2.308250427,-0.225087643,0.217339471,0.943281174
31.194008,5.623062134,1.925285339,-2.292991638,-0.228017330,0.214287713,0.946577072
31.194633,5.508621216,2.054985046,-2.468467712,-0.227284908,0.216729119,0.945356369
31.195258,5.012710571,2.070243835,-2.262474060,-0.226674557,0.218438104,0.947431564
31.195883,4.646499634,2.207572937,-2.132774353,-0.225209713,0.216607049,0.948896408
31.196509,4.333694458,2.039726257,-2.178550720,-0.226064205,0.219902948,0.945966721
31.197136,4.150588989,2.276237488,-2.178550720,-0.233144283,0.216118768,0.935102463
31.197761,3.624160767,2.398307800,-2.117515564,-0.236928463,0.215508416,0.935468674
31.198388,3.311355591,2.054985046,-1.964927673,-0.235951900,0.214531854,0.936323166
31.199013,2.891738892,2.154167175,-2.056480408,-0.237538815,0.213189080,0.930952072
31.200775,1.518447876,2.161796570,-1.613975525,-0.233754635,0.214165643,0.928022385
31.201401,1.030166626,2.146537781,-1.743675232,-0.234853268,0.214653924,0.919477463
31.202026,0.618179321,2.184684753,-1.499534607,-0.236928463,0.211358026,0.914106369
31.202653,0.251968384,2.047355652,-1.407981873,-0.237538815,0.210747674,0.916669846
31.203278,-0.190536499,2.032096863,-1.530052185,-0.240224361,0.212090448,0.913251877
31.203905,-0.518600464,1.749809265,-1.415611267,-0.240224361,0.211968377,0.913129807
31.204530,-1.075546265,1.681144714,-1.476646423,-0.237782955,0.207940057,0.909711838
31.205156,-1.373092651,1.520927429,-1.293540955,-0.238027096,0.206841424,0.907514572
31.205782,-1.685897827,1.620109558,-1.232505798,-0.235341549,0.202324823,0.905805588
31.206409,-2.006332397,1.604850769,-1.118064880,-0.233876705,0.202324823,0.910688400
31.207035,-2.105514526,1.604850769,-0.988365173,-0.239614010,0.202324823,0.906293869
31.207660,-2.433578491,1.368339539,-1.095176697,-0.237782955,0.199028924,0.904706955
31.208286,-2.647201538,1.215751648,-1.209617615,-0.235585690,0.200615838,0.902875900
31.208911,-2.715866089,1.223381042,-0.904441833,-0.234975338,0.198784783,0.900678635
31.209538,-2.944747925,1.192863464,-1.072288513,-0.230458736,0.200859979,0.906293869
31.210165,-3.013412476,0.971611023,-0.896812439,-0.234120846,0.197442010,0.902265549
31.210790,-3.097335815,0.979240417,-0.744224548,-0.234853268,0.198418573,0.902631760
31.211415,-3.211776733,0.819023132,-0.835777283,-0.237294674,0.194634393,0.899824142
31.225765,-3.059188843,-2.087776184,-0.233055115,-0.234609127,0.216484979,0.908735275
31.226457,-2.860824585,-1.996223450,-0.385643005,-0.233144283,0.218316033,0.907148361
31.227082,-3.036300659,-1.973335266,-0.385643005,-0.232045650,0.219048455,0.902753830
31.227707,-2.944747925,-2.202217102,-0.378013611,-0.234487057,0.222344354,0.895917892
31.228332,-3.204147339,-2.309028625,-0.500083923,-0.232533932,0.222588494,0.895429611
31.228957,-3.257553101,-2.469245911,-0.515342712,-0.234609127,0.222466424,0.894086838
31.229583,-3.433029175,-2.614204407,-0.210166931,-0.236196041,0.226494744,0.892255783
31.230210,-3.837387085,-2.499763489,-0.286460876,-0.234487057,0.226983026,0.886152267
31.230836,-3.906051636,-3.026191711,-0.278831482,-0.237416744,0.227959588,0.885297775
31.231461,-4.028121948,-3.071968079,-0.370384216,-0.238027096,0.231377557,0.885786057
31.232087,-4.318038940,-3.293220520,-0.362754822,-0.235341549,0.231377557,0.889692307
31.232712,-4.340927124,-3.483955383,-0.141502380,-0.235097408,0.229424432,0.891401291
31.233337,-4.302780151,-3.583137512,-0.355125427,-0.230214596,0.233818963,0.895063400
