time,deltaX,deltaY,squal,shutter
31.179400,387,893,46,255
31.199528,0,0,46,255
31.224511,0,1,51,255
31.244512,0,0,51,255
31.271052,0,0,47,255
31.291116,0,0,47,255
31.315964,0,0,48,255
31.335964,0,0,48,255
31.360447,0,0,51,255
31.380452,0,-1,51,255
31.404888,0,-2,50,255
31.429128,-3,0,45,255
31.455609,-1,-1,48,255
31.475653,-5,2,43,255
31.500108,-2,1,47,255
31.520110,-1,-1,44,255
31.543974,-3,2,44,255
31.563989,-1,0,45,255
31.589089,-3,0,43,255
31.609090,-2,0,45,255
31.634246,-3,1,49,255
31.654286,-4,1,44,255
31.684822,-2,0,45,255
31.704876,0,0,45,255
31.729436,-7,3,43,255
31.749932,-5,2,42,255
31.774970,-2,0,42,255
31.794970,0,0,43,255
31.819633,-1,-1,44,255
31.839670,-1,0,43,255
31.864089,-2,0,44,255
31.884089,-2,0,46,255
31.908540,-2,1,48,255
31.935232,-6,2,39,255
31.959101,0,1,42,255
31.979123,-1,1,42,255
32.004266,0,0,41,255
32.024340,0,2,43,255
32.049085,0,1,48,255
32.069133,0,0,46,255
32.094245,0,0,43,255
32.114279,0,0,43,255
32.138668,0,0,48,255
32.158769,0,1,48,255
32.189935,0,0,44,255
32.210046,0,0,43,255
32.235109,0,8,46,255
32.255115,0,1,47,255
32.279558,0,-2,46,255
32.299610,-1,0,50,255
32.324010,-2,4,47,255
32.344010,-1,0,48,255
32.368473,-2,-1,48,255
32.388550,-1,1,48,255
32.412992,-1,2,52,255
32.433015,0,-2,42,255
32.464041,0,-2,51,255
32.484105,1,0,48,255
32.507928,-1,1,46,255
32.527930,0,-1,51,255
32.553062,-3,1,50,255
32.573083,0,-1,47,255
32.598184,-2,2,48,255
32.618204,-1,2,44,255
32.642153,-2,3,46,255
32.662242,-2,2,44,255
32.693992,0,0,45,255
32.714102,0,1,49,255
32.738055,0,1,51,255
32.758139,0,0,47,255
32.783306,0,0,52,255
32.803341,0,0,52,255
32.827873,-2,2,47,255
32.847974,-1,0,41,255
32.872491,0,-2,50,255
32.892492,0,0,50,255
32.921707,-2,0,42,255
32.944069,0,-2,44,255
32.972402,0,0,45,255
32.992403,-1,2,45,255
33.017606,0,0,44,255
33.037695,1,-1,48,255
33.062192,5,-3,43,255
33.082192,4,-1,44,255
33.106068,3,-4,41,255
33.126167,3,-2,43,255
33.150666,7,0,43,255
33.170762,4,-3,48,255
33.201372,12,-3,43,255
33.221499,5,-1,45,255
33.245999,10,0,51,255
33.266010,4,0,48,255
