time,deltaX,deltaY,squal,shutter
22.687247,8,2,32,255
22.707316,5,6,34,255
22.727342,4,3,32,255
22.747519,0,1,38,255
22.767727,1,0,37,255
22.787782,1,0,35,255
22.807851,1,1,39,255
22.827879,5,0,38,255
22.848195,7,-1,45,255
22.868196,3,-2,40,255
22.888319,5,-1,47,255
22.908392,5,-2,41,255
22.928392,3,1,39,255
22.948650,1,3,43,255
22.968945,5,2,42,255
22.988946,4,3,41,255
23.009139,6,2,42,255
23.029352,7,1,41,255
23.049702,3,4,40,255
23.070011,4,0,38,255
23.090011,5,1,43,255
23.110197,5,3,46,255
23.130237,8,0,41,255
23.150393,11,-4,48,255
23.170650,7,1,46,255
23.190651,9,4,44,255
23.210763,10,1,43,255
23.230993,12,-1,45,255
23.250994,11,-1,43,255
23.271436,3,4,45,255
23.297406,5,2,41,255
23.317732,5,1,36,255
23.337867,6,2,41,255
23.357868,6,1,36,255
23.378135,5,0,33,255
23.398385,9,1,34,255
23.418429,4,3,40,255
23.438677,8,2,37,255
23.458709,8,2,32,255
23.479090,9,4,37,255
23.499243,10,3,32,255
23.519243,11,2,29,255
23.539412,12,0,28,255
23.559636,9,0,25,255
23.579791,7,3,28,255
23.599865,4,1,25,255
23.619866,0,0,25,255
23.640121,0,0,26,255
23.660304,0,0,27,255
23.680355,0,0,26,255
23.700478,0,0,30,255
23.720478,11,-4,28,255
23.740627,13,-2,32,255
23.760821,12,0,35,255
23.780821,6,1,37,255
23.800821,7,3,44,255
23.820826,7,4,41,255
23.841164,13,4,42,255
23.861224,13,5,42,255
23.881432,14,4,44,255
23.901562,11,5,45,255
23.921562,11,4,47,255
23.941638,11,3,42,255
23.961756,9,4,44,255
23.981756,10,1,42,255
24.001925,9,1,43,255
24.021943,9,-1,42,255
24.048876,10,3,45,255
24.069313,10,3,46,255
24.089315,11,5,44,255
24.109478,12,4,43,255
24.129767,12,3,40,255
24.149769,9,5,37,255
24.169880,10,1,36,255
24.189881,4,4,35,255
24.210069,4,1,35,255
24.230363,5,-2,35,255
24.250370,5,2,37,255
24.270599,7,-1,35,255
24.290601,8,0,35,255
24.310603,11,0,31,255
24.330604,9,2,32,255
24.350763,10,3,31,255
24.370832,10,2,28,255
24.390833,12,0,29,255
24.411044,9,0,29,255
24.431316,9,-3,30,255
24.451316,4,2,34,255
24.471533,9,1,33,255
24.491534,9,0,34,255
24.511648,10,1,37,255
24.531782,10,1,38,255
24.552101,9,1,44,255
24.572371,9,3,43,255
24.592372,10,3,47,255
24.612642,10,4,51,255
24.632831,15,3,48,255
24.652867,14,0,46,255
24.673069,15,-2,42,255
24.693089,16,-1,46,255
24.713192,17,-5,48,255
24.733275,17,-8,46,255
24.753277,13,0,43,255
24.773399,14,0,41,255
24.799298,19,-3,38,255
24.819523,15,-4,38,255
24.839795,10,4,33,255
24.866128,22,-7,32,255
24.886262,16,1,32,255
24.906559,15,7,27,255
24.926801,17,0,30,255
24.946802,18,0,29,255
24.966896,18,0,30,255
24.986897,17,0,35,255
25.007010,12,1,36,255
25.027219,12,1,37,255
25.049495,16,1,40,255
25.069730,15,-3,38,255
25.089749,10,3,41,255
25.109900,12,2,40,255
25.130128,12,4,42,255
25.150129,13,4,41,255
25.170277,12,3,40,255
25.190278,15,-1,43,255
25.210402,13,0,44,255
25.230466,14,0,42,255
25.250467,15,0,43,255
25.270523,13,-1,42,255
25.290740,8,1,43,255
25.311133,11,1,39,255
25.331452,10,4,38,255
25.351452,12,1,37,255
25.371590,11,3,38,255
25.391590,13,2,34,255
25.411708,15,2,31,255
25.431965,11,3,31,255
25.452000,12,3,26,255
25.472306,14,1,27,255
25.492358,5,0,26,255
25.512591,0,0,27,255
25.532712,0,0,28,255
25.552956,0,0,33,255
25.573152,3,-1,38,255
25.593164,12,-2,39,255
25.613386,10,0,38,255
25.633679,12,1,37,255
25.653681,16,2,37,255
25.673919,16,2,42,255
25.694109,19,1,43,255
25.714109,19,1,44,255
25.734150,22,0,51,255
25.754151,17,-1,51,255
25.774296,14,-1,49,255
25.799992,21,0,46,255
25.820010,15,0,49,255
25.840110,18,0,50,255
25.860110,22,2,46,255
25.880365,20,6,49,255
25.900585,18,7,44,255
25.920606,16,4,43,255
25.940743,18,3,39,255
25.960893,21,1,41,255
25.980894,17,2,43,255
26.001034,19,5,46,255
26.021035,12,4,46,255
26.041318,8,4,44,255
26.061603,3,1,43,255
26.081912,11,3,45,255
26.102288,7,2,44,255
26.122289,10,2,41,255
26.142457,12,0,42,255
26.162458,15,0,44,255
26.182567,18,0,43,255
26.202693,16,0,49,255
26.222693,13,0,47,255
26.242777,12,2,47,255
26.263015,11,3,42,255
26.283044,11,3,47,255
26.303690,12,3,45,255
26.323690,15,2,43,255
26.343803,19,1,45,255
26.363804,20,2,46,255
26.383849,23,1,43,255
26.404080,26,4,38,255
26.424138,13,5,40,255
26.444449,16,1,37,255
26.464604,16,1,36,255
26.484605,16,1,35,255
26.504726,15,1,37,255
26.524727,15,3,42,255
26.550828,18,0,49,255
26.571114,12,1,46,255
26.591116,12,3,44,255
26.611340,12,2,46,255
26.631520,14,1,48,255
26.651546,16,1,49,255
26.671708,18,2,52,255
26.691710,20,2,51,255
26.711762,18,2,49,255
26.731891,15,0,53,255
26.751892,15,0,48,255
26.772097,13,0,50,255
26.792102,10,3,48,255
26.812114,15,0,40,255
26.832134,18,1,42,255
26.852433,18,3,41,255
26.872694,16,7,41,255
26.892695,15,6,41,255
26.912936,22,5,45,255
26.933148,22,0,44,255
26.953150,22,2,40,255
26.973242,21,3,46,255
26.993243,20,4,41,255
27.013346,15,4,44,255
27.033501,10,5,44,255
27.053824,11,5,42,255
27.074036,8,5,44,255
27.094049,12,3,43,255
27.114381,17,3,50,255
27.134783,21,2,55,255
27.154783,22,3,53,255
27.174882,22,2,56,255
27.194882,23,2,63,255
27.214986,20,1,59,255
27.235248,15,3,62,255
27.255249,14,4,62,255
27.275550,15,2,61,255
27.301748,23,1,53,255
27.321750,21,2,51,255
27.341934,22,2,52,255
27.361935,23,2,57,255
27.382144,23,2,57,255
27.402353,30,2,61,255
27.422354,23,0,63,255
27.442652,22,2,63,255
27.462796,23,3,62,255
27.482798,23,2,60,255
27.502878,21,2,66,255
27.522879,15,0,65,255
27.543152,14,0,65,255
27.563459,15,2,67,255
27.583716,16,0,68,255
27.604073,18,-1,69,255
27.624074,22,-1,65,255
27.644187,22,0,63,255
27.664363,23,0,62,255
27.684365,23,-1,65,255
27.704502,20,-1,65,255
27.724503,16,-1,63,255
27.744782,16,0,58,255
27.764947,16,-1,56,255
27.784949,19,-4,55,255
27.804975,19,-6,55,255
27.824991,16,0,53,255
27.845216,21,6,57,255
27.865491,23,0,54,255
27.885492,31,-8,48,255
27.905598,29,-3,46,255
27.925599,24,3,43,255
27.945750,18,6,37,255
27.966013,13,0,38,255
27.986015,11,-3,36,255
28.006359,11,0,34,255
28.026596,16,2,31,255
28.052717,22,1,38,255
28.072888,18,0,38,255
28.092889,20,1,39,255
28.112951,21,1,42,255
28.133014,16,0,48,255
28.153015,16,1,48,255
28.173245,14,0,50,255
28.193254,15,2,59,255
28.213482,16,3,61,255
28.233757,18,2,64,255
28.253757,22,0,54,255
28.273889,23,0,50,255
28.294109,23,1,49,255
28.314393,21,3,47,255
28.334693,25,4,50,255
28.354694,23,-3,50,255
28.374817,22,-1,43,255
28.394817,20,-1,46,255
28.414963,15,0,41,255
28.435139,17,-2,38,255
28.455196,15,-3,33,255
