time,deltaX,deltaY,squal,shutter
16.505490,924,411,12,255
16.525661,0,0,12,255
16.550715,0,0,10,255
16.570951,0,0,13,255
16.598128,0,0,15,255
16.618265,0,0,16,255
16.643825,0,0,13,255
16.663919,0,0,13,255
16.688526,0,0,15,255
16.708622,0,0,13,255
16.733801,0,0,13,255
16.755556,0,0,13,255
16.785821,0,0,12,255
16.805912,0,0,11,255
16.831054,0,0,14,255
16.851152,0,0,15,255
16.875752,0,0,15,255
16.895884,0,0,13,255
16.921065,0,0,13,255
16.941194,0,0,12,255
16.966446,0,0,17,255
16.986647,0,0,14,255
17.017833,0,0,13,255
17.037956,0,0,14,255
17.062588,0,0,13,255
17.082712,0,0,14,255
17.107820,0,0,12,255
17.127977,0,0,13,255
17.152538,0,0,12,255
17.172692,0,0,13,255
17.197227,0,0,15,255
17.217279,0,0,14,255
17.242483,0,0,13,255
17.268026,0,0,13,255
17.293858,0,0,14,255
17.313887,0,0,11,255
17.339106,0,0,15,255
17.359259,0,0,13,255
17.384123,0,0,11,255
17.404358,0,0,11,255
17.429594,0,0,12,255
17.449727,0,0,12,255
17.474862,0,0,13,255
17.494900,0,0,11,255
17.526814,0,0,15,255
17.546993,0,0,13,255
17.571528,0,0,15,255
17.591595,0,0,13,255
17.617873,0,0,12,255
17.638012,0,0,13,255
17.663126,0,0,12,255
17.683207,0,0,12,255
17.707697,0,0,15,255
17.727777,0,0,12,255
17.752863,0,0,8,255
17.777100,0,0,13,255
17.804225,0,0,11,255
17.824401,0,0,11,255
17.849452,0,0,12,255
17.869518,0,0,11,255
17.894669,0,0,14,255
17.914828,0,0,14,255
17.939325,0,0,13,255
17.959437,0,0,13,255
17.983963,0,0,12,255
18.004044,0,0,11,255
18.035198,0,0,13,255
18.055420,0,0,13,255
18.080635,0,0,14,255
18.100745,0,0,14,255
18.125286,0,0,12,255
18.145380,0,0,12,255
18.170606,0,0,13,255
18.190731,0,0,14,255
18.215203,0,0,11,255
18.235282,0,0,12,255
18.259777,0,0,11,255
18.285319,0,0,11,255
18.311758,0,0,11,255
18.331859,0,0,11,255
18.356463,0,0,10,255
18.376583,0,0,9,255
18.401104,0,0,9,255
18.421248,0,0,10,255
18.446463,0,0,8,255
18.466636,0,0,10,255
18.491824,0,0,10,255
18.511904,0,0,11,255
18.543251,0,0,11,255
18.563432,0,0,8,255
18.588026,0,0,10,255
18.608110,0,0,10,255
18.632697,0,0,11,255
18.652789,0,0,14,255
18.676710,0,0,13,255
18.696794,0,0,13,255
18.720815,0,0,12,255
18.741015,0,0,10,255
18.764961,0,0,8,255
18.784984,0,0,11,255
18.815573,0,0,11,255
18.835826,0,0,9,255
18.860344,0,0,11,255
18.880423,0,0,12,255
18.904966,0,0,11,255
18.925087,0,0,13,255
18.948429,0,0,16,255
18.968522,0,0,15,255
18.991864,0,0,12,255
19.012044,0,0,11,255
19.043637,0,0,14,255
19.063857,0,0,11,255
19.098804,0,0,18,255
19.119006,0,0,18,255
19.143670,0,0,16,255
19.163747,0,0,17,255
19.194390,0,0,18,255
19.214512,0,0,19,255
19.237800,0,0,21,255
19.257901,0,0,17,255
19.282218,0,0,11,255
19.302649,0,0,12,255
19.331738,0,0,13,255
19.351933,0,0,11,255
19.375820,0,0,10,255
19.395911,0,0,10,255
19.419151,0,0,11,255
19.439215,0,0,8,255
19.463188,0,0,7,255
19.483329,0,0,8,255
19.506534,0,0,9,255
19.526624,0,0,5,255
19.557368,0,0,7,255
19.577555,0,0,10,255
19.602053,0,0,8,255
19.622155,0,0,9,255
