time,gyro x,gyro y,gyro z,accel x,accel y,accel z
25.771577,2.403289795,13.303993225,-2.852241516,-0.229110107,0.085180663,-1.074747443
25.772282,1.052886963,12.708900452,-3.050605774,-0.226668701,0.083471678,-1.076334357
25.772907,-0.366180420,12.586830139,-3.142158508,-0.234114990,0.084692381,-1.074625373
25.773532,-1.983612061,12.274024963,-3.363410950,-0.234359130,0.084326170,-1.074869514
25.774157,-3.562896729,12.228248596,-3.439704895,-0.234114990,0.082373045,-1.076944709
25.774782,-4.699676514,11.717079163,-3.363410950,-0.236068115,0.076513670,-1.078043342
25.775407,-5.836456299,11.556861877,-3.676216125,-0.237044677,0.075659178,-1.077677131
25.776032,-6.980865479,11.274574280,-3.554145813,-0.236922607,0.070776366,-1.076334357
25.776658,-8.247344971,10.702369690,-3.638069153,-0.236434326,0.064916991,-1.075113654
25.777283,-9.185760498,10.504005432,-3.783027649,-0.235213622,0.060400389,-1.074503303
25.777910,-10.238616943,10.328529358,-3.927986145,-0.235335693,0.057470702,-1.074503303
25.778537,-11.215179443,10.267494202,-3.866950989,-0.235335693,0.053808592,-1.070841193
25.779162,-12.031524658,9.870765686,-4.103462219,-0.234481201,0.050634764,-1.071695685
25.779787,-12.992828369,9.351966858,-3.996650696,-0.235823974,0.048315428,-1.073770881
25.781559,-15.235870361,8.535621643,-4.492561340,-0.233992919,0.029638672,-1.069010139
25.782184,-15.686004639,8.428810120,-4.233161926,-0.236800537,0.026953125,-1.069498420
25.782809,-15.914886475,8.123634338,-4.629890442,-0.237410888,0.018041993,-1.069132209
25.783434,-16.357391357,7.658241272,-4.484931946,-0.236068115,0.015112305,-1.069986701
25.784060,-16.685455322,7.185218811,-4.530708313,-0.234359130,0.007788086,-1.070474982
25.792447,-14.221160889,3.523109436,-4.965583801,-0.234725341,-0.049707033,-1.058756232
25.793072,-14.022796631,3.217933655,-4.812995911,-0.234725341,-0.053735353,-1.056803107
25.793698,-13.275115967,3.134010315,-5.026618958,-0.239119872,-0.053491212,-1.054361701
25.794324,-12.817352295,2.859352112,-5.087654114,-0.239364013,-0.054956056,-1.056681037
25.794950,-12.214630127,2.424476624,-4.828254700,-0.237655029,-0.054467775,-1.054239631
25.795576,-11.543243408,2.043006897,-4.919807434,-0.238875732,-0.059228517,-1.055460334
25.796202,-10.917633057,1.890419006,-4.881660461,-0.239119872,-0.057641603,-1.054117560
25.796828,-10.269134521,1.585243225,-4.851142883,-0.239974365,-0.063378908,-1.050455451
25.797454,-9.689300537,1.333473206,-4.843513489,-0.238753662,-0.064721681,-1.052286506
