time,deltaX,deltaY
13.465550,0,0
13.475550,0,0
13.485907,0,0
13.496326,0,0
13.518306,0,0
13.528795,1,0
13.539249,0,0
13.549678,0,0
13.570231,-1,0
13.580232,0,0
13.590632,0,0
13.601062,0,0
13.620607,-1,0
13.631132,-1,-1
13.641555,0,0
13.651943,1,0
13.667480,2,0
13.677480,0,0
13.687939,0,0
13.698363,-1,0
13.721198,0,0
13.731200,0,0
13.741654,0,0
13.752111,0,0
13.767137,0,0
13.777138,-2,1
13.787584,0,0
13.798050,2,0
13.813581,0,0
13.823583,0,0
13.834015,0,0
13.844439,0,0
13.860616,-1,0
13.870617,0,-1
13.881047,1,0
13.891474,0,0
13.906930,-1,0
13.916930,0,1
13.927364,2,0
13.937791,-1,0
13.953315,0,-1
13.963317,-1,0
13.973398,-1,0
13.983801,0,0
14.006211,6,0
14.016645,0,0
14.027092,-2,0
14.037543,-1,1
14.052481,0,0
14.062482,0,0
14.072945,0,0
14.083397,2,0
14.098408,0,0
14.108409,-3,0
14.118824,0,0
14.129159,0,0
14.144691,0,-1
14.155216,0,0
14.165642,0,0
14.176062,0,0
14.190972,1,1
14.201399,2,0
14.211839,0,0
14.222046,0,0
14.243948,1,0
14.253948,-1,0
14.264393,0,0
14.274769,-2,0
14.290309,0,0
14.300806,0,0
14.311201,-1,0
14.321613,0,0
14.336611,2,0
14.346612,0,0
14.357002,-3,0
14.367384,-1,0
14.383198,1,0
14.393646,2,0
14.404091,0,0
14.414506,1,0
14.429399,0,0
14.439834,-1,0
14.450278,1,0
14.460669,0,0
14.482239,0,0
14.492690,1,0
14.503117,-1,0
14.513545,0,0
14.528574,0,0
14.538574,0,0
14.549000,0,0
14.559392,0,0
14.574916,0,0
14.585388,-1,0
14.595801,0,0
14.606231,-1,-1
14.621238,0,0
14.631238,1,0
14.641680,2,1
14.652141,0,0
14.668411,1,0
14.678412,0,0
14.688672,0,0
14.699164,0,0
14.715786,2,0
14.732380,4,0
14.742841,3,-1
14.753269,0,0
14.767641,-2,1
14.777641,0,0
14.788116,-6,0
14.798582,-3,0
14.813614,-5,0
14.823616,0,0
14.834097,0,0
14.844573,0,0
14.860200,0,0
14.870201,0,1
14.880622,0,0
14.891051,-1,-1
14.907401,-2,-3
14.917402,-1,0
14.927834,-2,-1
14.938245,1,1
14.953827,-5,0
