time,gyro x,gyro y,gyro z,accel x,accel y,accel z
5.969260,-1.635658264,0.600395203,-0.299324036,-0.017569825,-0.001005493,0.940669537
5.978924,-6.381141663,10.236320496,0.517021179,-0.040885255,-0.004301392,0.972896099
5.979551,-5.351173401,9.099540710,0.280509949,-0.062735841,-0.021391235,0.998042583
5.980177,-4.687416077,7.955131531,0.066886902,-0.061881348,-0.034941040,1.021968365
5.980802,-4.519569397,6.619987488,-0.085700989,-0.043814942,-0.042631470,1.041377544
5.981428,-4.504310608,6.009635925,0.021110535,-0.026358888,-0.034330688,1.043696880
5.982055,-4.977333069,5.979118347,0.211845398,-0.007437988,-0.026029907,1.048945904
5.982681,-5.030738831,5.612907410,0.196586609,0.001106934,-0.006376587,1.049922466
5.983308,-5.305397034,5.200920105,0.311027527,0.005989746,0.008271851,1.044307232
5.983933,-5.992042542,5.498466492,-0.116218567,0.006844238,0.014131226,1.030391216
5.984558,-6.060707092,5.559501648,0.013481140,-0.009024902,0.008882202,1.041621685
5.985183,-5.557167053,4.903373718,0.227104187,-0.025504395,0.001557983,1.054683208
5.985808,-5.015480042,4.201469421,0.219474792,-0.033316895,-0.009916626,1.068233013
5.986435,-4.984962463,3.491935730,0.021110535,-0.027945802,-0.025907837,1.058101177
5.987060,-5.084144592,3.690299988,-0.139106750,-0.006461426,-0.024442993,1.066401958
5.988734,-5.457984924,5.116996765,0.135551453,0.028206542,-0.022856079,1.054927349
5.989360,-4.809486389,5.178031921,0.135551453,0.014046387,-0.017484985,1.043574810
5.989986,-4.450904846,5.010185242,0.005851746,0.000496582,-0.006132446,1.034907818
5.990611,-4.283058167,4.712638855,-0.169624329,-0.020987794,0.001313843,1.038081646
5.991238,-3.932106018,4.674491882,0.166069031,-0.034293458,0.005220093,1.035884380
5.991864,-3.359901428,4.018363953,0.021110535,-0.039786622,-0.001005493,1.037837505
5.992489,-3.062355042,3.316459656,-0.039924622,-0.021964356,-0.012846313,1.021968365
5.993116,-3.192054749,3.568229675,-0.116218567,-0.010611816,-0.023100220,1.025264263
5.993743,-2.444374084,2.858695984,0.074516296,-0.017203614,-0.045194946,1.048091412
5.994368,-1.689064026,2.233085632,0.120292664,-0.001456543,-0.041532837,1.020259380
5.994995,-2.207862854,2.469596863,-0.604499817,0.000130371,-0.032377563,0.996821880
5.995621,-3.275978088,2.881584167,-0.390876770,0.019905761,-0.009550415,0.959224224
5.996248,-4.176246643,4.254875183,0.074516296,0.017586425,-0.010038696,0.937007427
5.996874,-3.779518127,4.735527039,0.387321472,-0.007437988,-0.018583618,0.936885357
5.997499,-2.223121643,4.231987000,0.272880554,-0.039542481,-0.036283813,0.953608990
5.999140,2.026451111,0.630912781,-0.001777649,-0.079215333,-0.073393188,0.999873638
5.999766,4.002464294,-1.009407043,0.043998718,-0.075553223,-0.076689087,1.019771099
6.000392,4.574668884,-2.161445618,-0.123847961,-0.044547364,-0.057890259,1.011226177
6.001018,3.834617615,-1.764717102,-0.169624329,0.011727051,-0.022734009,0.993892193
6.001643,1.850975037,0.218925476,0.013481140,0.068733886,0.010957398,0.957149029
6.002268,0.279319763,2.217826843,0.509391785,0.090950683,0.010835327,0.943477154
6.002895,0.027549744,4.003105164,0.555168152,0.076058105,0.013398804,0.937129498
6.003521,0.218284607,5.048332214,0.295768738,0.041023925,0.014253296,0.915889263
6.004147,0.462425232,5.353507996,0.074516296,-0.008658691,-0.007109009,0.922236919
6.004773,1.973045349,4.666862488,0.166069031,-0.061515138,-0.035673462,0.947139263
6.005400,4.605186462,3.148612976,0.471244812,-0.108268067,-0.067777954,0.993037701
6.006025,7.244956970,0.562248230,0.341545105,-0.130118653,-0.087553345,1.035640240
6.006650,9.762657166,-2.008857727,0.066886902,-0.106192872,-0.085966431,1.064204693
6.007276,9.648216248,-3.389778137,-0.345100403,-0.032340333,-0.064604126,1.050776958
6.007902,8.091819763,-2.626838684,-0.024665833,0.039192870,-0.033720337,1.042476177
6.009611,5.993736267,-0.574531555,0.341545105,0.055672362,0.107759155,1.012568951
6.010237,0.119102478,2.919731140,-0.520576477,0.116951659,0.152681023,0.895747662
6.010862,-5.938636780,8.138237000,-0.192512512,0.115608886,0.127046257,0.873164654
6.011489,-6.548988342,10.823783875,1.279960632,0.056160644,0.074311890,0.904536724
6.012114,-4.008399963,10.434684753,1.684318542,-0.037833497,-0.000273071,0.933467388
6.026410,7.916343689,-1.696052551,0.501762390,-0.124991700,-0.000028931,1.060176373
