time,deltaX,deltaY
5.977575,-17,13
5.987576,0,0
5.997988,0,0
6.008454,0,0
6.025237,0,0
6.035420,0,0
6.045882,0,0
6.056314,0,0
6.073943,0,0
6.084334,0,0
6.094745,0,0
6.105237,0,0
6.122527,0,0
6.132667,0,0
6.143151,0,0
6.153622,0,0
6.169293,0,0
6.179294,0,0
6.189754,0,0
6.200190,0,0
6.216419,0,0
6.227379,0,0
6.237850,0,0
6.248295,0,0
6.270883,0,0
6.280884,0,0
6.291369,0,0
6.301853,0,0
6.318137,0,0
6.328138,0,0
6.338561,0,0
6.349014,0,0
6.364086,0,0
6.374359,0,0
6.384585,0,0
6.395011,0,0
6.411817,0,0
6.421817,0,0
6.432283,0,0
6.442678,0,0
6.459579,0,0
6.469579,0,0
6.479737,0,0
6.490169,0,0
6.500574,0,0
6.514296,0,0
6.524782,0,0
6.535179,0,0
6.545179,0,0
6.562436,0,0
6.572436,0,0
6.582870,0,0
6.593287,0,0
6.609476,0,0
6.619934,0,0
6.630304,0,0
6.640709,0,0
6.656375,0,0
6.666376,0,0
6.676760,0,0
6.687177,0,0
6.703411,0,0
6.713836,0,0
6.728380,0,0
6.738787,0,0
6.756965,0,0
6.766965,0,0
6.777317,0,0
6.787740,0,0
6.804007,0,0
6.814486,0,0
6.824948,0,0
6.835414,0,0
6.850404,0,0
6.860404,0,0
6.870862,-2,0
6.881307,-1,0
6.897900,0,0
6.907902,0,-1
6.918331,1,-1
6.928793,1,0
6.944472,4,0
6.954474,1,0
6.964919,0,0
6.978940,0,0
6.998293,0,0
7.008295,0,0
7.018721,0,2
7.029166,0,4
7.044244,0,3
7.054246,0,2
7.064700,1,5
7.075136,0,0
7.091380,-1,1
7.101765,-1,2
7.112250,-1,0
7.122614,-2,4
7.142018,-3,12
7.152018,0,4
7.162491,-1,7
7.172966,0,2
7.189244,-2,2
7.199245,0,0
7.209704,0,0
7.220137,0,0
7.230304,0,0
7.244750,0,0
7.254750,0,0
7.265221,0,0
7.275680,0,0
7.291952,0,0
7.301953,0,0
7.312395,0,0
7.322842,0,0
7.338505,0,0
7.348505,0,0
7.358982,0,0
7.369391,0,0
7.384942,0,0
7.395392,0,0
7.405823,0,0
7.416205,0,0
7.431203,0,0
7.441204,0,0
7.451608,0,0
7.462013,0,0
