time,deltaX,deltaY
19.016851,10,1
19.027309,6,-1
19.037309,11,-4
19.053532,11,-1
19.063917,9,3
19.074357,4,4
19.084817,9,6
19.099853,9,-1
19.109855,10,-9
19.120299,5,-5
19.130740,9,-4
19.152970,12,5
19.162970,9,7
19.173432,4,2
19.183900,11,4
19.199613,11,2
19.209618,12,1
19.220093,6,1
19.230538,12,3
19.246129,12,2
19.256667,11,1
19.267110,6,0
19.277513,11,2
19.291861,11,3
19.302329,10,6
19.312750,5,3
19.323199,8,5
19.338185,8,2
19.348232,7,0
19.358691,3,-1
19.369155,6,-2
19.384207,5,0
19.394660,4,0
19.404916,2,1
19.415374,6,0
19.437305,10,-1
19.447366,7,-1
19.457443,4,0
19.467928,10,2
19.484893,10,5
19.494894,12,4
19.505366,14,0
19.515836,6,0
19.531442,20,-1
19.541443,6,1
19.551911,12,5
19.562366,6,2
19.578042,16,7
19.588043,4,2
19.598507,9,0
19.608963,4,-1
19.623390,7,-3
19.633391,8,0
19.643763,7,1
19.653947,3,0
19.664230,7,-2
19.678796,5,-2
19.688797,3,-1
19.699237,4,0
19.709670,4,1
19.725278,5,2
19.735278,3,1
19.745742,7,0
19.756246,6,1
19.771590,5,1
19.781591,3,1
19.792077,8,2
19.802557,9,0
19.818208,12,0
19.828209,6,1
19.838672,14,1
19.849133,13,1
19.864901,12,3
19.874903,10,4
19.885339,5,1
19.895750,9,2
19.917897,11,-1
19.927898,7,-2
19.938376,4,-1
19.948632,7,0
19.964942,8,-2
19.975171,10,-3
19.985616,5,-2
19.996105,10,0
20.011718,10,1
20.021720,11,2
20.032196,6,0
20.042660,13,-1
20.057705,13,-2
20.067707,13,-2
20.078172,6,0
20.088652,10,2
20.103666,10,6
20.113668,11,5
20.124140,5,0
20.134572,13,-3
20.156890,19,-5
20.166966,12,1
20.177458,5,2
20.187930,11,4
20.204656,10,1
20.214657,11,0
20.225110,9,-1
20.235599,5,0
20.251913,15,4
20.261913,5,1
20.272386,9,2
20.282829,4,1
20.299068,14,0
20.309070,6,1
20.319527,10,2
20.329986,6,2
20.345646,14,6
20.355647,5,2
20.366118,9,2
20.376579,9,1
20.390938,8,0
20.418842,17,2
20.428842,4,1
20.439286,10,3
20.456361,15,-1
20.466440,5,-1
20.476908,11,-1
20.487374,7,0
20.502978,17,2
20.513426,6,2
20.523858,13,1
20.534290,6,0
20.549300,20,0
20.559301,6,0
20.569760,13,0
20.580152,6,1
20.595131,16,2
20.605635,5,0
20.616057,8,-1
20.626489,4,-1
20.640277,7,0
20.656941,13,6
20.667430,10,2
20.677918,5,0
20.694237,17,-10
20.704238,5,-3
20.714659,10,-1
20.725102,4,1
20.740182,15,14
20.750183,5,4
20.760610,10,2
20.771051,5,0
20.787333,14,-6
20.797333,4,0
20.807820,8,2
20.818294,3,3
20.832722,9,9
20.842722,4,2
20.853163,7,1
20.867065,8,0
20.877502,4,0
20.892408,14,0
20.907105,9,4
20.917573,4,2
20.928004,8,5
20.944920,10,4
20.954927,3,0
20.965371,7,0
20.975808,4,-1
20.990831,13,1
21.000832,5,2
21.011251,9,2
21.021713,5,1
21.037315,14,0
21.047315,5,0
21.057723,10,0
21.068140,5,0
21.083097,17,1
21.093585,6,0
21.104027,10,1
21.114328,5,0
21.130563,13,3
21.140563,5,0
21.157109,15,0
21.167592,6,-1
21.183227,18,0
21.193228,6,0
21.203683,11,3
21.214153,5,1
21.229785,15,-2
21.239786,5,-3
21.250231,11,-1
21.260686,5,0
21.276261,13,7
21.286305,4,3
21.296763,6,4
21.307246,3,1
21.322901,9,-5
21.332920,3,-3
21.343417,8,-3
21.353905,8,1
21.369508,9,4
21.379509,4,1
21.389932,10,1
21.400366,10,0
21.421978,14,-3
21.431979,5,-1
21.442448,9,0
21.452908,9,3
21.469113,10,2
21.479113,5,0
21.489113,9,-1
21.499640,9,-5
21.516424,10,-3
21.526425,9,0
21.536858,4,1
21.547246,9,4
21.562786,9,2
21.573294,9,-1
21.583672,4,-1
21.594070,9,-2
21.609143,9,0
21.619143,8,3
21.629561,4,1
21.640016,6,0
21.661646,8,-6
21.671647,6,-3
21.682132,3,0
21.692591,6,3
21.708298,7,2
21.718298,9,-1
21.728760,4,-2
21.739223,9,-4
21.754858,10,0
21.764858,11,2
21.775336,6,3
21.785796,11,6
21.801502,10,2
21.811502,10,0
21.821935,5,0
21.832398,8,0
21.848043,7,2
21.858044,7,3
21.868479,3,1
21.878885,6,2
21.893888,6,0
21.903888,5,0
21.913989,3,-1
21.924445,6,-1
21.946287,9,1
21.956288,7,2
21.966728,3,0
21.977195,7,0
21.992256,6,0
22.002307,6,0
22.012743,3,0
22.023244,7,1
22.038890,9,0
22.048891,10,0
22.059367,5,0
22.069834,11,-1
22.084874,12,0
22.094876,11,0
22.105333,5,0
22.115773,12,0
22.130744,11,1
22.141249,11,1
22.151650,5,0
22.162488,10,1
22.183874,11,3
22.193891,7,1
22.204379,3,0
22.214856,8,0
22.229860,7,0
22.239862,8,1
22.250361,4,2
22.260840,6,3
22.275886,8,1
22.285887,8,1
22.296352,5,1
22.306783,9,2
22.323004,8,2
22.333530,9,3
22.343953,3,1
22.354376,7,2
22.370016,7,1
22.380017,8,2
22.390505,8,0
22.400985,5,0
22.423274,14,1
22.433281,10,1
22.443737,11,2
22.454115,5,2
22.469201,10,4
22.479201,10,3
22.489642,8,0
