time,deltaX,deltaY
12.869561,-174,-98
12.879563,0,0
12.889954,0,0
12.900342,0,0
12.916411,-3,0
12.926575,0,0
12.937175,0,1
12.947553,0,0
12.965062,-1,1
12.975540,0,0
12.985917,0,1
12.996359,0,0
13.012286,1,1
13.022797,0,1
13.033212,1,0
13.043614,2,0
13.057907,-1,2
13.067908,-2,6
13.078322,0,3
13.088707,0,1
13.104215,-2,2
13.119398,0,1
13.129812,0,0
13.140219,0,0
13.157104,3,2
13.167106,1,4
13.177247,0,5
13.187649,1,3
13.203774,0,2
13.214228,1,1
13.224608,1,2
13.234940,0,0
13.249843,0,2
13.260334,0,1
13.270760,0,0
13.281186,0,2
13.296095,1,2
13.306589,1,2
13.317000,3,0
13.327403,1,0
13.342342,2,1
13.352343,4,1
13.369394,8,2
13.379805,0,2
13.395368,1,1
13.405829,0,1
13.416221,1,0
13.426610,0,1
13.441539,0,-1
13.451541,0,0
13.461946,0,-1
13.472355,-1,-1
13.487244,0,-1
13.497702,-5,-1
13.508096,-2,-1
13.518486,0,-1
13.532748,1,-2
13.542749,0,0
13.553145,-2,1
13.563549,0,1
13.579683,6,0
13.590137,1,1
13.600540,0,2
13.610927,1,1
13.632469,0,0
13.642731,0,0
13.653137,0,0
13.663538,0,0
13.679383,0,0
13.689463,-1,0
13.699871,-3,0
13.710289,-3,0
13.725812,-2,-1
13.736268,0,0
13.746654,0,-1
13.757041,-1,-1
13.772216,0,0
13.782634,0,0
13.793017,0,0
13.803425,-1,-1
13.819509,-1,-1
13.829981,-1,0
13.840418,-2,0
13.850797,-1,0
13.872319,-1,0
13.882319,0,0
13.892713,-1,0
13.903083,0,0
13.918632,-2,0
13.929094,0,1
13.939528,2,0
13.949958,1,0
13.965498,1,1
13.976013,0,1
13.986430,2,1
13.996827,5,1
14.011143,8,2
14.021143,1,1
14.031548,1,1
14.041943,3,1
14.057458,3,0
14.067903,5,1
14.078306,2,1
14.088676,0,1
14.103599,0,1
14.114059,0,0
14.124060,0,0
14.134449,0,0
14.156219,-2,1
