time,deltaX,deltaY
3.247929,0,0
3.257930,0,0
3.268324,0,0
3.278714,0,0
3.295426,0,0
3.305884,0,0
3.316323,0,0
3.326744,0,0
3.344016,0,0
3.354018,0,0
3.364397,0,0
3.374798,0,0
3.391979,0,0
3.402448,0,0
3.412847,0,0
3.423265,0,0
3.439101,0,0
3.449101,0,0
3.459496,0,0
3.469912,0,0
3.486190,0,0
3.496658,0,0
3.506760,0,0
3.517183,0,0
3.539706,0,0
3.549707,0,0
3.560138,0,0
3.570691,0,0
3.586851,0,0
3.597221,0,0
3.607608,0,0
3.618044,0,0
3.634901,0,0
3.644901,0,0
3.655344,0,0
3.665768,0,0
3.681965,0,0
3.692445,0,0
3.702818,0,0
3.713225,0,0
3.728759,0,0
3.738761,0,0
3.755368,0,0
3.765818,0,0
3.783273,0,0
3.793849,0,0
3.804244,0,0
3.814599,0,0
3.830194,0,0
3.840194,0,0
3.850602,0,0
3.861015,0,0
3.877209,0,0
3.887338,0,0
3.897737,0,0
3.908152,0,0
3.924971,0,0
3.934972,0,0
3.945383,0,0
3.955755,0,0
3.972546,0,0
3.982549,0,0
3.992985,0,0
4.005928,0,0
4.026533,0,0
4.036534,0,0
4.046927,0,0
4.057344,0,0
4.073487,0,0
4.083863,0,0
4.094345,0,0
4.104711,0,0
4.120882,0,0
4.130883,0,0
4.141289,0,0
4.151704,0,0
4.168211,0,0
4.178679,0,0
4.189122,0,0
4.199505,0,0
4.215112,0,0
4.225530,0,0
4.235760,0,0
4.246168,0,0
4.256351,0,0
4.270075,0,0
4.280075,0,0
4.290600,0,0
4.301005,0,0
4.317222,0,0
4.327223,0,0
4.337609,0,0
4.347974,0,0
4.364786,0,0
4.374788,0,0
4.385203,0,0
4.395622,0,0
4.411794,0,0
4.422294,0,0
4.432718,0,0
4.443151,0,0
4.459318,0,0
4.469826,0,0
4.480210,0,0
4.490598,0,0
4.512950,0,0
4.522951,0,0
4.533384,0,0
4.543794,0,0
4.560043,0,0
4.570509,0,0
4.580876,0,0
4.591310,0,0
4.607870,0,0
4.618086,0,0
4.628504,0,0
4.638884,0,0
4.655656,0,0
4.666090,0,0
4.676505,0,0
4.686933,0,0
4.702518,0,0
4.712519,0,0
4.722903,0,0
4.733329,0,0
4.749477,0,0
4.762929,0,0
4.773379,0,0
4.783781,0,0
4.803773,0,0
4.813773,0,0
4.824210,0,0
4.834586,0,0
4.850739,0,0
4.861187,0,0
4.871587,0,0
4.882020,0,0
4.898630,0,0
4.908668,0,0
4.919096,0,0
4.929531,0,0
4.945701,0,0
4.956171,0,0
4.966548,0,0
4.976950,0,0
4.992553,0,0
5.002555,0,0
5.013444,0,0
5.023982,0,0
5.046453,0,0
5.056917,0,0
5.067366,0,0
5.077774,0,0
5.093368,0,0
5.103370,0,0
5.113370,0,0
5.123811,0,0
5.141208,0,0
5.151619,0,0
5.161998,0,0
5.172422,0,0
5.188004,0,0
5.198472,0,0
5.208917,0,0
5.219318,0,0
5.234812,0,0
5.245215,0,0
5.255554,0,0
5.265576,0,0
5.288147,0,0
5.298365,0,0
5.308775,0,0
5.319166,0,0
5.335331,0,0
5.345757,0,0
5.356136,0,0
5.366526,0,0
5.382081,0,0
5.392536,0,0
5.402905,0,0
5.413295,0,0
5.429475,0,0
5.439702,0,0
5.449815,0,0
5.460053,0,0
5.477531,0,0
5.487532,0,0
5.497657,0,0
5.514079,0,0
5.532325,0,0
5.542828,0,0
5.553250,0,0
5.563641,0,0
5.579185,0,0
5.589644,0,0
5.600052,0,0
5.610448,0,0
5.625962,0,0
5.636392,0,0
5.646797,0,0
5.657214,0,0
5.672791,0,0
5.682792,0,0
5.693201,0,0
5.703601,0,0
5.720426,0,0
5.730426,1,0
5.740827,0,0
5.751188,0,0
5.774027,0,0
5.784028,0,0
5.794433,0,0
5.804840,0,0
5.820406,0,0
5.830863,0,0
5.841452,0,0
5.851453,0,0
5.868478,0,0
5.878478,0,0
5.888856,0,0
5.899268,0,0
5.915446,0,0
5.926030,0,0
5.936468,1,0
5.946854,0,0
5.962407,0,0
5.972791,0,0
5.983176,0,0
5.993594,0,0
6.008545,0,0
6.024434,0,0
6.034436,0,0
6.044810,0,0
6.062409,0,0
6.072458,0,0
6.082852,0,0
6.093247,0,0
6.110420,0,0
6.120420,0,0
6.130974,0,0
6.141366,0,0
6.157093,0,0
6.167579,0,0
6.177981,0,0
6.188381,0,0
6.204527,0,0
6.215000,0,0
6.225438,0,0
6.235955,1,0
6.251551,1,-1
6.261552,0,0
6.274886,0,0
6.285344,0,0
6.305329,0,0
6.315330,-2,0
6.325746,0,1
6.336207,-1,0
6.351870,-1,-1
6.361872,-1,0
6.372507,0,-1
6.382919,0,-1
6.399739,0,0
6.410245,0,0
6.420717,0,0
6.431162,0,0
6.447390,0,0
6.457400,0,0
6.467848,0,0
6.478306,0,0
6.493889,0,-1
6.503889,0,0
6.514377,0,0
6.525247,0,0
6.547836,-1,0
6.557867,0,0
6.568334,0,0
6.578847,0,0
6.595019,1,0
6.605170,0,0
6.615636,1,0
6.626122,1,0
6.643013,0,1
6.653024,2,0
6.663500,1,0
6.673937,2,0
6.689512,1,0
6.699512,0,0
6.709968,0,-1
6.720460,-2,0
6.736097,-3,0
6.746118,-3,-1
6.756625,-2,0
6.767073,-1,0
6.789221,-1,-1
6.799221,0,0
6.809648,0,0
6.820085,0,0
6.836914,1,0
6.846916,0,0
6.857381,1,0
6.867609,1,0
6.884413,0,0
6.894489,0,0
6.904927,0,0
6.915392,0,0
6.932288,-2,-1
6.942289,-1,-1
6.952869,0,-1
6.963310,1,-2
6.978888,1,-2
6.988889,0,-3
6.999347,-1,-2
7.009799,-2,-2
7.030278,0,-2
7.044804,-1,-2
7.054863,0,-2
7.065325,-1,-1
7.075772,-1,-1
7.091330,-1,1
7.101332,0,2
7.111784,0,0
7.122242,1,0
7.137260,2,0
7.147261,0,1
7.157739,0,1
7.168216,-2,5
7.183195,-4,7
7.193197,-3,6
7.203638,-2,3
7.214085,-2,5
7.230574,0,2
7.240575,0,1
7.251041,0,0
7.261563,-1,0
7.283184,-4,0
7.293184,-3,2
7.303641,-1,3
7.314106,-3,7
7.329817,-1,3
7.339823,-2,2
7.350288,-1,0
7.360748,0,0
7.376459,0,-1
7.386460,0,0
7.396927,0,5
7.407398,1,4
7.423038,3,6
7.433039,1,2
7.443507,3,4
7.453987,2,3
7.469570,5,4
7.479571,2,0
7.490027,3,1
7.500510,2,1
7.516169,3,6
7.533309,3,2
7.543814,4,1
7.554309,2,0
7.571328,8,-2
7.581330,3,-2
7.591800,5,-3
7.601949,4,-1
7.618385,4,6
7.628387,4,9
7.638848,1,5
7.649315,2,10
7.664304,1,11
7.674306,4,5
7.684730,3,0
7.695203,3,-4
7.710186,2,-5
7.720186,3,-1
7.730587,2,1
7.741058,2,8
7.756627,3,11
7.766627,4,8
7.783759,2,4
7.794228,3,2
7.809884,4,-2
7.819886,4,-7
7.830298,3,-3
7.840748,3,-5
7.855678,2,-3
7.866162,1,0
7.876534,1,1
7.886930,1,1
7.902494,3,0
7.912495,2,-4
7.922926,0,-2
7.933366,0,-2
7.949567,0,2
7.960119,0,4
7.970319,1,1
7.980321,4,0
7.996585,5,-1
8.006585,3,1
8.017058,1,2
8.034183,3,8
8.049751,3,3
8.060236,2,1
8.070652,3,2
8.081062,0,1
8.095402,0,5
8.105403,0,6
8.115824,0,2
8.126252,0,0
8.141189,0,0
8.151189,0,0
8.161649,1,0
8.172126,0,3
8.187751,0,5
8.197751,0,3
8.208016,1,1
8.218430,3,1
8.234610,2,3
8.244610,1,5
8.255046,1,7
8.265514,1,3
8.287914,0,-3
8.297925,0,-4
8.308384,1,-1
8.318806,1,0
8.335038,2,5
8.345040,0,1
8.355504,4,3
8.365911,3,0
8.381477,11,0
8.391695,4,-2
8.402098,6,0
8.412521,1,1
8.428101,0,15
8.438588,1,6
8.448994,3,6
8.459410,3,0
8.474356,10,-5
8.484357,3,-1
8.494809,0,0
8.505217,-2,1
8.520716,-8,5
8.537857,-5,0
8.548313,-4,-4
8.558746,-1,-3
8.573157,-5,-9
8.583157,-3,-2
8.593692,-6,0
8.604159,-4,0
8.619131,-7,2
8.629139,0,0
8.639506,0,-3
8.649932,1,-1
8.667381,1,1
8.677381,0,2
8.687846,-3,6
8.697848,-6,7
8.713425,-3,4
8.723427,-1,0
8.733890,0,-4
8.744366,-1,-7
8.759387,-4,-6
8.769388,-2,-1
8.779823,-4,0
8.789956,-2,3
8.811876,0,-2
8.821876,0,-3
8.832348,1,-5
8.842778,1,0
8.859025,0,1
8.869025,0,1
8.879478,-1,2
8.889933,0,-2
8.904247,-2,-6
8.914249,-1,-3
8.924730,-5,-3
8.935176,-3,0
8.950754,-3,0
8.960755,-2,-2
8.971189,-3,-5
8.981642,-3,-4
8.995942,-2,-1
9.006077,-1,0
9.016546,-1,1
9.027010,-1,1
9.050144,-1,-3
9.060154,0,0
9.070627,0,0
9.081101,0,0
9.096835,-1,0
9.106873,-1,0
9.117316,0,-3
9.127789,1,-3
9.142820,2,-2
9.152820,2,-1
9.163252,3,0
9.173666,3,1
9.189217,2,-1
9.199219,1,-2
9.209657,3,-6
9.220098,3,-4
9.235081,2,0
9.245083,1,1
9.255524,2,4
9.265981,0,6
9.281540,1,4
9.291542,0,2
9.301698,-1,0
9.312287,-2,-4
9.334855,-1,0
9.344905,0,10
9.355386,0,7
9.365862,0,15
9.381461,0,12
9.391461,-2,10
9.401921,0,4
9.411969,-1,6
9.428242,0,6
9.438280,1,7
9.448744,1,3
9.459195,2,6
9.474131,1,7
9.484131,0,7
9.494588,0,3
9.505047,1,8
9.520629,1,10
9.530630,2,12
9.541030,0,7
9.551109,-2,13
9.572970,-8,20
9.582972,-5,8
9.593387,-1,5
9.603823,-3,8
9.618821,-3,3
9.628821,-2,6
9.639252,-3,6
9.649699,-4,8
9.664626,-3,11
9.675095,-2,5
9.685505,-1,2
9.695907,-2,1
9.710862,-3,0
9.720862,-1,2
9.731305,-3,3
9.741732,-8,0
9.756682,-5,-3
9.766682,-1,0
9.777098,0,4
9.787514,-1,3
9.810398,1,9
9.820399,1,9
9.830862,3,11
9.841329,3,3
9.856944,6,-4
9.867438,8,-7
9.877845,6,-2
9.888253,5,2
9.903432,4,9
9.913432,0,7
9.923863,1,2
9.934262,1,1
9.949787,2,-2
9.960289,1,-6
9.970727,1,-6
9.981171,0,-9
9.995498,-1,-1
10.005498,-3,-1
10.015955,-4,-7
10.026421,-7,-10
10.040918,-2,-3
10.051417,-6,4
10.061519,-7,5
10.072019,-5,1
10.093329,-10,9
10.103331,-1,4
10.113759,0,2
10.124275,0,-2
10.139190,5,-5
10.149363,2,0
10.159800,1,5
10.170268,0,9
10.185883,0,15
10.195885,2,2
10.206357,2,0
10.216800,3,0
10.231108,2,0
10.241633,1,8
10.252114,0,9
10.262580,-1,13
10.276331,0,1
10.286366,1,0
10.296818,2,-3
10.310764,2,-1
10.328932,-1,9
10.338984,-1,9
10.349460,-2,7
10.359956,2,5
10.375002,2,-3
10.385025,1,-2
10.395506,1,0
10.405987,0,5
10.420960,1,6
10.430961,2,7
10.441440,3,4
10.451918,2,0
10.466951,1,-1
10.476953,1,-1
10.487381,5,1
10.497829,3,1
10.514150,2,0
10.524152,0,-1
10.534622,0,0
10.545090,0,-2
10.566086,0,-3
10.580038,0,0
10.590053,-1,0
10.600371,-1,1
10.610817,0,0
10.626770,0,0
10.636957,0,0
10.647389,-1,0
10.657847,-2,0
10.673429,-3,3
10.683431,-3,0
10.693855,0,-1
10.704340,1,-2
10.719328,3,0
10.729328,-7,-3
10.739939,-4,0
10.750430,0,1
10.766079,1,1
10.776118,1,0
10.786608,2,0
10.797070,1,0
10.818679,0,0
10.828683,0,0
10.839158,0,1
10.849662,0,0
10.865349,1,1
10.875413,0,0
10.885896,1,0
10.896381,0,0
10.911378,1,0
10.921456,0,2
10.931927,0,13
10.942415,0,2
10.958703,3,0
10.968705,1,0
10.979163,0,0
10.989614,1,0
11.004575,1,1
11.014576,0,2
11.025028,-1,0
11.035497,0,-1
11.050509,0,-2
11.060509,0,0
11.070639,0,0
11.081073,0,2
11.102928,0,1
11.112928,-1,0
11.123359,0,-1
11.133833,-2,0
11.148853,-6,3
11.158876,-4,5
11.169372,-2,1
11.179861,-1,-1
11.194213,0,-1
11.204213,-1,0
11.214706,-2,1
11.225200,-4,4
11.239606,-4,3
11.249614,-1,0
11.260148,-1,0
11.270619,0,-1
11.285617,1,0
11.295618,1,3
11.306101,0,4
11.318853,2,6
11.338315,4,0
11.348315,1,0
11.358753,1,1
11.369197,4,3
11.384757,3,2
11.395243,3,4
11.405649,1,2
11.416057,1,1
11.431064,1,-1
11.441385,0,-1
11.451385,1,0
11.461484,0,0
11.478270,0,2
11.488508,0,1
11.498537,0,1
11.508700,0,0
11.525113,0,-1
11.535115,0,0
11.545556,-1,0
11.555987,-2,0
11.577201,-4,1
11.587201,-1,0
11.597662,-1,-3
11.608102,0,-2
11.623771,-1,0
11.633817,-1,3
11.644283,-2,2
11.654742,-1,1
11.669723,0,0
11.679725,0,-1
11.690187,0,-1
11.700633,2,0
11.727309,0,0
11.737309,0,1
11.747717,0,0
11.758124,1,0
11.774702,1,0
11.784703,1,0
11.795144,1,0
11.805585,1,0
11.833523,5,1
11.843523,1,0
11.853959,1,0
11.864376,0,0
11.879360,0,0
11.889362,0,0
11.899801,0,0
11.910251,-2,0
11.925290,-2,0
11.935291,-2,-1
11.945706,-2,0
11.956145,-1,0
11.971077,-2,0
11.981392,-2,0
11.991853,-2,0
12.002297,-2,0
12.017903,-3,0
12.027903,0,0
12.038381,0,0
12.048777,1,1
12.064329,1,1
12.074832,2,0
12.084883,1,-1
12.095301,2,-1
12.117220,5,1
12.127221,3,1
12.137639,1,2
12.148054,1,2
12.163590,2,0
12.173592,0,0
12.184003,1,0
12.194425,0,0
12.210942,0,1
12.220942,0,1
12.231379,0,2
12.241818,0,0
12.256749,-1,0
12.266751,0,-1
12.277256,0,-1
12.287692,0,0
12.302688,0,2
12.312688,0,2
12.323106,0,0
12.333924,0,0
12.355796,0,-1
12.365906,0,0
12.376366,0,1
12.386808,0,1
12.402428,0,2
12.412428,1,0
12.422845,1,0
12.433300,2,1
12.448898,3,2
12.459366,1,3
12.469741,2,1
12.480295,3,0
12.495256,5,0
12.505256,2,0
12.515688,3,1
12.526131,3,2
12.542320,1,2
12.552795,2,0
12.563224,4,0
12.573649,3,0
12.595269,6,0
12.605271,2,0
12.615649,5,1
12.626018,3,1
12.642219,4,1
12.652676,2,0
12.663092,5,1
12.673128,4,0
12.688759,4,0
12.698759,4,1
12.709094,5,1
12.719507,3,1
12.735067,4,1
12.745067,4,1
12.755460,2,0
12.765894,5,0
12.781506,5,2
12.791598,4,2
12.802065,3,2
12.812530,4,2
12.828127,6,0
12.838128,7,1
12.848223,3,1
12.858677,6,3
12.869127,5,4
12.882917,5,4
12.892919,2,2
12.903366,5,4
12.913484,2,1
12.929955,6,3
12.940521,3,0
12.951013,4,2
12.961502,4,3
12.976533,3,4
12.986541,2,2
12.996543,4,3
13.007019,2,1
13.023873,7,2
13.033873,4,2
13.044366,2,1
13.054863,4,3
13.069901,5,4
13.079914,4,2
13.096448,4,0
13.106943,3,-1
13.123217,3,0
13.133218,3,1
13.143705,1,2
13.154194,1,1
13.169242,2,0
13.179262,3,-2
13.189747,1,-1
13.200247,2,0
13.215836,3,0
13.225838,2,1
13.236327,1,1
13.246779,3,2
13.262393,2,1
13.272404,4,0
13.282873,2,0
13.293349,3,0
13.308328,3,3
13.318328,2,7
13.328797,1,3
13.339279,3,3
13.360941,5,-4
13.370941,4,0
13.381397,1,0
13.391828,3,6
13.406760,1,7
13.417243,2,5
13.427688,1,1
13.438138,1,0
13.452504,0,0
13.462505,0,0
13.472940,0,1
13.483409,-2,5
13.497761,-1,6
13.507761,-1,2
13.518209,-1,0
13.528651,0,-1
13.543047,-1,-4
13.553682,0,0
13.564187,-2,3
13.574628,0,3
13.589616,-2,6
13.599927,0,1
13.610424,1,-1
13.620853,1,-1
13.642189,3,3
13.652190,0,2
13.662191,0,3
13.672623,0,0
13.689129,2,-2
13.699643,1,-1
13.710069,2,-1
13.720505,1,2
13.735614,2,3
13.745614,0,2
13.756091,2,3
13.766535,2,0
13.781479,4,-1
13.791481,1,0
13.801913,3,0
13.812374,1,2
13.827350,4,7
13.837351,1,2
13.848136,2,4
13.858592,1,1
14.010516,33,6
14.021028,4,1
14.031501,5,0
14.041927,2,-1
14.112162,28,1
14.122164,2,0
14.132592,4,-3
14.143041,4,-3
14.156882,4,-2
14.170630,3,0
14.181125,1,1
14.191548,2,1
14.201974,1,0
14.216329,6,-2
14.226329,2,-2
14.236732,4,-3
14.247136,2,0
14.262020,4,0
14.272496,1,0
14.282891,3,0
14.293303,2,0
14.308214,5,-3
14.318716,1,-1
14.329140,4,0
14.339546,1,0
14.353771,3,2
14.363983,3,2
