time,gyro x,gyro y,gyro z,accel x,accel y,accel z
7.657254,-2.327285767,3.420227051,0.299552917,-0.085259154,-0.127273798,0.846331835
7.666965,18.607772827,-5.109436035,0.398735046,-0.069023803,-0.041214235,1.054827929
7.667591,17.310775757,-4.804260254,-0.081916809,0.008124634,0.004684202,1.024432421
7.668218,16.204513550,-3.499633789,-0.310798645,0.069037721,-0.001175173,1.029681444
7.668845,15.594161987,-1.859313965,-0.539680481,0.034369752,-0.036819704,1.050311327
7.669470,15.296615601,-1.790649414,0.383476257,-0.019585326,-0.038894899,1.063494921
7.670096,15.014328003,-3.492004395,1.085380554,-0.063530639,-0.035965212,1.085467577
7.670723,14.274276733,-5.719787598,1.428703308,-0.045342162,-0.017166384,1.093035936
7.671348,13.236679077,-5.651123047,1.016716003,-0.002129273,-0.000686891,1.072650194
7.671973,13.808883667,-4.727966309,0.299552917,0.018988892,-0.035354860,1.102313280
7.672599,12.702621460,-3.072387695,-0.059028625,0.058417603,0.006393187,1.054949999
7.673225,10.406173706,-0.569946289,0.146965027,0.095160767,0.006881468,1.013201952
7.673850,10.169662476,0.093811035,0.505546570,0.061591431,-0.057571657,1.022235155
7.674476,9.811080933,0.124328613,1.413444519,-0.026909545,-0.057327516,1.032733202
7.675102,10.924972534,-1.866943359,2.023796082,-0.084038451,-0.082474001,1.076678514
7.675728,11.901535034,-4.605895996,1.855949402,-0.123833373,-0.077224977,1.117083788
7.676354,12.641586304,-6.307250977,1.726249695,-0.066216186,-0.016922243,1.097430468
7.676980,10.429061890,-5.124694824,0.619987488,0.061713502,0.016158812,1.066668749
7.677606,9.803451538,-2.553588867,0.337699890,0.071845338,-0.022171266,1.095355272
7.678231,9.017623901,-0.699645996,0.734428406,0.050116822,-0.014358766,1.088519335
7.678857,6.911911011,-0.775939941,1.451591492,0.019599244,0.053024046,1.066058397
7.679484,1.495040894,-0.585205078,2.573112488,0.083808228,0.223800421,1.028094530
7.680111,-5.729995728,1.345031738,2.657035828,0.112738892,0.164108038,1.050189257
7.680738,-8.232437134,3.145568848,2.443412781,0.023993775,0.005904905,1.080340624
7.681363,-8.949600220,3.748291016,2.077201843,-0.054497436,-0.046951540,1.006243944
7.681989,-8.705459595,2.848022461,2.275566101,-0.121758178,-0.131302118,0.966082811
7.682615,-5.882583618,-0.630981445,2.473930359,-0.149956420,-0.200271845,0.931292772
7.683241,-2.792678833,-3.003723145,2.397636414,-0.130303100,-0.209793329,0.894549608
7.683867,-0.419937134,-4.193908691,2.351860046,-0.028374389,-0.105301149,0.839740038
7.684493,-0.694595337,-3.064758301,2.321342468,0.005561157,-0.064895876,0.854754686
7.685118,0.014938354,-2.889282227,2.840141296,0.017035767,-0.077835329,0.885638475
7.685745,1.098312378,-2.584106445,3.122428894,-0.002251343,-0.071487673,0.893450975
7.686370,1.601852417,-1.996643066,2.687553406,0.003852173,-0.067215212,0.869158983
7.686996,3.387130737,-1.752502441,2.519706726,-0.026543334,-0.115921266,0.878070116
7.687621,5.424179077,-2.668029785,2.565483093,-0.047661498,-0.118606813,0.863909960
7.688246,6.431259155,-3.049499512,2.504447937,-0.036797240,-0.101516970,0.839862108
7.688871,7.613815308,-3.766662598,2.832511902,-0.064263061,-0.148147821,0.872210741
7.689496,10.955490112,-5.956298828,3.427604675,-0.111504272,-0.179641962,0.923236132
7.690122,12.923873901,-8.123046875,3.580192566,-0.072685912,-0.116653688,0.924334764
7.690748,13.587631226,-8.710510254,3.580192566,-0.028008178,-0.075149782,0.959735155
7.691374,14.999069214,-8.275634766,2.962211609,0.015570923,-0.093216188,0.998309374
7.692001,16.448654175,-7.222778320,2.534965515,0.022162721,-0.075027712,1.024554491
