time,deltaX,deltaY
7.665566,0,0
7.766042,0,0
7.866128,0,0
7.976454,0,0
8.076939,0,0
8.177399,0,0
8.284927,0,0
8.385447,0,0
8.485559,0,0
8.593630,0,0
8.693631,0,0
8.794000,0,0
8.902867,0,0
9.003275,0,0
9.103725,0,0
9.215638,0,0
9.315640,0,0
9.434854,0,0
9.534885,0,0
9.635309,0,0
9.742441,0,0
9.842521,0,0
9.942586,0,0
10.049581,0,0
10.149613,0,0
10.249962,0,0
10.355648,0,0
10.456072,0,0
10.556074,0,0
10.658458,0,0
10.758819,0,0
10.859179,0,0
10.966391,0,0
11.066468,0,0
11.175242,0,0
11.275711,0,0
11.375712,0,0
11.482590,0,0
11.583007,0,0
11.694180,0,0
11.794291,0,0
11.894612,0,0
11.998177,0,0
12.098492,0,0
12.220046,0,0
12.320402,0,0
12.420806,0,0
12.532354,0,0
12.632461,0,0
12.751007,0,0
12.851539,0,0
12.960328,0,0
13.060581,0,0
13.160809,0,0
13.269260,0,0
13.369427,0,0
13.479503,0,0
13.579504,0,0
13.679859,0,0
13.786016,0,0
13.886018,0,0
13.997371,0,0
14.097574,0,0
14.197961,0,0
14.307139,0,0
14.407586,0,0
14.516706,0,0
14.616875,0,0
14.717246,0,0
14.825636,0,0
14.925692,0,0
15.037419,0,0
15.137844,0,0
15.238322,0,0
15.348053,0,0
15.448443,0,0
15.548978,0,0
15.653920,0,0
15.753983,0,0
15.854036,0,0
15.957710,0,0
16.057710,0,0
16.157888,0,0
16.261727,0,0
16.362246,0,0
16.462248,0,0
16.564872,0,0
16.665300,0,0
16.765752,0,0
16.866214,0,0
17.115107,0,0
17.217810,0,0
17.318001,0,0
17.553279,0,0
17.653307,0,0
17.765947,0,0
17.866335,0,0
17.966606,0,0
18.078031,0,0
18.178208,0,0
18.288837,0,0
18.389049,0,0
18.489329,0,0
18.598945,0,0
18.699452,0,0
18.818771,0,0
18.918879,0,0
19.019125,0,0
19.124069,0,0
19.224589,0,0
19.324759,0,0
19.427797,0,0
19.528110,0,0
19.628131,0,0
19.729947,0,0
19.830446,0,0
19.930897,0,0
20.031389,0,0
20.131550,0,0
20.231963,0,0
20.340690,0,0
20.440826,0,0
20.550795,0,0
20.651305,0,0
20.751845,0,0
20.860396,0,0
20.960396,0,0
21.070273,0,0
21.170682,0,0
21.271222,0,0
21.378999,0,0
21.479001,0,0
21.587714,0,0
21.687946,0,0
21.788320,0,0
21.893561,0,0
21.993848,0,0
22.102622,0,0
22.203038,0,0
22.303405,0,0
22.410081,0,0
22.510158,0,0
22.620817,0,0
22.721249,0,0
22.821665,0,0
22.929228,0,0
23.029247,0,0
23.139836,0,0
23.240357,0,0
23.340869,0,0
23.447723,0,0
23.547725,0,0
23.657046,0,0
23.760608,0,0
23.860609,0,0
23.960611,0,0
24.068499,0,0
24.168694,0,0
24.268978,0,0
24.369207,0,0
24.469214,0,0
24.569291,0,0
24.669661,0,0
24.769662,0,0
24.874441,0,0
24.974631,0,0
25.075214,0,0
25.183217,0,0
25.283292,0,0
25.383485,0,0
25.484062,0,0
25.584200,0,0
25.684200,0,0
25.784533,0,0
25.890174,0,0
25.990490,0,0
26.090977,0,0
26.195231,0,0
26.295585,0,0
26.396158,0,0
26.507896,0,0
26.607898,0,0
26.718603,0,0
26.818980,0,0
26.918982,0,0
27.023586,0,0
27.123910,0,0
27.239562,0,0
27.339898,0,0
27.448918,0,0
27.549110,0,0
27.649130,0,0
27.756645,0,0
27.856809,0,0
27.968278,0,0
28.068278,0,0
28.168494,0,0
28.279622,0,0
28.379910,0,0
28.490296,0,0
28.590526,0,0
28.690710,0,0
28.797188,0,0
28.897484,0,0
29.007376,0,0
29.107581,0,0
29.207907,0,0
