time,gyro x,gyro y,gyro z,accel x,accel y,accel z
5.527383,2.975616455,5.102561951,-0.051223755,0.047988892,-0.007263429,1.118382931
5.537054,0.808868408,6.262229919,-0.188552856,-0.048446655,-0.049621828,0.847264767
5.537680,2.365264893,5.682395935,-0.150405884,-0.056259155,-0.055237062,0.840428829
5.538306,3.914031982,4.797386169,-0.302993774,-0.058700562,-0.047790773,0.827123165
5.538932,5.363616943,4.087852478,-0.493728638,-0.055770874,-0.032409914,0.812596798
5.539558,6.408843994,3.767417908,-0.455581665,-0.057846069,-0.036194094,0.812474728
5.540183,7.927093506,3.134178162,-0.692092896,-0.062728882,-0.035827883,0.820897579
5.540809,8.735809326,2.493309021,-1.027786255,-0.062362671,-0.027282961,0.823338985
5.541434,9.292755127,1.943992615,-0.959121704,-0.059066772,-0.029724367,0.826268673
5.542061,9.819183350,1.104759216,-1.020156860,-0.048812866,-0.023742922,0.830419064
5.542687,10.368499756,0.479148865,-0.714981079,-0.041854858,-0.022033937,0.829564571
5.543312,10.574493408,-0.009132385,-0.859939575,-0.037826538,-0.016052492,0.836156368
5.543937,11.001739502,-0.321937561,-0.974380493,-0.038070679,0.000549071,0.839940548
5.544564,11.230621338,-0.749183655,-0.768386841,-0.039169312,0.012145750,0.847264767
5.545191,11.207733154,-1.466346741,-0.791275024,-0.041488647,0.017272703,0.860814571
5.545817,11.230621338,-1.824928284,-0.997268677,-0.043319702,0.023376219,0.876317501
5.546443,10.795745850,-2.198768616,-1.096450806,-0.039413452,0.016784422,0.885961056
5.547068,10.566864014,-2.656532288,-1.172744751,-0.032821655,0.011413328,0.892430782
5.547694,10.299835205,-2.954078674,-1.073562622,-0.029525757,0.003356688,0.903050900
5.548320,9.720001221,-3.381324768,-0.936233521,-0.024887085,0.003844969,0.916356564
5.548945,9.285125732,-3.984046936,-0.783645630,-0.022567749,0.010070555,0.928685665
5.549572,8.529815674,-4.121376038,-0.806533813,-0.017684937,0.017028563,0.939305782
5.550198,7.408294678,-4.098487854,-0.707351685,-0.015365601,0.018859617,0.954076290
5.550824,6.744537354,-4.418922424,-0.653945923,-0.013290405,0.019347899,0.965550900
5.551449,5.882415771,-4.373146057,-0.562393188,-0.007186890,0.027648680,0.971898556
5.552075,4.707489014,-4.235816956,-0.638687134,-0.002670288,0.034484617,0.966527462
5.552700,3.585968018,-4.319740295,-0.562393188,-0.003524780,0.025329344,0.967137814
5.553325,2.937469482,-4.502845764,-0.287734985,-0.009628296,0.015807860,0.976171017
5.553950,2.449188232,-4.670692444,-0.295364380,-0.007308960,0.001647703,0.978856564
5.554577,1.846466064,-4.678321838,-0.241958618,-0.009628296,-0.008117922,0.983129025
5.555202,1.739654541,-4.724098206,-0.127517700,-0.009872437,-0.016296633,0.988011837
5.555828,1.991424561,-4.808021545,-0.020706177,-0.008651733,-0.025573976,0.993382931
5.556453,1.922760010,-4.739356995,-0.310623169,-0.005722046,-0.023376711,0.990087032
5.557079,1.762542725,-4.235816956,-0.089370728,-0.001815796,-0.016906984,0.988744259
5.557706,1.358184814,-4.304481506,0.032699585,-0.000350952,-0.020935304,0.988378048
5.558332,1.266632080,-4.899574280,0.284469604,-0.004257202,-0.028503664,1.000096798
5.558957,1.495513916,-4.998756409,0.360763550,-0.011581421,-0.025329836,1.006566525
5.559583,1.632843018,-4.960609436,0.314987183,-0.007064819,-0.012390383,1.004003048
5.560210,1.777801514,-5.014015198,0.482833862,-0.000106812,-0.016784914,1.009496212
5.560835,1.663360596,-5.044532776,0.498092651,-0.004501343,-0.019348390,1.016820431
5.561462,1.869354248,-4.945350647,0.528610229,-0.006088257,-0.013611086,1.018407345
5.562087,1.541290283,-4.746986389,0.589645386,-0.004989624,-0.015808351,1.023534298
5.562713,1.541290283,-5.090309143,0.696456909,-0.007064819,-0.018249758,1.030980587
5.563338,1.259002686,-5.128456116,0.795639038,-0.002548218,-0.014221437,1.029149532
5.563965,1.220855713,-4.960609436,0.833786011,0.007339478,-0.015686281,1.028295040
5.564591,1.014862061,-4.891944885,1.047409058,0.008804321,-0.025818117,1.033177853
5.565218,1.159820557,-4.640174866,0.986373901,0.011001587,-0.021789797,1.033299923
