time,deltaX,deltaY
5.535732,0,0
5.635899,0,0
5.736117,0,0
5.846479,0,0
5.946808,0,0
6.046968,0,0
6.153314,0,0
6.253748,0,0
6.353966,0,0
6.459127,0,0
6.559302,0,0
6.659706,0,0
6.759996,0,0
6.870435,0,0
6.970724,0,0
7.071194,0,0
7.174872,0,0
7.275372,0,0
7.375800,0,0
7.485309,0,0
7.585324,0,0
7.685589,0,0
7.789685,0,0
7.889995,0,0
7.990240,0,0
8.099950,0,0
8.200250,0,0
8.300520,0,0
8.404610,0,0
8.504610,0,0
8.604633,0,0
8.709853,0,0
8.810110,0,0
8.910553,0,0
9.012322,0,0
9.112322,0,0
9.212466,0,0
9.313542,0,0
9.413990,0,0
9.513991,0,0
9.623642,0,0
9.723892,0,0
9.823931,0,0
9.930624,0,0
10.030624,0,0
10.130624,0,0
10.232958,0,0
10.332959,0,0
10.433152,0,0
10.533535,0,0
10.633723,0,0
10.734208,0,0
10.834307,0,0
10.943658,0,0
11.043677,0,0
11.143678,0,0
11.245447,0,0
11.345612,0,0
11.445884,0,0
11.545957,0,0
11.646021,0,0
11.758376,0,0
11.858550,0,0
11.958884,0,0
12.059250,0,0
12.159377,0,0
12.259379,0,0
12.364080,0,0
12.464171,0,0
12.575710,0,0
12.675927,0,0
12.776114,0,0
12.886546,0,0
12.987001,0,0
13.098985,0,0
13.199087,0,0
13.299336,0,0
13.408133,0,0
13.508437,0,0
13.608486,0,0
13.714042,0,0
13.814363,0,0
13.914614,0,0
14.019467,0,0
14.119789,0,0
14.220201,0,0
14.323071,0,0
14.423183,0,0
14.523471,0,0
14.628467,0,0
14.728468,0,0
14.828756,0,0
14.938559,0,0
15.038736,0,0
15.138737,0,0
15.243654,0,0
15.343720,0,0
15.444178,0,0
15.548987,0,0
15.649154,0,0
15.749310,0,0
15.858007,0,0
15.958288,0,0
16.058605,0,0
16.164076,0,0
16.264230,0,0
16.364488,0,0
16.474225,0,0
16.574225,0,0
16.674429,0,0
16.779568,0,0
16.879859,0,0
16.980095,0,0
17.084176,0,0
17.184366,0,0
17.284797,0,0
17.385304,0,0
17.485531,0,0
17.586004,0,0
17.695779,0,0
17.796194,7,-3
17.896505,39,-14
18.000797,-11,10
18.101152,3,-3
18.201316,0,0
18.304461,0,0
18.404692,0,0
18.504891,0,0
18.604983,0,0
18.713774,0,0
18.813775,0,0
18.926080,0,0
19.026490,0,0
19.126696,0,0
19.237852,0,0
19.338052,-2,0
19.456297,-34,10
19.556479,0,0
19.668446,0,0
19.768725,0,0
19.868922,0,0
19.978395,0,0
20.078395,0,0
20.187734,0,0
20.287932,0,0
20.388132,0,0
20.496158,0,0
20.596417,0,0
20.708428,-3,-1
20.808596,-25,7
20.908856,-14,-2
21.017754,0,0
21.117875,0,0
21.228960,0,0
21.329102,0,0
21.429266,0,0
21.537830,0,0
21.637830,0,0
21.750106,0,0
21.850437,0,0
21.950848,0,0
22.051113,27,2
22.160943,25,0
22.261069,-7,2
22.361093,21,-6
22.461442,-7,0
22.561536,-5,-5
22.661850,0,0
22.761907,0,0
22.861907,0,0
22.962053,8,11
23.071369,-10,0
23.171441,-21,-4
23.280830,27,-7
23.381011,-15,-4
23.481193,-44,-4
23.588513,-4,-12
23.688611,7,32
23.799503,-6,0
23.900179,0,0
24.000181,0,0
24.109315,0,0
24.209437,0,0
24.309438,0,0
24.415510,0,0
24.515605,0,0
24.615769,0,0
24.720661,0,0
24.821178,0,0
24.921638,0,0
25.023310,0,0
25.123639,0,0
25.223787,0,0
25.325317,0,0
25.425328,0,0
25.525530,0,0
25.634580,0,0
25.735006,0,0
25.846888,0,0
25.946889,-17,-9
26.047277,-9,-13
26.154417,0,6
26.254618,-2,-1
26.354640,-1,0
26.461108,-1,0
26.561169,0,0
26.661170,2,1
26.768336,-1,0
26.868362,-1,-1
26.968963,0,0
27.080593,1,0
27.180802,0,0
27.280804,-1,0
27.387800,0,0
27.487802,0,0
27.587964,0,0
27.688423,0,0
27.788951,0,0
27.888952,0,0
27.989271,0,0
28.095750,0,0
28.196159,0,0
28.296161,0,0
28.409313,0,0
28.509716,0,0
28.610118,0,1
28.718293,0,-1
28.818400,0,0
28.918515,0,0
29.025637,0,0
29.125638,0,0
29.225639,0,0
29.332745,0,6
29.432745,-3,8
29.532746,22,-53
29.635500,43,-149
29.735973,-55,-166
29.847520,-51,-47
29.947550,-29,9
30.047784,-37,18
30.148159,-22,5
30.248573,0,5
30.348736,3,1
30.455403,0,-4
30.555755,0,-7
30.671541,9,-27
30.771917,12,-55
30.881426,0,-63
