time,deltaX,deltaY
6.753206,-29,-16
6.853272,0,0
6.953687,0,0
7.053855,0,0
7.154060,0,0
7.254061,0,0
7.354184,0,0
7.463904,0,0
7.564328,0,0
7.664369,0,0
7.764980,0,0
7.865321,0,0
7.965435,0,0
8.065438,0,0
8.169598,0,0
8.269888,0,0
8.369890,0,0
8.470066,0,0
8.570445,0,0
8.670505,0,0
8.770854,0,0
8.880171,0,0
8.980444,0,0
9.080968,0,0
9.182087,0,0
9.282211,0,0
9.382564,0,0
9.486618,0,0
9.586676,0,0
9.686782,0,0
9.796509,0,0
9.896840,0,0
10.007144,0,0
10.107566,0,0
10.207684,0,0
10.313361,0,0
10.413450,0,0
10.524492,0,0
10.624864,0,0
10.725027,0,0
10.829384,0,0
10.929795,0,0
11.039146,0,0
11.139147,0,0
11.239234,0,0
11.345510,0,0
11.445628,0,0
11.557992,0,0
11.658453,0,0
11.758812,0,0
11.866054,0,0
11.966126,0,0
12.075404,0,0
12.175808,0,0
12.276354,0,0
12.382896,0,0
12.483146,0,0
12.583316,0,0
12.686698,0,0
12.786914,48,3
12.903150,24,1
13.003341,0,0
13.103512,0,0
13.207322,0,0
13.307576,0,0
13.407821,0,0
13.509639,0,0
13.610090,0,0
13.710091,0,0
13.810368,0,0
13.910438,0,0
14.010782,0,0
14.112060,0,0
14.212060,0,0
14.312273,0,0
14.418031,0,0
14.518638,0,0
14.629224,0,0
14.729625,0,0
14.829788,0,0
14.938269,0,0
15.038369,0,0
15.149799,0,0
15.250165,0,0
15.350653,0,0
15.457891,0,0
15.558374,0,0
15.669417,27,4
15.769536,13,3
15.869945,6,4
15.977162,61,6
16.077422,0,-4
16.188517,66,7
16.288746,0,0
16.389146,0,0
16.496583,0,0
16.596583,0,0
16.707722,0,0
16.807744,0,0
16.908264,0,0
17.019583,0,0
17.119669,0,0
17.230077,0,0
17.330257,0,0
17.430337,0,0
17.537393,0,0
17.637843,0,0
17.748303,3,-3
17.848303,50,4
17.948703,44,1
18.058273,24,3
18.158383,-13,-2
18.269073,2,0
18.369464,0,0
18.469819,0,0
18.575772,0,0
18.675797,0,0
18.786633,0,0
18.886795,0,0
18.986861,0,0
19.093247,0,0
19.193248,0,0
19.303164,0,0
19.403460,0,0
19.503643,0,0
19.603643,0,0
19.703761,0,0
19.803992,0,0
19.904458,0,0
20.004714,0,0
20.109547,0,0
20.210067,0,0
20.318189,0,0
20.418531,0,0
20.518531,0,0
20.626913,0,0
20.727225,0,0
20.835171,0,0
20.935514,0,0
21.035779,0,0
21.141318,0,0
21.241318,0,0
21.349604,0,0
21.450118,0,0
21.550369,0,0
21.655328,0,0
21.755752,0,0
21.863727,0,0
21.963905,5,-4
22.063905,-16,-77
22.170648,-124,-158
22.270775,-98,-68
22.377557,0,-1
22.477847,0,0
22.578108,0,0
22.685634,0,0
22.785874,0,0
22.894995,0,0
23.030520,0,0
23.130703,0,0
23.260855,0,0
23.360921,0,0
23.461008,0,0
