time,gyro x,gyro y,gyro z,accel x,accel y,accel z
7.270700,-15.120681763,14.451217651,0.869125366,0.069444701,-0.014361938,0.993017793
7.280400,-7.865127563,6.135177612,0.502914429,-0.007093385,-0.005817017,1.000219941
7.281026,-7.804092407,6.119918823,0.777572632,-0.004163697,-0.009234985,0.994238496
7.281652,-7.254776001,5.845260620,0.884384155,-0.007581666,-0.021075806,0.994482636
7.282278,-7.102188110,5.387496948,0.640243530,-0.005750611,-0.026813110,0.992163301
7.282905,-6.163772583,5.250167847,0.533432007,0.003892943,-0.027667603,0.989599824
7.283532,-5.904373169,5.234909058,0.502914429,0.006822631,-0.027057251,0.989843965
7.284159,-5.408462524,4.777145386,0.586837769,0.008531615,-0.023151001,0.989477754
7.284784,-4.767593384,4.487228394,0.754684448,0.008531615,-0.022906860,0.991919160
7.285410,-4.363235474,4.525375366,0.830978394,0.009386107,-0.024005493,0.996435761
7.286040,-4.126724243,4.296493530,1.036972046,0.006456420,-0.024249634,0.997412324
7.286666,-3.638442993,4.159164429,0.853866577,0.003038451,-0.025592407,1.002050996
7.287293,-3.569778442,4.281234741,0.724166870,-0.001844361,-0.016803345,1.008398652
7.287918,-3.119644165,4.029464722,0.762313843,-0.010267213,-0.013385376,1.014013886
7.288544,-3.340896606,3.739547729,0.808090210,-0.011121705,-0.013751587,1.016089082
7.289169,-2.967056274,3.174972534,0.686019897,-0.014417604,-0.014117798,1.018774629
7.289794,-2.616104126,2.999496460,0.472396851,-0.011854127,-0.018268188,1.023657441
7.290421,-2.471145630,2.312850952,0.510543823,-0.012220338,-0.024859985,1.025976777
7.291047,-2.272781372,2.007675171,0.457138062,-0.007215455,-0.028033813,1.026831269
7.291672,-2.112564087,1.786422729,0.426620483,0.002428100,-0.022296509,1.023169160
7.292298,-2.356704712,1.809310913,0.617355347,0.002306029,-0.019977173,1.018896699
7.292924,-2.425369263,1.557540894,0.762313843,0.009752318,-0.018390259,1.014624238
7.293549,-2.570327759,1.771163940,0.853866577,0.014390990,-0.013873657,1.009985566
7.294174,-2.562698364,1.671981812,0.617355347,0.013048217,-0.010455688,1.007300019
7.294801,-2.669509888,2.038192749,0.853866577,0.008287475,-0.010455688,1.004980683
7.295426,-2.776321411,2.053451538,0.724166870,0.005235717,-0.012652954,1.005224824
7.296053,-2.638992310,2.145004272,0.579208374,0.004869506,-0.011676392,1.002417207
7.296678,-2.883132935,2.320480347,0.739425659,0.006212279,-0.007892212,0.997412324
7.297303,-3.035720825,2.434921265,0.533432007,0.008409545,-0.003619751,0.998510957
7.297929,-3.012832642,2.373886108,0.708908081,0.008897826,-0.008258423,0.999609590
7.298554,-3.272232056,2.457809448,0.907272339,0.007921264,-0.010089478,1.000952363
7.299180,-3.417190552,2.480697632,0.769943237,0.010484740,-0.013629517,1.000586152
7.299807,-3.478225708,2.663803101,0.731796265,0.009141967,-0.015338501,1.000830293
7.300432,-3.447708130,2.618026733,0.716537476,0.004991576,-0.018146118,0.998144746
7.301058,-3.539260864,2.724838257,0.617355347,0.006578490,-0.014484009,0.998144746
7.301683,-3.592666626,2.762985229,0.678390503,0.008897826,-0.009479126,0.991675019
7.302309,-3.607925415,2.831649780,0.930160522,0.008409545,-0.010089478,0.989111543
7.302935,-3.607925415,3.121566772,1.105636597,0.000963256,-0.012042603,0.989355683
7.303562,-3.684219360,2.694320679,0.930160522,-0.014417604,-0.019366821,0.995703340
7.304188,-3.195938110,1.885604858,0.762313843,-0.026258424,-0.027179321,0.994360566
7.304813,-2.860244751,1.298141479,1.044601440,-0.025159791,-0.036578737,0.992163301
7.305439,-2.440628052,1.229476929,0.815719604,-0.018690065,-0.035113893,0.991797090
7.306066,-2.059158325,0.573348999,0.624984741,-0.013318971,-0.034137331,0.988989472
7.306691,-1.692947388,0.481796265,0.884384155,-0.003431275,-0.029010376,0.985571504
7.307316,-1.395401001,0.405502319,0.769943237,-0.001844361,-0.028400024,0.983496308
7.307941,-0.914749146,0.298690796,0.655502319,0.005968139,-0.028155884,0.982275605
7.308567,-0.472244263,0.046920776,0.708908081,0.007677123,-0.031573854,0.982763886
7.309192,-0.327285767,0.046920776,0.800460815,0.009996459,-0.020465454,0.978125215
7.309817,-0.304397583,0.298690796,0.785202026,0.010484740,-0.016559204,0.977148652
7.310444,-0.716384888,0.573348999,0.830978394,0.006090209,-0.012042603,0.976416230
7.323492,-5.042251587,5.875778198,1.204818726,0.019517943,-0.011676392,0.960425019
7.324212,-4.958328247,5.875778198,1.357406616,0.004015014,-0.016681274,0.968603730
7.324838,-4.668411255,5.624008179,1.250595093,-0.008802369,-0.019855103,0.975439668
7.325463,-4.111465454,5.410385132,1.464218140,-0.010023072,-0.017291626,0.982031465
7.326090,-3.424819946,5.051803589,1.181930542,-0.021131471,-0.019733032,0.987280488
7.326716,-2.783950806,4.365158081,1.059860229,-0.021131471,-0.031573854,0.987524629
7.327342,-2.608474731,3.899765015,1.006454468,-0.017347291,-0.051471315,0.988989472
7.327968,-1.967605591,3.487777710,1.204818726,-0.023817018,-0.063678347,0.988867402
7.328594,-1.349624634,2.648544312,1.014083862,-0.027967408,-0.072955690,0.991186738
7.329219,-0.228103638,1.488876343,1.227706909,-0.031141236,-0.079181276,0.995215058
7.329845,1.007858276,0.535202026,1.334518433,-0.031873658,-0.081378542,0.990820527
7.330471,2.228561401,-0.807571411,1.174301147,-0.031873658,-0.073321901,0.989477754
7.331097,3.151718140,-0.929641724,1.349777222,-0.023694947,-0.055133425,0.980810761
7.331722,3.617111206,-1.036453247,1.235336304,-0.012098268,-0.035602175,0.975683808
7.332349,3.754440308,-1.280593872,1.235336304,-0.009778932,-0.022540649,0.977514863
7.332974,3.739181519,-1.211929321,1.174301147,-0.002332643,-0.011798462,0.980322480
7.333599,3.571334839,-1.593399048,1.174301147,0.004625365,-0.008746704,0.983252168
7.334225,3.411117554,-0.990676880,1.281112671,0.006212279,-0.009723267,0.992407441
7.334852,3.220382690,-1.036453247,1.090377808,0.002672240,-0.019977173,0.999731660
7.335478,3.281417847,-1.189041138,1.357406616,-0.000623658,-0.033404909,1.004126191
7.336105,3.464523315,-1.417922974,1.395553589,-0.005628541,-0.043902956,1.017675996
7.336731,3.853622437,-1.883316040,1.296371460,-0.004407838,-0.051959597,1.021216035
7.337357,4.219833374,-2.157974243,1.494735718,-0.008314088,-0.052081667,1.024756074
7.337983,4.372421265,-2.409744263,1.433700562,-0.006605104,-0.048419558,1.026587129
7.338610,4.357162476,-2.699661255,1.616806030,-0.000379518,-0.042438112,1.025366426
7.339236,4.265609741,-2.493667603,1.525253296,0.007188842,-0.030963501,1.016699433
7.339862,3.807846069,-2.699661255,1.662582397,0.012193725,-0.026568970,1.013647676
7.340488,3.411117554,-2.333450317,1.769393921,0.017198607,-0.021808228,1.005346894
7.341114,3.159347534,-2.051162720,2.074569702,0.024034545,-0.017047485,0.999487519
7.341739,2.938095093,-1.913833618,2.150863647,0.027452514,-0.008868774,0.990454316
7.342365,2.877059937,-1.395034790,2.021163940,0.027696654,-0.002032837,0.989843965
7.342990,2.938095093,-1.082229614,2.066940308,0.025133178,-0.008746704,0.986914277
7.343615,2.854171753,-0.906753540,2.173751831,0.019029662,-0.013629517,0.990210176
7.344241,3.273788452,-0.807571411,2.059310913,0.012804076,-0.013995728,0.989477754
7.344866,3.319564819,-0.860977173,2.272933960,0.009264037,-0.023028931,0.984961152
7.345491,3.334823608,-0.883865356,2.135604858,0.004869506,-0.026080688,0.983862519
7.346116,3.060165405,-0.807571411,2.120346069,0.007555053,-0.024982056,0.982763886
7.346741,3.022018433,-0.563430786,2.410263062,0.010728881,-0.021319946,0.984228730
7.347366,2.709213257,-0.235366821,2.379745483,0.020128295,-0.008502563,0.974829316
7.347993,2.655807495,-0.136184692,2.402633667,0.017198607,-0.011188110,0.978979707
7.348618,2.762619019,0.031661987,2.456039429,0.014146850,-0.008868774,0.989721894
7.349245,2.922836304,-0.090408325,2.456039429,0.015123412,-0.007403931,0.990820527
7.349870,2.777877808,-0.029373169,2.608627319,0.006578490,-0.012408813,0.995581269
7.350496,2.877059937,-0.128555298,2.280563354,-0.002942994,-0.021075806,1.011084199
7.351123,3.708663940,-0.418472290,2.173751831,-0.009412721,-0.021930298,1.024756074
7.351750,4.555526733,-1.288223267,2.196640015,-0.011487916,-0.015460571,1.031836152
7.352376,4.563156128,-1.677322388,1.921981812,-0.016981080,-0.022296509,1.056616426
7.353002,6.012741089,-2.463150024,2.097457886,-0.009046510,0.012127319,1.092260957
7.353627,6.043258667,-2.409744263,1.525253296,0.005968139,0.049847044,1.098486543
7.368285,-4.576858521,9.438705444,1.036972046,-0.021253541,-0.031817995,1.024023652
7.369022,-5.194839478,9.034347534,1.555770874,-0.019422486,-0.023028931,1.018774629
7.369648,-5.126174927,8.378219604,1.784652710,-0.017103150,-0.027789673,1.014380097
7.370275,-5.576309204,7.859420776,2.066940308,0.000230834,-0.028155884,1.004980683
7.370900,-5.835708618,7.493209839,1.700729370,0.014757201,-0.021075806,0.994604707
7.371526,-6.133255005,7.760238647,1.769393921,0.004381225,-0.024982056,0.988745332
7.372153,-5.843338013,7.714462280,2.051681519,-0.007215455,-0.032184206,0.984961152
7.372779,-5.309280396,7.523727417,2.654403687,-0.016248658,-0.047198854,0.981787324
7.373405,-4.515823364,6.722640991,2.395004272,-0.012708619,-0.057574831,0.983008027
7.374037,-3.585037231,6.646347046,2.204269409,-0.001722291,-0.050738893,0.991430879
7.374662,-2.135452271,6.684494019,2.166122437,0.001085326,-0.045734011,0.999975801
7.375288,-1.425918579,6.608200073,2.074569702,-0.000623658,-0.037555300,1.007788301
7.375913,-1.387771606,6.737899780,2.189010620,-0.006116822,-0.025958618,1.004492402
7.376540,-1.525100708,6.585311890,2.333969116,-0.003187135,-0.038287722,1.011694551
7.377166,-1.456436157,6.264877319,2.211898804,-0.004041627,-0.051959597,1.021216035
7.377792,-1.235183716,5.891036987,2.410263062,-0.001356080,-0.057330690,1.020361543
7.378418,-1.029190063,5.974960327,2.570480347,-0.000745729,-0.059039675,1.033056855
7.379043,-0.273880005,5.524826050,2.738327026,-0.017713502,-0.059405886,1.046240449
7.380738,3.235641479,0.680160522,2.517074585,-0.074232057,-0.058795534,1.084692597
7.381365,3.006759644,-0.426101685,2.250045776,-0.074598268,-0.042193972,1.071631074
7.381990,2.144638062,-1.135635376,2.242416382,-0.049451783,-0.022174438,1.050512910
7.382616,1.313034058,-1.356887817,2.524703979,-0.011732057,-0.008868774,1.032080293
7.383242,0.817123413,-1.349258423,2.181381226,0.009386107,-0.016315063,1.024145722
7.383868,0.908676147,-1.280593872,2.379745483,0.008653685,-0.033404909,1.019507051
7.384494,1.656356812,-1.601028442,2.433151245,0.003404662,-0.042682253,1.026342988
7.385120,2.068344116,-1.639175415,2.349227905,-0.005506471,-0.040973268,1.016455293
7.385745,1.702133179,-1.814651489,2.524703979,-0.013441041,-0.037189089,1.000097871
7.386370,1.663986206,-2.257156372,2.814620972,-0.009656861,-0.033160768,0.986303926
7.386995,1.450363159,-2.447891235,2.890914917,0.001451537,-0.026202759,0.966284394
7.387622,1.114669800,-2.165603638,3.066390991,0.002550170,-0.040729128,0.956396699
7.388249,1.946273804,-2.417373657,3.112167358,0.002794310,-0.054645143,0.957495332
7.388876,3.022018433,-2.722549438,3.226608276,-0.004407838,-0.060626589,0.960913301
7.389502,4.212203979,-2.569961548,3.287643433,-0.018567994,-0.064166628,0.968359590
7.390128,5.326095581,-3.096389771,3.310531616,-0.031263307,-0.063678347,0.978003144
7.390753,6.218734741,-3.859329224,2.959579468,-0.026258424,-0.065753542,0.989721894
7.391378,7.164779663,-4.164505005,2.959579468,-0.017713502,-0.052081667,0.990576386
7.392003,7.126632690,-4.431533813,3.157943726,-0.011732057,-0.035968386,0.989355683
7.392628,7.065597534,-4.545974731,3.196090698,-0.005140260,-0.050738893,1.001928926
7.393253,7.347885132,-4.553604126,3.554672241,0.001695678,-0.056109987,1.013647676
7.393879,7.973495483,-4.477310181,3.341049194,0.006578490,-0.043658815,1.017431855
7.394504,7.790390015,-4.484939575,3.394454956,0.003770873,-0.026080688,1.023291230
7.395131,7.973495483,-4.263687134,3.424972534,0.019884154,-0.010943970,1.032568574
7.395757,7.653060913,-3.706741333,3.371566772,0.030870482,0.000774780,1.049292207
