time,deltaX,deltaY
7.279049,4,-38
7.379569,0,-6
7.479924,0,-5
7.591385,0,-5
7.691611,0,0
7.791611,3,5
7.901470,0,-1
8.001845,-4,1
8.101861,1,-2
8.212197,1,-2
8.312201,-9,-7
8.412548,-3,9
8.523348,7,53
8.623737,76,357
8.724093,112,202
8.836321,85,139
8.936407,93,33
9.036549,51,51
9.140499,62,-24
9.240793,57,3
9.340793,-15,14
9.443652,12,9
9.543696,68,6
9.643719,49,-1
9.747832,32,-36
9.847902,39,-52
9.948122,29,-54
10.051699,-1,-23
10.151905,7,12
10.252131,-5,27
10.359342,6,57
10.459689,16,54
10.571208,6,28
10.671210,-2,3
10.771219,-28,8
10.878271,-12,16
10.978499,-4,20
11.086827,-47,10
11.187072,-30,27
11.287092,-5,38
11.394650,-4,47
11.494765,0,28
11.594960,-13,26
11.698333,-31,32
11.798524,-15,28
11.914758,-11,39
12.015111,-6,45
12.124262,-5,48
12.224905,-1,52
12.325161,-3,69
12.431638,-7,64
12.531638,-23,51
12.641165,-21,55
12.741360,-2,59
12.841559,0,68
12.951295,-22,57
13.051730,-15,36
13.160067,-11,43
13.260217,-15,29
13.360694,-7,21
13.465381,-12,-3
13.565612,15,-3
13.665977,35,0
13.769659,32,4
13.869966,34,6
13.970355,23,22
14.070857,25,21
14.171116,16,-2
14.271252,5,1
14.371563,9,-14
14.471686,4,-24
14.571687,-5,33
14.672182,-23,6
14.772269,-15,22
14.872609,8,47
14.975989,3,36
15.076094,-4,34
15.185404,-7,33
15.285606,-7,0
15.386002,-33,0
15.491879,-9,-6
15.591881,-12,-12
15.701991,-38,-2
15.802447,-33,-2
15.902799,-8,-1
16.011893,6,-1
16.112406,7,-13
16.224874,11,-6
16.325100,0,-2
16.425369,6,-1
16.525768,11,3
16.625770,10,2
16.726015,5,0
16.826051,4,5
16.928577,25,0
17.028837,44,3
17.129375,43,12
17.234264,69,4
17.334365,63,-2
17.434379,57,7
17.545160,62,1
17.645471,81,3
17.745778,66,3
17.845898,67,15
17.949350,90,2
18.049351,66,3
18.149558,72,6
18.254763,79,-3
18.355219,59,0
18.455477,52,-3
18.564900,80,-2
18.665371,78,1
18.777878,76,4
18.877880,77,15
18.978093,85,14
19.089552,86,12
19.189959,64,6
19.299912,82,5
19.400324,70,10
19.500525,78,7
19.610498,87,11
19.710912,86,5
19.823225,90,17
19.923726,81,11
20.023917,66,7
20.135915,86,8
20.236437,67,6
20.347027,88,7
20.447071,71,7
20.620508,136,20
20.720876,90,15
20.821416,92,15
20.921537,67,15
21.022000,72,6
21.122470,64,7
21.222823,67,-2
21.324444,86,1
21.424467,72,3
21.524570,59,8
21.636850,74,7
21.736973,68,8
21.848233,81,-7
21.948233,50,-28
22.048511,35,-41
22.155372,85,-54
22.255776,59,-54
22.365104,54,-57
22.465341,34,-47
22.565773,42,-41
22.670405,54,-37
22.770450,39,-28
22.887273,4,-5
22.987379,0,0
23.097277,0,0
23.197691,0,0
23.298186,0,0
23.415649,0,0
23.515760,0,0
23.616121,0,0
23.720544,0,0
23.820833,39,-23
23.921122,39,-35
24.024203,24,-34
24.124628,-2,-27
24.224663,-9,-24
24.326999,-27,-11
24.427311,-13,-1
24.527696,-12,49
24.629791,-6,11
24.730196,25,23
24.830404,33,15
24.938757,1,-2
25.039076,21,49
25.150663,46,-14
25.250753,38,-16
25.350992,11,-44
25.457996,-8,-29
25.558393,-8,-27
25.829117,3,-72
25.929119,21,-29
26.038875,14,-34
26.138981,33,-25
26.239156,15,-13
26.344882,-4,-9
26.445131,-2,-15
