time,gyro x,gyro y,gyro z,accel x,accel y,accel z
5.914249,-5.354553223,-5.053283691,-0.848663330,0.130029172,0.114298947,1.042260528
5.923860,-11.580139160,20.833251953,1.791107178,-0.045874145,-0.043660033,0.899316192
5.924486,-11.397033691,20.619628906,1.196014404,-0.039160278,-0.051228393,0.938866973
5.925111,-10.344177246,20.238159180,1.279937744,-0.035986450,-0.034748901,0.980615020
5.925736,-10.046630859,19.726989746,1.653778076,-0.026464965,-0.047688354,1.012719512
5.926362,-9.085327148,18.964050293,1.928436279,-0.029272582,-0.052815307,1.042748809
5.926987,-8.864074707,18.460510254,1.813995361,-0.026587036,-0.058552612,1.062157989
5.927612,-8.909851074,17.949340820,1.844512939,-0.035009887,-0.065388553,1.094018340
5.928238,-9.192138672,17.323730469,1.989471436,-0.006811645,-0.033039916,1.083886504
5.928863,-11.351257324,18.040893555,2.340423584,0.000146363,-0.013020386,1.067040801
5.929490,-13.785034180,19.841430664,3.599273682,0.016625855,0.021891724,1.071801543
5.930116,-17.088562012,23.717163086,4.690277100,0.076562375,0.071208127,1.028466582
5.930742,-18.820434570,25.563476562,3.751861572,0.092675656,0.001261841,1.092065215
5.931587,-16.836791992,22.488830566,2.081024170,0.051293824,-0.039631713,1.100976348
5.932212,-15.143066406,22.015808105,3.126251221,-0.020361450,-0.100911014,1.091332793
5.932838,-13.205200195,22.389648438,3.446685791,-0.094213992,-0.111531131,1.062768340
5.933464,-13.250976562,22.710083008,2.981292725,-0.065039188,-0.066609256,0.989404082
5.934105,-13.342529297,22.656677246,2.836334229,-0.034155395,-0.013508667,0.965234160
5.934730,-13.350158691,21.619079590,3.301727295,-0.030615356,-0.029255737,0.981591582
5.935355,-10.275512695,19.932983398,3.790008545,-0.035498168,-0.044880737,1.017968535
5.935980,-7.826477051,18.483398438,2.920257568,-0.033667114,-0.049519408,1.033471465
5.936606,-6.422668457,17.537353516,1.646148682,-0.024267700,-0.026692260,1.014672637
5.937233,-7.872253418,18.559692383,1.852142334,0.017358277,0.020182740,0.969750762
5.937859,-10.893493652,20.688293457,2.561676025,0.035058472,0.034587037,0.956567168
5.938484,-14.166503906,22.084472656,3.248321533,0.052270386,0.057170045,0.926415801
5.939111,-17.454772949,23.747680664,3.217803955,0.057153199,0.061198365,0.916650176
5.939738,-18.545776367,24.205444336,2.943145752,0.032494996,0.042765748,0.929345489
5.940365,-18.141418457,24.289367676,3.118621826,-0.000830200,0.025309693,0.939111114
5.940991,-17.210632324,24.838684082,2.714263916,-0.017431762,0.008708130,0.938012481
5.941616,-16.272216797,24.548767090,2.508270264,-0.048681762,-0.029011596,0.961938262
5.942242,-14.219909668,23.465393066,2.378570557,-0.087622195,-0.095051639,1.032983184
5.942867,-8.474975586,20.268676758,3.019439697,-0.144018680,-0.171711788,1.140038848
5.943493,-2.081542969,15.568969727,2.096282959,-0.168310672,-0.180622920,1.176904082
5.944118,2.549499512,10.319946289,1.196014404,-0.204809695,-0.159138545,1.224633574
5.944745,4.884094238,5.231140137,0.928985596,-0.187597781,-0.096150272,1.261987090
5.945371,5.822509766,1.401184082,1.073944092,-0.142065555,-0.028157104,1.299096465
5.945997,5.044311523,-1.703979492,1.020538330,-0.110083133,-0.002278198,1.323876739
5.946623,3.884643555,-4.450561523,0.791656494,-0.103491336,0.017741334,1.356957793
5.947248,3.510803223,-7.761718750,0.707733154,-0.093237430,0.032878052,1.348412871
5.947873,2.076477051,-10.126831055,0.219451904,-0.076880008,0.000285278,1.355004668
5.948499,5.273193359,-13.102294922,-0.291717529,-0.115088016,-0.120320193,1.508813262
5.949124,13.818115234,-17.573120117,-1.214874268,-0.071753055,-0.058186401,1.469018340
5.949749,12.238830566,-18.976928711,-3.412139893,-0.017553832,0.059855592,1.311425567
5.950374,4.014343262,-17.168762207,-3.526580811,0.059716675,0.169840947,1.160912871
5.951001,-5.964904785,-13.994934082,-0.810516357,0.104272336,0.222819462,1.068139434
5.951627,-16.005187988,-9.318115234,0.578033447,0.248071164,0.225871220,0.914086699
5.952254,-22.482543945,-3.283264160,-0.635040283,0.260644406,0.129313603,0.871728301
5.952881,-19.476562500,0.859497070,-0.253570557,0.178491086,0.035563599,0.925927520
5.953506,-10.695129395,2.255676270,-0.123870850,0.058251832,-0.000325073,0.907250762
5.966602,-18.103271484,7.291076660,0.944244385,0.036157105,-0.043537963,1.212426543
5.967319,-16.394287109,6.238220215,0.082122803,0.021264527,-0.076741092,1.206567168
5.967944,-13.662963867,5.688903809,0.204193115,-0.031225707,-0.058186401,1.199365020
5.968570,-12.434631348,5.749938965,0.257598877,-0.005713012,-0.003743042,1.157250762
5.969195,-15.211730957,7.001159668,-0.062835693,0.073388547,0.178141728,0.987450957
5.969820,-26.632934570,11.792419434,0.105010986,0.155908078,0.313639760,0.919824004
5.970445,-32.377868652,16.141174316,1.180755615,0.174340695,0.202189580,1.038476348
5.971070,-32.568603516,18.239257812,1.684295654,0.092919797,0.065592892,1.114404082
5.971695,-31.073242188,16.713378906,0.486480713,-0.162573367,-0.034748901,1.218041778
5.972322,-27.067810059,10.617492676,-0.131500244,-0.347754031,0.020915162,1.258935332
5.972948,-31.111389160,6.047485352,-1.176727295,-0.227514774,0.272990346,1.237084746
5.973573,-39.038330078,4.262207031,-2.199066162,-0.083715945,0.272746205,1.192895293
5.974199,-41.464477539,1.942871094,-1.611602783,-0.027197387,0.065226682,1.194726348
5.974825,-42.730957031,1.202819824,-1.581085205,0.025170777,0.018962037,0.999657989
5.975452,-46.942382812,4.704711914,-1.794708252,0.186059445,-0.033039916,0.807519317
5.976078,-47.484069824,11.471984863,-1.420867920,0.222558469,-0.121907108,0.811913848
5.976704,-41.708618164,14.203308105,0.219451904,0.153588742,-0.147663936,0.850854278
