time,gyro x,gyro y,gyro z,accel x,accel y,accel z
16.480470,16.671508789,-7.258178711,-11.178863525,-0.158300906,0.063639767,-1.004858613
16.481096,16.526550293,-7.754089355,-11.377227783,-0.157080203,0.065592892,-1.006079316
16.481723,16.610473633,-7.754089355,-11.392486572,-0.156591922,0.065714963,-1.008276582
16.482348,16.564697266,-8.097412109,-11.217010498,-0.154272586,0.069865353,-1.010840058
16.482973,16.381591797,-8.051635742,-11.575592041,-0.155127078,0.069377072,-1.013525605
16.483599,16.473144531,-8.288146973,-11.705291748,-0.155249149,0.068766721,-1.013647676
16.484225,16.671508789,-8.127929688,-11.743438721,-0.153540164,0.068278439,-1.011328340
16.484852,16.686767578,-8.387329102,-11.896026611,-0.157324344,0.067301877,-1.018408418
16.485479,16.663879395,-8.593322754,-11.827362061,-0.157446414,0.067179807,-1.019262910
16.486106,16.877502441,-8.448364258,-11.903656006,-0.160742313,0.066813596,-1.018408418
16.486732,16.763061523,-8.623840332,-11.926544189,-0.164648563,0.063639767,-1.020605683
16.487358,17.007202148,-8.692504883,-12.193572998,-0.170752078,0.064494260,-1.019751191
16.487983,17.258972168,-8.623840332,-12.079132080,-0.174780399,0.063517697,-1.019384980
16.488608,17.304748535,-8.730651855,-12.491119385,-0.177588016,0.064494260,-1.016699433
16.489235,17.503112793,-8.921386719,-12.407196045,-0.181250125,0.065714963,-1.018408418
16.489861,17.777770996,-9.020568848,-12.658966064,-0.184423953,0.064982541,-1.014990449
16.490488,18.082946777,-9.211303711,-12.811553955,-0.185156375,0.070109494,-1.014746308
16.491113,18.136352539,-9.394409180,-12.925994873,-0.190649539,0.069132932,-1.013769746
16.491738,17.999023438,-9.379150391,-13.009918213,-0.188940555,0.070231564,-1.007422090
16.492365,18.266052246,-9.546997070,-13.261688232,-0.192358524,0.068644650,-1.002783418
16.492991,18.372863770,-9.760620117,-13.658416748,-0.189550906,0.072672971,-1.005835176
16.493618,18.502563477,-9.806396484,-13.696563721,-0.190527469,0.070597775,-1.003271699
16.494245,18.540710449,-10.096313477,-13.902557373,-0.190893680,0.072062619,-0.995947480
16.494871,18.472045898,-10.325195312,-14.032257080,-0.188208133,0.071086057,-0.994238496
16.495497,18.258422852,-10.615112305,-14.306915283,-0.185766727,0.071330197,-0.991919160
16.496123,18.067687988,-10.576965332,-14.345062256,-0.181372195,0.073283322,-0.988134980
16.496749,17.922729492,-10.760070801,-14.421356201,-0.180761844,0.075602658,-0.986914277
16.497390,17.777770996,-10.935546875,-14.833343506,-0.177099735,0.077433713,-0.981665254
16.498017,17.152160645,-11.255981445,-14.886749268,-0.176855594,0.076579221,-0.982275605
16.498642,16.625732422,-11.324645996,-14.978302002,-0.169897586,0.076823361,-0.975805879
16.499268,16.511291504,-11.622192383,-15.230072021,-0.170385867,0.078410275,-0.980200410
16.499893,16.068786621,-11.797668457,-15.451324463,-0.164892703,0.075480588,-0.980078340
16.500518,15.321105957,-11.965515137,-15.321624756,-0.165991336,0.076701291,-0.976172090
16.501143,14.855712891,-11.828186035,-15.619171143,-0.160986453,0.076335080,-0.977026582
16.501769,14.382690430,-12.087585449,-15.680206299,-0.161352664,0.072428830,-0.974341035
16.502395,13.665527344,-12.163879395,-15.642059326,-0.163549930,0.074504025,-0.975561738
16.503021,13.039916992,-12.156250000,-15.741241455,-0.159155399,0.071940549,-0.974341035
16.515635,-12.152343750,-15.238525391,-16.397369385,-0.172827274,0.037516724,-0.932715058
16.516384,-13.548522949,-15.368225098,-16.511810303,-0.173681766,0.027873170,-0.927466035
16.517010,-14.860778809,-15.612365723,-16.694915771,-0.169897586,0.023112427,-0.926611543
16.517636,-15.974670410,-15.688659668,-16.267669678,-0.174047977,0.020182740,-0.918921113
16.518262,-17.218261719,-15.749694824,-16.061676025,-0.173559695,0.009318481,-0.915259004
16.525446,-27.189880371,-16.230346680,-15.191925049,-0.176123172,-0.060871948,-0.864111543
16.526071,-27.228027344,-16.443969727,-15.153778076,-0.176367313,-0.066487186,-0.858984590
16.526696,-27.624755859,-16.421081543,-14.848602295,-0.171484500,-0.074299686,-0.853247285
16.527321,-28.059631348,-16.459228516,-14.848602295,-0.171118289,-0.083821170,-0.849707246
16.527947,-28.586059570,-16.779663086,-14.512908936,-0.170996219,-0.086384647,-0.848852754
16.528572,-28.509765625,-16.749145508,-14.467132568,-0.166601688,-0.094319217,-0.847265840
16.529198,-28.578430176,-16.688110352,-14.421356201,-0.166479617,-0.101033084,-0.840796113
16.529824,-28.540283203,-16.993286133,-13.948333740,-0.165625125,-0.107380740,-0.837134004
16.530451,-28.502136230,-16.886474609,-13.894927979,-0.160254031,-0.113972537,-0.833716035
16.531077,-28.273254395,-16.840698242,-13.666046143,-0.158911258,-0.122761600,-0.834814668
16.531703,-27.884155273,-16.901733398,-13.330352783,-0.155615360,-0.127278194,-0.827734590
16.533358,-26.335388184,-16.985656738,-12.910736084,-0.146338016,-0.138996944,-0.817724824
16.533984,-25.671630859,-16.901733398,-12.597930908,-0.144140750,-0.147419795,-0.814306855
16.534609,-24.717956543,-17.046691895,-12.407196045,-0.142553836,-0.155232295,-0.811255097
16.535234,-24.023681641,-17.000915527,-12.132537842,-0.138281375,-0.159993038,-0.811377168
16.535860,-22.917419434,-17.115356445,-12.163055420,-0.136938602,-0.165119991,-0.807592988
16.536485,-22.024780273,-17.267944336,-12.002838135,-0.131933719,-0.168415889,-0.803198457
16.537111,-20.804077148,-17.275573730,-11.476409912,-0.127661258,-0.172322139,-0.801489472
16.537736,-19.346862793,-17.039062500,-11.461151123,-0.119848758,-0.176350459,-0.799414277
16.538363,-18.088012695,-17.130615234,-11.178863525,-0.113379031,-0.181111202,-0.793554902
16.538988,-16.974121094,-17.176391602,-10.949981689,-0.110815555,-0.183430538,-0.790259004
16.539614,-15.463500977,-17.176391602,-10.866058350,-0.107641727,-0.186726436,-0.787451386
16.540241,-13.983398438,-17.000915527,-10.583770752,-0.095800906,-0.185871944,-0.783178926
16.540866,-12.556701660,-16.947509766,-10.316741943,-0.086523563,-0.187458858,-0.784399629
16.541492,-10.878234863,-16.878845215,-10.347259521,-0.083349735,-0.186848506,-0.781347871
16.542118,-9.344726562,-16.367675781,-9.889495850,-0.076391727,-0.192341670,-0.775732636
16.542744,-7.780700684,-16.375305176,-9.683502197,-0.071753055,-0.192097530,-0.773291230
16.543369,-6.262451172,-16.199829102,-9.569061279,-0.065527469,-0.191975459,-0.765722871
16.543994,-4.408508301,-15.871765137,-9.157073975,-0.061987426,-0.192097530,-0.761084199
16.544619,-3.149658203,-15.368225098,-8.928192139,-0.060766723,-0.190266475,-0.759985566
16.545245,-1.616149902,-15.024902344,-8.493316650,-0.056005981,-0.190876827,-0.755957246
16.545871,0.108093262,-14.528991699,-8.447540283,-0.051611450,-0.191243038,-0.751318574
16.546498,1.580566406,-13.941528320,-8.012664795,-0.051855590,-0.190510616,-0.743750215
16.547124,3.266662598,-13.552429199,-7.631195068,-0.052465942,-0.189534053,-0.743139863
16.547750,4.899353027,-13.277770996,-7.455718994,-0.048437621,-0.187336788,-0.738257051
16.548376,6.135314941,-12.636901855,-7.219207764,-0.052343871,-0.183186397,-0.732519746
16.549001,7.546752930,-12.079956055,-6.936920166,-0.046728637,-0.183430538,-0.726294160
16.549628,8.889526367,-11.576416016,-6.692779541,-0.050390746,-0.180867061,-0.723608613
16.550255,10.453552246,-11.141540527,-6.761444092,-0.050756957,-0.178303584,-0.715307832
16.550881,11.582702637,-10.500671387,-6.692779541,-0.053564575,-0.174397334,-0.712744355
16.551508,12.780517578,-9.859802246,-6.120574951,-0.052221801,-0.169270381,-0.708227754
16.564083,15.870422363,-1.749755859,-1.901519775,-0.104467899,-0.067219608,-0.717383027
16.564794,15.092224121,-1.284362793,-1.954925537,-0.106298953,-0.065022342,-0.726172090
16.565420,14.153808594,-1.353027344,-1.642120361,-0.103369266,-0.061116088,-0.728735566
16.566046,13.612121582,-1.246215820,-1.558197021,-0.104834110,-0.058430541,-0.734594941
16.566673,12.536376953,-1.276733398,-1.253021240,-0.106787235,-0.054158080,-0.740210176
16.567298,11.620849609,-1.063110352,-1.146209717,-0.103247195,-0.053913940,-0.747412324
16.567923,10.812133789,-1.192810059,-1.069915771,-0.103003055,-0.052204955,-0.753882051
16.568549,9.766906738,-1.139404297,-0.924957275,-0.099585086,-0.049031127,-0.762060761
16.569174,8.813232422,-0.895263672,-0.680816650,-0.101049930,-0.048054565,-0.768164277
16.569800,7.951110840,-1.154663086,-0.406158447,-0.101904422,-0.044270385,-0.775000215
16.570426,6.867736816,-1.139404297,-0.337493896,-0.101904422,-0.045246948,-0.784155488
16.571051,5.883544922,-1.078369141,-0.261199951,-0.102880985,-0.042317260,-0.790503144
16.571677,5.563110352,-1.047851562,0.043975830,-0.100561649,-0.042073119,-0.794043183
16.572418,3.632873535,-1.223327637,0.326263428,-0.096289188,-0.040364135,-0.811133027
16.573090,2.717346191,-1.024963379,0.433074951,-0.099218875,-0.039387573,-0.818457246
16.573785,2.152770996,-1.017333984,0.730621338,-0.097754031,-0.035115112,-0.822607636
16.574518,1.473754883,-0.963928223,0.768768311,-0.100317508,-0.034748901,-0.829199433
16.575175,0.665039062,-1.070739746,0.768768311,-0.099340945,-0.035847533,-0.833593965
16.575891,-0.029235840,-1.070739746,1.035797119,-0.097998172,-0.035359252,-0.836645722
16.576695,-1.333862305,-0.979187012,1.379119873,-0.102880985,-0.029377807,-0.846289277
16.577402,-1.661926270,-0.742675781,1.371490479,-0.102026492,-0.034748901,-0.850439668
16.578086,-2.409606934,-0.864746094,1.577484131,-0.103735477,-0.031941283,-0.856421113
16.578796,-3.050476074,-0.727416992,1.600372314,-0.104467899,-0.031941283,-0.854834199
16.579476,-3.218322754,-0.513793945,1.752960205,-0.106176883,-0.031086791,-0.855566621
16.580161,-3.821044922,-0.406982422,1.707183838,-0.107275516,-0.032063354,-0.856787324
16.580876,-4.301696777,-0.483276367,1.859771729,-0.108618289,-0.029988158,-0.858862519
