time,gyro x,gyro y,gyro z,accel x,accel y,accel z
56.922135,-0.834762573,-6.169975281,1.209976196,-0.052293092,-0.069660276,0.939020872
56.931929,8.282363892,-3.217399597,1.164199829,-0.042283326,-0.086994261,0.988093138
56.932554,9.136856079,-2.576530457,1.202346802,-0.042893678,-0.088337034,0.990412474
56.933180,9.632766724,-2.355278015,1.072647095,-0.043381959,-0.087116331,0.997614622
56.933805,10.143936157,-2.103507996,1.126052856,-0.042771608,-0.087482542,0.998224974
56.934431,10.815322876,-1.798332214,1.164199829,-0.043381959,-0.086750120,1.000910521
56.935057,11.196792603,-1.538932800,1.087905884,-0.046555787,-0.087238401,1.000056028
56.935682,11.761367798,-1.554191589,1.049758911,-0.047898561,-0.085529417,1.004206419
56.936307,12.219131470,-1.393974304,1.141311646,-0.048508912,-0.084919065,1.008112669
56.936934,12.852371216,-0.898063660,1.187088013,-0.049241334,-0.084186643,1.012385130
56.937561,13.043106079,-0.905693054,1.187088013,-0.051804811,-0.081256956,1.016657591
56.938188,13.172805786,-0.913322449,1.194717407,-0.051072389,-0.083698362,1.017634153
56.938813,13.477981567,-0.791252136,1.240493774,-0.051194459,-0.079670042,1.019831419
56.939439,13.859451294,-0.562370300,1.362564087,-0.052171022,-0.079303831,1.022272825
56.940065,13.928115845,-0.562370300,1.301528931,-0.049485475,-0.079792112,1.024470091
56.940690,14.057815552,-0.280082703,1.202346802,-0.049241334,-0.078449339,1.026423216
56.941315,14.340103149,-0.211418152,1.454116821,-0.048753053,-0.077594846,1.028986692
56.941942,14.591873169,0.055610657,1.217605591,-0.050462037,-0.077106565,1.026057005
56.942568,14.538467407,0.353157043,1.560928345,-0.049607545,-0.076984495,1.029108763
56.943226,14.523208618,0.353157043,1.377822876,-0.051194459,-0.075031370,1.031672239
56.944093,14.355361938,0.726997375,1.568557739,-0.052415162,-0.076374143,1.032526731
56.944937,14.492691040,0.932991028,1.568557739,-0.053269655,-0.076130003,1.036677122
56.945563,14.301956177,1.039802551,1.690628052,-0.048630983,-0.072956175,1.037775755
56.946188,14.111221313,1.367866516,1.736404419,-0.052781373,-0.071979612,1.037043333
56.946814,14.019668579,1.650154114,1.904251099,-0.050462037,-0.072101682,1.038386106
56.947512,13.584793091,2.077400208,1.774551392,-0.050828248,-0.068317503,1.040095091
56.948138,13.325393677,2.260505676,2.041580200,-0.048142701,-0.067096800,1.039850950
56.948763,13.233840942,2.504646301,2.011062622,-0.048386842,-0.066364378,1.042414427
56.949388,12.707412720,2.870857239,2.285720825,-0.050828248,-0.064289182,1.045710325
56.950013,12.165725708,2.840339661,1.995803833,-0.050950319,-0.066608518,1.046076536
56.950638,11.959732056,3.168403625,2.224685669,-0.049485475,-0.061969850,1.049494505
56.951265,11.555374146,3.351509094,2.339126587,-0.048875123,-0.060627077,1.052912474
56.951890,11.410415649,3.542243958,2.354385376,-0.051560670,-0.061847780,1.051325560
56.952517,10.571182251,3.679573059,2.209426880,-0.047288209,-0.063556761,1.051203489
56.953143,10.525405884,3.671943665,2.346755981,-0.048997194,-0.059894655,1.055842161
56.953770,10.197341919,4.236518860,2.423049927,-0.048753053,-0.062702268,1.055598021
56.954396,9.609878540,4.228889465,2.499343872,-0.050828248,-0.062580198,1.057307005
56.955021,9.304702759,4.381477356,2.659561157,-0.048997194,-0.061481569,1.057673216
56.955647,9.106338501,4.465400696,2.659561157,-0.048630983,-0.063434690,1.060236692
56.956272,8.419692993,4.671394348,2.598526001,-0.050339967,-0.060016725,1.060969114
56.956897,8.381546021,4.869758606,2.613784790,-0.048386842,-0.062946409,1.060236692
56.957522,7.878005981,5.007087708,2.789260864,-0.047898561,-0.058551881,1.064387083
56.958149,7.504165649,5.205451965,2.590896606,-0.045945436,-0.057453249,1.064020872
56.958774,7.099807739,5.304634094,2.720596313,-0.053635865,-0.063190550,1.067927122
56.959400,6.802261353,5.174934387,2.979995728,-0.055222780,-0.060749147,1.068903685
56.960027,6.199539185,5.167304993,2.934219360,-0.053025514,-0.060138796,1.072932005
56.960652,5.985916138,5.235969543,3.002883911,-0.055222780,-0.062580198,1.070978880
56.961279,5.940139771,5.083381653,3.033401489,-0.054856569,-0.062580198,1.071711302
56.961905,5.390823364,5.152046204,3.170730591,-0.053147584,-0.059528444,1.073176146
56.975110,4.406631470,6.731330872,3.414871216,-0.043137819,-0.018146606,1.131037474
56.975881,4.467666626,6.990730286,3.269912720,-0.054368287,-0.029499145,1.135798216
56.976508,4.269302368,7.471382141,3.308059692,-0.043015748,-0.019001098,1.127619505
57.001809,-7.518112183,5.625068665,1.820327759,-0.063645631,-0.058429811,0.915705442
57.004245,-4.969894409,4.160224915,1.789810181,-0.077805787,-0.005817505,0.919489622
57.004871,-4.847824097,3.794013977,1.370193481,-0.074631959,-0.002643677,0.916437864
57.005496,-4.382431030,3.145515442,1.377822876,-0.087571412,-0.008014770,0.915705442
57.006123,-3.764450073,2.313911438,1.240493774,-0.087937623,-0.005695435,0.916193724
57.006749,-3.329574585,1.276313782,1.171829224,-0.090256959,0.003703980,0.918879271
57.007376,-3.230392456,0.627815247,1.194717407,-0.081834108,0.013347534,0.920222044
