time,gyro x,gyro y,gyro z,accel x,accel y,accel z
100.800510,-6.871116638,-19.364013672,-5.564155579,-0.146713629,0.122077763,-0.928064823
100.801137,-6.565940857,-19.394531250,-5.541267395,-0.149887457,0.123542607,-0.926966190
100.801763,-7.031333923,-19.608154297,-5.320014954,-0.153183356,0.126472294,-0.926111698
100.802390,-6.909263611,-19.714965820,-5.472602844,-0.149032965,0.130012333,-0.922083378
100.803016,-7.038963318,-19.646301270,-5.556526184,-0.146835700,0.132942021,-0.920252323
100.803641,-7.244956970,-19.837036133,-5.464973450,-0.150497809,0.132209599,-0.916834354
100.816471,-10.327232361,-18.509521484,-5.060615540,-0.140976325,0.112434208,-0.864954472
100.817231,-10.128868103,-18.364562988,-4.953804016,-0.141464606,0.109260380,-0.866175175
100.817857,-10.128868103,-18.173828125,-5.045356750,-0.139999762,0.109016240,-0.867517948
100.818483,-9.762657166,-18.097534180,-4.938545227,-0.138534918,0.104377568,-0.865198612
100.819109,-9.404075623,-18.013610840,-5.068244934,-0.139755622,0.102180302,-0.861902714
100.819734,-9.236228943,-17.815246582,-4.946174622,-0.136215582,0.099006474,-0.862146854
100.820359,-9.091270447,-17.494812012,-5.075874329,-0.135605231,0.095222294,-0.864344120
100.820984,-8.274925232,-17.494812012,-4.885139465,-0.135239020,0.093879521,-0.861536503
100.821611,-7.916343689,-17.471923828,-4.915657043,-0.135483161,0.090095341,-0.861170292
100.822237,-7.618797302,-17.166748047,-4.877510071,-0.133163825,0.087776005,-0.859583378
100.822864,-6.863487244,-17.044677734,-5.106391907,-0.130966559,0.083381474,-0.860559940
100.823491,-6.504905701,-17.044677734,-5.091133118,-0.129867926,0.079597294,-0.858973026
100.824118,-5.871665955,-16.808166504,-4.763069153,-0.132919684,0.077522099,-0.857508183
100.824743,-5.398643494,-16.739501953,-4.885139465,-0.131821051,0.077522099,-0.860559940
100.825368,-4.689109802,-16.716613770,-4.816474915,-0.131210700,0.077400029,-0.857630253
100.825993,-3.849876404,-16.472473145,-4.740180969,-0.128647223,0.076301396,-0.853724003
100.826620,-3.453147888,-16.182556152,-4.625740051,-0.131454840,0.074104130,-0.855799198
100.827245,-2.797019958,-16.037597656,-4.572334290,-0.131088629,0.071296513,-0.853479862
100.827871,-2.140892029,-16.182556152,-4.526557922,-0.132919684,0.069221318,-0.852381229
