time,deltaX,deltaY,squal,shutter
90.516588,299,351,47,255
90.567056,0,0,39,255
90.617159,-3,0,46,255
90.667167,0,4,41,255
90.717742,-7,10,42,255
90.767789,-9,23,52,255
90.829900,-7,24,54,255
90.879925,0,23,57,255
90.930485,8,17,61,255
90.980877,-2,12,64,255
91.031040,-5,6,66,255
91.081599,-2,4,68,255
91.143703,3,15,73,255
91.194227,6,26,89,255
91.244233,18,7,85,255
91.294588,5,18,99,255
91.344658,-17,50,89,255
91.406765,-42,53,102,255
91.456797,-37,27,86,94
91.507140,-38,15,88,46
91.557221,-6,41,74,46
91.607725,-2,42,80,46
91.667154,-12,31,82,46
91.717569,-18,64,71,46
91.767812,-23,122,49,96
91.818153,26,178,52,96
91.868531,36,5,54,96
91.928497,15,8,52,96
91.978520,12,9,49,96
92.028929,3,4,48,106
92.079490,-24,12,52,106
92.130099,-29,8,59,148
92.189405,-34,25,69,148
92.239801,-25,2,65,148
92.289964,-11,-15,69,148
92.340265,9,-4,65,148
92.390788,24,-1,57,148
92.451633,30,0,56,148
92.501807,1,2,60,148
92.552050,-10,-1,57,148
92.602592,-11,-5,55,148
92.652966,-5,3,58,148
92.713449,-12,0,60,148
92.763825,-1,1,61,148
92.814103,9,10,61,148
92.864553,3,0,60,148
92.915018,-2,-1,57,148
92.974378,-22,8,68,148
93.031617,-23,0,79,148
93.081617,-17,20,82,148
93.131858,-16,-7,86,148
93.194213,-4,2,86,148
93.244651,1,1,75,148
93.295112,11,13,78,148
93.550867,29,-9,65,219
93.601097,-5,-26,59,219
93.651475,3,-3,59,219
93.701755,3,-8,56,219
93.764374,16,4,54,219
93.814805,8,22,54,187
93.865310,14,-1,43,187
93.915750,8,18,48,187
93.966144,18,0,40,187
94.025473,-5,-1,35,187
94.076047,3,-2,30,187
94.126087,-3,-1,26,187
94.176508,-3,9,31,187
94.226755,-3,-4,28,187
94.286621,0,8,26,187
94.337001,0,0,21,187
94.387383,0,0,19,187
94.437733,0,0,21,187
94.488027,0,0,14,168
94.548618,0,0,16,255
94.598860,0,0,18,255
94.648882,0,0,22,255
94.699289,0,0,27,255
94.749584,0,0,27,0
94.810695,0,0,21,0
94.861029,0,0,18,224
94.911190,0,0,15,255
94.961646,0,0,10,255
95.011858,0,0,25,255
95.062228,0,0,22,255
95.112314,0,0,29,255
95.168671,0,0,25,255
95.218775,0,0,26,255
95.268955,0,0,26,255
95.319274,0,0,20,255
95.369276,0,0,18,255
95.419714,0,0,21,255
95.476451,0,0,17,255
95.527001,0,0,14,255
95.577436,0,0,16,255
95.627756,0,0,15,255
95.678294,0,0,17,255
95.728638,0,0,13,255
95.784938,0,0,22,255
95.834938,0,0,15,255
95.885130,0,0,19,255
95.935745,0,0,17,255
95.986139,0,0,13,255
96.036591,0,0,19,255
96.092782,0,0,19,255
96.142904,0,0,19,255
96.192905,0,0,22,255
96.243313,0,0,21,255
96.293459,0,0,19,255
96.343998,0,0,18,255
96.394398,0,0,15,255
96.451860,0,0,16,255
96.502285,0,0,19,255
96.552723,0,0,17,255
96.603176,0,0,16,255
96.653520,0,0,19,255
96.703907,0,0,15,255
96.760135,0,0,17,255
96.810137,0,0,19,255
96.867139,0,0,12,255
96.917607,0,0,17,255
96.967956,0,0,19,255
97.024850,0,0,17,255
97.074850,0,0,13,255
97.124969,0,0,16,255
97.174970,0,0,15,255
97.225254,0,0,15,255
97.275726,0,0,19,255
97.333774,0,0,20,255
97.384059,0,0,19,255
97.434076,0,0,17,255
97.484383,0,0,16,255
97.534842,0,0,15,255
97.585111,0,0,20,255
97.635231,0,0,14,255
97.693131,0,0,21,255
97.743710,0,0,18,255
97.794159,0,0,18,255
97.844429,0,0,18,255
97.894627,0,0,17,255
97.944962,0,0,17,255
98.002507,0,0,16,255
98.052512,0,0,15,255
98.102902,0,0,13,255
98.153144,0,0,15,255
98.203561,0,0,22,255
98.253871,0,0,15,255
98.309975,0,0,15,255
98.360424,0,0,18,255
98.410660,0,0,17,255
98.460993,0,0,14,255
98.511464,0,0,19,255
98.561702,0,0,17,255
98.626410,0,0,13,255
98.676410,0,0,15,255
98.726790,0,0,14,255
98.777193,0,0,15,255
98.827532,0,0,18,255
98.877726,0,0,14,255
98.935805,0,0,15,255
98.986352,0,0,14,255
99.036913,0,0,18,255
99.087244,0,0,16,255
99.137424,0,0,15,255
99.187737,0,0,14,255
99.245787,0,0,13,255
99.296318,0,0,13,255
99.346701,0,0,14,255
99.397141,0,0,17,255
99.447732,0,0,16,255
99.497740,0,0,12,255
99.548193,0,0,16,255
99.598728,0,0,15,255
99.648825,0,0,12,255
99.709526,0,0,13,255
99.759547,0,0,17,255
99.809988,0,0,15,255
99.860501,0,0,14,255
99.910862,0,0,13,255
99.961252,0,0,10,255
100.019407,0,0,13,255
100.069923,0,0,24,255
100.120417,17,2,30,255
100.170634,32,7,25,255
100.220667,35,11,25,255
100.281865,26,0,24,255
100.331951,0,0,18,255
100.381976,0,0,20,255
100.432196,0,0,26,255
100.482302,0,0,16,255
100.543154,0,0,9,255
100.596705,0,0,5,255
100.647297,0,0,9,255
100.697758,0,0,6,255
100.748263,0,0,14,255
100.798615,0,0,11,255
100.857544,0,0,19,255
100.907980,0,0,21,255
100.958495,0,0,34,255
101.008946,0,0,21,255
101.059339,0,0,37,255
101.119548,0,0,38,255
101.170061,0,0,42,255
101.220557,0,0,32,255
101.271074,0,0,58,0
101.321406,-5,0,48,224
101.381570,9,-2,51,255
101.432001,-17,-5,24,255
101.482001,-15,-1,23,255
101.532551,0,-2,14,255
101.583046,0,0,5,255
101.643563,0,0,4,255
101.694168,0,0,2,255
101.744169,0,0,4,255
101.794572,0,0,2,255
101.844938,0,0,3,255
101.907109,0,0,3,255
101.957624,0,0,4,255
102.008027,0,0,2,255
102.058560,0,0,1,255
102.109118,0,0,6,255
102.169455,0,0,4,255
102.219933,0,0,3,255
102.269934,0,0,4,255
102.320030,0,0,6,255
102.370408,0,0,8,255
102.433081,0,0,12,255
