time,deltaX,deltaY,squal,shutter
100.857544,0,0,19,255
100.907980,0,0,21,255
100.958495,0,0,34,255
101.008946,0,0,21,255
101.059339,0,0,37,255
101.119548,0,0,38,255
101.170061,0,0,42,255
101.220557,0,0,32,255
101.271074,0,0,58,0
101.321406,-5,0,48,224
101.381570,9,-2,51,255
101.432001,-17,-5,24,255
101.482001,-15,-1,23,255
101.532551,0,-2,14,255
101.583046,0,0,5,255
101.643563,0,0,4,255
101.694168,0,0,2,255
101.744169,0,0,4,255
101.794572,0,0,2,255
101.844938,0,0,3,255
101.907109,0,0,3,255
101.957624,0,0,4,255
102.008027,0,0,2,255
102.058560,0,0,1,255
102.109118,0,0,6,255
102.169455,0,0,4,255
102.219933,0,0,3,255
102.269934,0,0,4,255
102.320030,0,0,6,255
102.370408,0,0,8,255
102.433081,0,0,12,255
102.483549,0,0,21,255
102.534046,0,0,14,255
102.584047,0,0,14,255
102.634566,0,0,25,255
102.703381,0,0,26,255
102.753714,0,0,50,255
102.804123,0,0,28,255
102.854125,0,0,36,255
102.914380,-2,0,32,255
102.965164,-19,-6,52,0
103.015409,-8,-3,45,0
103.065759,5,0,36,0
103.115761,-19,11,23,0
103.178414,-10,5,14,255
103.228983,0,0,6,255
103.279128,0,0,4,255
103.329522,0,0,5,255
103.380021,0,0,2,255
103.442848,0,0,2,255
103.493613,0,0,1,255
103.543644,0,0,3,255
103.594028,0,0,2,255
103.644547,0,0,1,255
103.706633,0,0,2,255
103.757088,0,0,4,255
103.807626,0,0,3,255
103.858137,0,0,2,255
103.908339,0,0,3,255
103.968581,0,0,2,255
104.019147,0,0,3,255
104.069669,0,0,5,255
104.119849,0,0,12,255
104.169920,0,0,19,255
104.220216,0,0,15,255
104.282897,0,0,24,255
104.333440,0,0,22,255
104.383442,0,0,44,255
104.433971,0,0,36,255
104.495962,0,0,63,255
104.777556,-9,2,22,94
104.912489,3,5,8,255
104.962579,0,0,4,255
105.013087,0,0,4,255
105.063419,0,0,4,255
105.113882,0,0,2,255
105.173479,0,0,1,255
105.223481,0,0,2,255
105.278072,0,0,2,255
105.328157,0,0,4,255
105.378207,0,0,2,255
105.436676,0,0,2,255
105.486841,0,0,4,255
105.537100,0,0,3,255
105.587274,0,0,7,255
105.637654,0,0,6,255
105.699218,0,0,2,255
105.749224,0,0,3,255
105.799487,0,0,11,255
105.849538,0,0,12,255
105.899985,0,0,13,255
105.961935,0,0,23,255
106.011987,0,0,35,255
106.062403,0,0,50,255
106.112473,0,0,53,94
106.163029,0,0,51,185
106.225174,0,0,56,97
106.275532,0,-3,54,234
106.325719,5,0,50,204
106.376181,-6,2,38,204
106.426507,-7,-16,40,204
106.487344,-4,6,21,204
