time,gyro x,gyro y,gyro z,accel x,accel y,accel z
8.257132,11.343925476,-0.743469238,0.902191162,-0.237667844,-0.109460086,0.769788027
8.266911,0.067680359,9.891906738,0.329986572,0.082034305,0.036291871,1.171643496
8.267537,-0.618965149,10.860839844,0.207916260,0.064089969,0.067053586,1.180066347
8.268162,1.090019226,10.296264648,0.284210205,0.037112426,0.079260617,1.203503847
8.268787,1.929252625,9.655395508,0.558868408,0.006594848,0.203284055,1.200696230
8.269413,0.357597351,8.648315430,1.031890869,0.005862426,0.244787961,1.234265566
8.270039,-1.565010071,7.847229004,-0.135406494,-0.013424683,0.207800657,1.213025331
8.270664,-4.700691223,8.655944824,-0.867828369,-0.046261597,0.165930539,1.234631777
8.271290,-5.265266418,8.152404785,-1.729949951,-0.067501828,0.100500852,1.290173769
8.271917,-5.059272766,6.573120117,-2.218231201,-0.044552613,0.143591672,1.290662050
8.272542,-7.386238098,6.596008301,-3.141387939,0.006228637,0.107825071,1.186291933
8.273167,-8.706123352,7.007995605,-3.553375244,-0.033444215,0.002478395,1.201428652
8.273792,-6.897956848,5.726257324,-3.606781006,-0.088253781,-0.080163211,1.214368105
8.274418,-2.312690735,2.544799805,-2.706512451,0.042605590,-0.020226683,1.303113222
8.275043,0.433891296,2.636352539,-3.599151611,0.196292117,0.114172727,1.171399355
8.275670,-6.844551086,7.450500488,-2.416595459,0.084719852,0.085242063,0.937756777
8.276295,-15.076667786,12.867370605,-2.256378174,0.311404407,0.030920777,1.002087831
8.276922,-11.460334778,19.138732910,-4.835113525,0.445315540,-0.013756957,1.029797792
8.277547,-10.018379211,27.019897461,-2.698883057,0.238406375,0.098913938,0.819226503
8.278172,-14.367134094,30.727783203,-1.798614502,0.087893680,0.023840699,0.753552675
8.278798,-12.856513977,30.857482910,-1.859649658,-0.041134644,-0.114831179,0.827405214
8.279425,-5.326301575,27.691284180,-1.363739014,-0.176144406,-0.122277468,0.881970644
8.280050,1.189201355,22.091308594,-1.272186279,-0.274166882,-0.097497195,0.907117128
8.280677,5.225151062,16.521850586,-1.424774170,-0.227536008,-0.101891726,0.944104433
8.281304,9.947746277,12.943664551,-2.027496338,-0.253414929,-0.101647586,1.066418886
8.281929,15.021293640,7.053771973,-2.805694580,-0.216915891,-0.016564574,1.112073183
8.282555,21.880119324,1.690307617,-4.545196533,-0.047116090,-0.257165164,1.487073183
8.283180,39.206474304,-5.694946289,-4.590972900,-0.433712780,0.194250852,1.608289003
8.283805,24.825065613,-13.919433594,-0.356658936,-0.225704953,0.371619016,1.311169863
8.284431,4.614799500,-14.552673340,-2.149566650,0.068606570,0.306555539,1.252820253
8.285057,-8.492500305,-6.503662109,-2.477630615,0.319094837,0.389441282,1.128674746
8.285684,-15.526802063,-0.339111328,-2.904876709,0.285891712,0.409216672,1.038220644
8.286310,-19.043952942,1.041809082,-0.066741943,0.154788211,0.370764524,0.926648378
8.286935,-21.386177063,0.950256348,1.352325439,0.067996219,0.259558469,0.870007753
8.287562,-20.882637024,1.041809082,1.085296631,-0.043576051,0.059485231,0.878918886
8.288188,-17.159492493,2.010742188,-1.279815674,-0.094113156,-0.086755008,0.879163027
8.288962,-9.896308899,4.177490234,-6.200775146,-0.099240109,-0.094689578,0.797742128
8.289588,-7.172615051,4.269042969,-7.024749756,-0.031002808,-0.041955199,0.724866152
8.290215,-8.576423645,6.817260742,-7.818206787,0.101199344,-0.057458129,0.668591738
8.290841,-8.095771790,9.182373047,-7.551177979,0.123538211,-0.040124144,0.662244081
8.291467,-7.088691711,10.563293457,-6.460174561,0.101199344,-0.126427859,0.701794863
8.292092,-0.496894836,8.640686035,-4.957183838,-0.032833863,-0.183800906,0.823865175
8.292718,3.745048523,5.100646973,-2.874359131,-0.033444215,-0.067589968,0.791394472
8.293344,1.868217468,3.574768066,-2.576812744,-0.048458863,0.011511598,0.769665956
