time,gyro x,gyro y,gyro z,accel x,accel y,accel z
36.000534,-0.351936340,13.470092773,-6.071075439,-0.107174680,0.058508668,1.051282167
36.001160,-0.351936340,13.782897949,-5.903228760,-0.104977414,0.060583863,1.049573183
36.001785,-0.748664856,13.676086426,-5.941375732,-0.105953977,0.059729371,1.051770449
36.002412,-0.947029114,14.126220703,-5.849822998,-0.107662961,0.056921754,1.051648378
36.003037,-1.198799133,14.377990723,-5.949005127,-0.105343625,0.061438356,1.050671816
36.003663,-1.412422180,14.507690430,-5.842193604,-0.104611203,0.059363160,1.048962831
36.004288,-1.351387024,14.835754395,-5.941375732,-0.104122922,0.054968629,1.050427675
36.004915,-1.580268860,15.163818359,-5.926116943,-0.104977414,0.056921754,1.049939394
36.005541,-2.007514954,15.240112305,-5.758270264,-0.105343625,0.057532106,1.049084902
36.006166,-2.228767395,15.430847168,-5.834564209,-0.104977414,0.054358277,1.045789003
36.006793,-2.190620422,15.980163574,-5.537017822,-0.106320187,0.053625856,1.048718691
36.007420,-2.495796204,16.003051758,-5.620941162,-0.105831906,0.051794801,1.048230410
36.008046,-2.747566223,16.155639648,-5.666717529,-0.107540891,0.053381715,1.047375917
36.008671,-2.747566223,16.834655762,-5.506500244,-0.103634641,0.052405152,1.044690371
36.009297,-2.976448059,17.155090332,-5.338653564,-0.106076047,0.051062379,1.046399355
36.009924,-3.014595032,17.177978516,-5.613311768,-0.107296750,0.052405152,1.042737246
36.010549,-3.342658997,17.452636719,-5.537017822,-0.107540891,0.049231324,1.043835878
36.011175,-3.510505676,17.879882812,-5.331024170,-0.106442258,0.049841676,1.040051699
36.011841,-3.670722961,18.047729492,-5.353912354,-0.103512570,0.049841676,1.037732363
36.012468,-3.762275696,17.956176758,-5.361541748,-0.107296750,0.047156129,1.038830996
36.013094,-3.754646301,18.505493164,-5.231842041,-0.101315305,0.050452027,1.034802675
36.013721,-3.876716614,18.757263184,-5.262359619,-0.102902219,0.046057496,1.032727480
36.014346,-3.991157532,18.970886230,-5.269989014,-0.105953977,0.043371949,1.033581972
36.014971,-4.235298157,19.314208984,-5.140289307,-0.105099484,0.040076051,1.031995058
36.016830,-4.189521790,20.229736328,-5.071624756,-0.105709836,0.038367067,1.029065371
36.017455,-4.136116028,20.100036621,-4.972442627,-0.106808469,0.036413942,1.029309511
36.018081,-4.273445129,20.588317871,-4.926666260,-0.106686398,0.034094606,1.027478456
36.018707,-4.052192688,20.908752441,-4.835113525,-0.107418820,0.034704957,1.029919863
36.019333,-4.212409973,21.076599121,-4.842742920,-0.104733273,0.032263551,1.027478456
36.019959,-4.273445129,21.572509766,-4.644378662,-0.106930539,0.030920777,1.023083925
36.020585,-4.120857239,21.702209473,-4.697784424,-0.105709836,0.029578004,1.022717714
36.021210,-4.120857239,21.877685547,-4.621490479,-0.104977414,0.031164918,1.025647402
36.021837,-3.975898743,22.091308594,-4.499420166,-0.103512570,0.027136598,1.025281191
36.029116,-2.221138000,24.570861816,-3.568634033,-0.120968625,0.013953004,0.991467714
36.029743,-2.076179504,24.769226074,-3.660186768,-0.122067258,0.013708863,0.987439394
36.030368,-1.954109192,24.639526367,-3.545745850,-0.124874875,0.011389527,0.982434511
36.030994,-1.336128235,24.929443359,-3.583892822,-0.121823117,0.009558473,0.981335878
36.031619,-1.305610657,24.769226074,-3.637298584,-0.125607297,0.011145387,0.973645449
36.032287,-0.924140930,24.868408203,-3.477081299,-0.125119016,0.009436402,0.969739199
36.032913,-0.710517883,25.020996094,-3.316864014,-0.127194211,0.007971559,0.964734316
36.033539,-0.168830872,24.776855469,-3.591522217,-0.121945187,0.004309449,0.962537050
36.046413,4.630058289,25.226989746,-2.027496338,-0.125363156,0.002722535,0.932629824
36.047148,4.736869812,25.181213379,-1.790985107,-0.127194211,0.000891481,0.931531191
36.047774,4.851310730,25.455871582,-1.699432373,-0.128170773,0.002356324,0.929578066
36.048399,4.645317078,25.394836426,-1.722320557,-0.127804562,0.000281129,0.924939394
36.049024,4.645317078,25.448242188,-1.699432373,-0.124508664,-0.001305785,0.921765566
36.049651,4.424064636,25.432983398,-1.455291748,-0.123898312,0.002478395,0.921155214
36.050278,4.408805847,25.623718262,-1.325592041,-0.127316281,0.003088746,0.919690371
36.050905,4.347770691,25.471130371,-1.356109619,-0.125119016,-0.001549926,0.917859316
36.051530,4.324882507,25.494018555,-1.150115967,-0.124386594,0.001379762,0.914075136
36.052157,4.462211609,25.638977051,-1.173004150,-0.127682492,0.001501832,0.913708925
36.052782,4.256217957,25.753417969,-1.127227783,-0.127926633,0.002112184,0.906872988
36.053408,4.370658875,25.600830078,-0.936492920,-0.129757687,-0.001183715,0.904065371
36.054034,4.057853699,25.692382812,-1.066192627,-0.128659055,0.001501832,0.901868105
36.054659,3.989189148,25.646606445,-0.829681396,-0.130368039,-0.001061644,0.898816347
36.055285,3.958671570,25.524536133,-0.661834717,-0.127194211,-0.001305785,0.895886660
36.055911,3.836601257,25.577941895,-0.493988037,-0.129879758,0.000525270,0.893445253
36.056536,3.851860046,25.509277344,-0.425323486,-0.128903195,-0.001183715,0.890515566
36.057162,3.592460632,25.478759766,-0.448211670,-0.128292844,0.000769410,0.888196230
36.057789,3.661125183,25.310913086,-0.410064697,-0.128659055,-0.001916137,0.882703066
36.058415,3.531425476,25.486389160,0.009552002,-0.128414914,-0.002526488,0.879163027
36.059042,3.462760925,25.333801270,-0.051483154,-0.132077023,-0.000573363,0.873914003
36.059667,3.447502136,25.165954590,-0.051483154,-0.129635617,-0.003747191,0.872327089
36.060294,3.302543640,25.074401855,0.360504150,-0.130368039,-0.002770629,0.870618105
36.060919,3.127067566,25.219360352,0.116363525,-0.130612180,-0.003380980,0.869519472
36.061544,3.088920593,25.089660645,0.429168701,-0.129025266,-0.004235473,0.864758730
36.062171,3.104179382,24.753967285,0.413909912,-0.131466672,-0.004235473,0.863415956
36.062796,3.256767273,24.792114258,0.612274170,-0.132443234,-0.002404418,0.863660097
36.063423,3.317802429,24.799743652,0.635162354,-0.132443234,-0.003869262,0.856702089
36.064048,3.256767273,24.395385742,0.780120850,-0.131954953,-0.003747191,0.857312441
36.064674,3.424613953,24.380126953,0.825897217,-0.135128781,-0.004845824,0.856335878
36.065300,3.416984558,24.326721191,1.169219971,-0.138180539,-0.004601683,0.854382753
36.067132,3.149955750,23.907104492,1.443878174,-0.137692258,-0.002526488,0.843884706
36.067758,3.516166687,23.548522949,1.283660889,-0.135739133,-0.002526488,0.842786074
36.068384,3.149955750,23.128906250,1.375213623,-0.136105344,0.001501832,0.840832949
36.069011,3.066032410,23.228088379,1.779571533,-0.134518430,0.000036988,0.836560488
36.069636,3.249137878,22.945800781,1.855865479,-0.135739133,0.002844606,0.832776308
36.070261,3.378837585,22.648254395,1.817718506,-0.137936398,0.002356324,0.829236269
36.070886,3.439872742,22.350708008,1.886383057,-0.139279172,0.006262574,0.827527285
36.071511,3.478019714,21.969238281,2.077117920,-0.141110227,0.009070192,0.824353456
36.072138,3.439872742,21.740356445,2.229705811,-0.140377805,0.011145387,0.819470644
36.072765,3.569572449,21.519104004,2.344146729,-0.140255734,0.014441285,0.818127871
36.073392,3.729789734,21.244445801,2.336517334,-0.142208859,0.016882692,0.815076113
36.074019,3.935783386,20.801940918,2.191558838,-0.141354367,0.018469606,0.812146425
36.074646,3.935783386,20.504394531,2.374664307,-0.144039914,0.019568238,0.810925722
36.075271,3.890007019,20.351806641,2.229705811,-0.138790891,0.022742067,0.804455996
36.075896,3.905265808,19.924560547,2.351776123,-0.145138547,0.028601442,0.806287050
36.076521,4.172294617,19.489685059,2.443328857,-0.142208859,0.028967652,0.802991152
36.077147,4.141777039,19.367614746,2.527252197,-0.142086789,0.028357301,0.800549746
36.090007,3.920524597,9.449401855,2.542510986,-0.156124875,0.051306520,0.766980410
36.090767,4.088371277,8.839050293,2.588287354,-0.160031125,0.048376832,0.764294863
36.091392,4.332511902,8.488098145,2.679840088,-0.159786984,0.049109254,0.762463808
36.092019,4.088371277,7.908264160,2.656951904,-0.159909055,0.048987184,0.763684511
36.092644,4.439323425,7.313171387,2.435699463,-0.161129758,0.050574098,0.763806581
36.093271,4.172294617,6.832519531,2.397552490,-0.162472531,0.057287965,0.766247988
36.093897,4.591911316,6.100097656,2.443328857,-0.164181516,0.054724488,0.764416933
36.094523,4.599540710,5.535522461,2.496734619,-0.164181516,0.054358277,0.766003847
36.095148,4.881828308,4.978576660,2.450958252,-0.165768430,0.055090699,0.763562441
36.095775,4.767387390,4.360595703,2.397552490,-0.161862180,0.059485231,0.767224550
36.096400,4.950492859,3.910461426,2.565399170,-0.161373898,0.057410035,0.769910097
36.097025,5.255668640,3.376403809,2.359405518,-0.162106320,0.057532106,0.773328066
36.097650,5.438774109,3.071228027,2.214447021,-0.159909055,0.059973512,0.771497011
36.098275,5.431144714,1.758972168,2.313629150,-0.160153195,0.059607301,0.776746035
36.098900,5.766838074,1.476684570,2.267852783,-0.161740109,0.062536985,0.779431581
36.099527,5.766838074,0.942626953,2.328887939,-0.161984250,0.064123899,0.781995058
36.100154,5.949943542,0.561157227,2.077117920,-0.166989133,0.063879758,0.784924746
36.100780,5.934684753,0.065246582,2.107635498,-0.168453977,0.064734250,0.787122011
36.101406,6.018608093,-0.506958008,2.130523682,-0.175289914,0.065100461,0.792004824
36.102031,6.056755066,-0.781616211,2.229705811,-0.176998898,0.063879758,0.794690371
36.102657,6.148307800,-1.369079590,1.794830322,-0.182003781,0.063147336,0.794568300
36.103282,6.163566589,-1.880249023,1.794830322,-0.181393430,0.062781125,0.797742128
36.103908,6.148307800,-2.482971191,1.878753662,-0.187496945,0.066687375,0.801770449
36.104534,6.247489929,-2.833923340,1.619354248,-0.186764523,0.068518430,0.803479433
36.105161,6.300895691,-3.184875488,1.749053955,-0.184445187,0.069128782,0.803967714
36.105788,6.163566589,-3.955444336,1.474395752,-0.185055539,0.069983274,0.805798769
36.106413,6.033866882,-4.382690430,1.436248779,-0.179684445,0.073035032,0.804089785
36.107039,6.270378113,-4.733642578,1.359954834,-0.178463742,0.076086789,0.802624941
36.107665,6.155937195,-5.260070801,1.314178467,-0.176510617,0.076575071,0.804944277
