time,deltaX,deltaY,squal,shutter
36.015557,0,0,21,255
36.065838,0,0,24,255
36.116338,0,0,36,255
36.175830,0,0,40,255
36.225890,0,0,37,255
36.279369,0,0,34,255
36.329899,0,0,49,255
36.379900,0,0,46,255
36.430356,0,0,59,255
36.486740,12,3,69,255
36.537064,32,0,68,255
36.587285,42,0,71,255
36.637758,47,0,97,255
36.688126,58,10,92,255
36.738554,50,9,97,255
36.788611,38,4,87,255
36.847099,27,-3,77,255
36.897203,28,-5,68,255
36.947204,46,4,73,255
36.997664,39,-6,64,255
37.047707,29,0,63,255
37.097707,36,-3,63,255
37.159242,50,13,53,255
37.209749,41,9,52,255
37.260411,36,3,67,255
37.310725,43,12,70,255
37.360740,41,11,71,255
37.411271,36,3,61,255
37.468972,54,-1,60,255
37.519054,52,2,54,255
37.569148,60,0,55,255
37.619694,58,-7,40,255
37.670107,39,0,47,255
37.720541,38,4,52,255
37.781312,37,2,51,255
37.831631,49,-7,39,255
37.881636,41,-14,39,255
37.931989,32,-9,35,255
37.982373,35,0,41,255
38.032632,25,-3,46,255
38.083041,28,-1,55,255
38.141482,42,5,62,255
38.191482,42,12,76,255
38.241940,45,5,72,255
38.292299,33,7,76,255
38.342731,38,7,68,255
38.393183,33,3,72,255
38.452806,47,12,69,255
38.502944,41,14,69,255
38.554936,44,11,59,255
38.604937,31,5,60,255
38.655389,23,1,68,255
38.705899,40,-4,69,255
38.763623,49,3,73,255
38.813934,41,12,65,255
38.864033,42,4,51,255
38.914534,46,5,52,255
38.964968,37,7,49,255
39.015383,26,-2,54,255
39.065717,38,9,62,255
39.125905,46,5,74,255
39.176438,33,-2,75,255
39.226939,41,6,72,255
39.277407,42,4,53,255
39.327669,46,3,40,255
39.378114,43,-6,36,255
39.428265,38,-3,33,255
39.478290,28,0,24,255
39.537919,0,0,22,255
39.589493,0,0,19,255
39.639950,0,0,22,255
39.690439,0,0,24,255
39.740899,0,0,22,255
39.803556,0,0,19,255
39.854413,0,0,27,255
39.904479,0,0,32,255
39.954481,0,0,25,255
40.004835,0,0,29,255
40.055380,0,0,25,255
40.105540,0,0,28,255
40.165750,0,0,30,255
40.216294,25,4,44,255
40.266729,30,6,45,255
40.317264,43,9,51,255
40.367448,47,12,48,255
40.417951,37,10,54,255
40.474951,37,9,57,255
40.525041,35,7,72,255
40.604446,79,11,66,255
40.654495,41,2,62,255
40.704496,51,12,74,255
40.754697,38,11,66,255
40.805128,38,-1,62,255
40.855294,33,-3,61,255
40.913103,51,12,58,255
40.963308,57,16,53,255
41.013630,51,14,57,255
41.064082,43,9,52,255
41.114234,33,0,60,255
41.164727,40,4,51,255
41.224843,45,-9,49,255
41.274864,45,-9,53,255
41.330750,51,0,52,255
41.381262,53,3,61,255
41.431393,37,-1,51,255
41.491016,51,-15,51,255
41.541019,46,6,57,255
41.591468,47,8,67,255
41.641893,45,10,72,255
41.692342,61,10,88,255
41.742655,32,-8,82,255
41.804655,45,8,90,255
41.855158,33,9,94,255
41.905605,44,11,88,255
41.955607,40,7,90,255
42.006124,45,8,94,255
42.056586,56,6,75,255
42.106752,47,-12,62,255
42.166431,52,-11,47,255
42.216566,45,-1,28,255
42.267022,48,-1,17,255
42.317023,2,0,12,255
42.367348,0,0,7,255
42.417348,0,0,7,255
42.476289,0,0,4,255
42.652849,0,0,8,255
42.937018,0,0,5,255
