time,gyro x,gyro y,gyro z,accel x,accel y,accel z
26.020371,-1.974807739,-2.753463745,6.095687866,-0.205536500,0.085765019,1.034590364
26.021147,-2.386795044,-3.020492554,6.355087280,-0.205780640,0.089793339,1.033247590
26.021773,-3.065811157,-3.195968628,6.553451538,-0.204193726,0.089427128,1.033613801
26.022399,-3.386245728,-3.462997437,6.622116089,-0.202118531,0.089915410,1.031416535
26.023026,-3.988967896,-3.592697144,6.568710327,-0.199677125,0.093089238,1.038008332
26.023653,-4.507766724,-4.126754761,6.843368530,-0.198456421,0.095164433,1.039351106
26.024279,-4.645095825,-4.233566284,6.843368530,-0.199921265,0.095652714,1.039229035
26.024904,-5.186782837,-4.660812378,6.866256714,-0.197601929,0.098338261,1.041914582
26.025529,-5.606399536,-4.706588745,7.224838257,-0.194794312,0.098216191,1.045820832
26.026156,-5.797134399,-4.752365112,7.194320679,-0.193329468,0.100169316,1.046797395
26.026781,-6.132827759,-5.049911499,7.438461304,-0.192597046,0.100901738,1.047285676
26.027406,-6.506668091,-5.187240601,7.560531616,-0.191376343,0.104319707,1.048262239
26.028032,-6.842361450,-5.393234253,7.476608276,-0.186249390,0.106272832,1.056807160
26.028657,-6.888137817,-5.492416382,7.690231323,-0.184296265,0.106516972,1.056318879
26.029284,-7.300125122,-5.782333374,7.629196167,-0.183685914,0.106150761,1.059370637
26.029909,-7.452713013,-6.118026733,7.644454956,-0.179901734,0.111033574,1.066084504
26.030536,-7.643447876,-5.843368530,7.812301636,-0.180145875,0.112132207,1.069258332
26.031161,-7.727371216,-6.224838257,7.758895874,-0.178681031,0.113963261,1.073042512
26.031787,-7.902847290,-6.247726440,7.949630737,-0.172089234,0.116770878,1.075605989
26.032414,-7.864700317,-6.453720093,7.812301636,-0.170746461,0.115428105,1.080000520
26.033039,-7.857070923,-6.453720093,8.109848022,-0.169281617,0.118235722,1.086348176
26.033664,-8.009658813,-6.285873413,7.850448608,-0.160492554,0.122752324,1.087080598
26.034290,-8.078323364,-6.346908569,7.934371948,-0.160126343,0.122630253,1.096113801
26.034917,-8.200393677,-6.392684937,7.911483765,-0.158295289,0.124461308,1.099775910
26.035543,-8.314834595,-6.430831909,8.117477417,-0.156830445,0.126902714,1.105879426
26.036168,-8.154617310,-6.255355835,7.980148315,-0.156098023,0.127513066,1.109297395
26.036795,-8.291946411,-6.308761597,8.010665894,-0.153046265,0.128367558,1.111372590
26.037420,-7.895217896,-6.316390991,7.934371948,-0.152313843,0.132884160,1.115278840
26.038045,-8.192764282,-6.049362183,7.911483765,-0.149994507,0.132029667,1.122236848
26.038671,-8.185134888,-5.942550659,8.201400757,-0.148651734,0.137766972,1.123457551
26.064533,-5.728469849,1.938613892,2.021591187,-0.123993531,0.210642949,1.145552278
26.066575,-6.125198364,2.388748169,1.243392944,-0.127533570,0.209178105,1.147261262
26.067200,-6.239639282,2.556594849,1.205245972,-0.127411500,0.209056035,1.147017121
26.067826,-6.201492310,2.762588501,1.075546265,-0.132050171,0.205760136,1.146772981
26.068452,-6.544815063,2.915176392,0.747482300,-0.129974976,0.205393925,1.150313020
26.069079,-6.720291138,2.854141235,0.732223511,-0.131806031,0.202464238,1.152022004
26.069705,-7.055984497,3.365310669,0.350753784,-0.132294312,0.200266972,1.153120637
26.070332,-7.323013306,3.304275513,0.182907104,-0.135834351,0.199656621,1.151167512
