time,deltaX,deltaY,squal,shutter
7.996542,0,0,19,255
8.016699,0,0,19,255
8.041700,0,0,22,255
8.061786,0,0,23,255
8.088369,0,0,23,255
8.108530,0,0,21,255
8.133505,0,0,24,255
8.153618,0,0,24,255
8.178268,0,0,25,255
8.198474,0,0,25,255
8.222463,0,0,28,255
8.246790,0,0,26,255
8.273999,0,0,30,255
8.294461,0,0,31,255
8.319065,0,0,28,255
8.339163,0,0,29,255
8.365033,0,0,27,255
8.385315,0,0,27,255
8.410548,0,0,30,255
8.430663,0,0,31,255
8.455291,0,0,27,255
8.475468,0,0,26,255
8.507380,0,0,23,255
8.527504,0,0,20,255
8.552164,0,0,18,255
8.572311,0,0,21,255
8.597532,0,0,18,255
8.617612,0,0,18,255
8.642875,0,0,18,255
8.663108,0,0,18,255
8.687743,0,0,14,255
8.707991,0,0,13,255
8.732068,0,0,10,255
8.757672,0,0,9,255
8.783595,0,0,6,255
8.803746,0,0,7,255
8.829056,0,0,4,255
8.849230,0,0,6,255
8.874111,0,0,12,255
8.894200,0,0,15,255
8.919499,0,0,22,255
8.939664,0,0,23,255
8.964902,0,0,26,255
8.984986,0,0,28,255
9.016371,1,1,38,255
9.036545,4,10,37,255
9.061184,8,12,39,255
9.081297,2,5,43,255
9.106551,4,11,49,255
9.126705,3,8,51,255
9.151912,0,12,54,255
9.171968,-4,0,56,255
9.197084,-11,1,50,255
9.217258,-12,3,54,255
9.241982,-16,3,59,255
9.266883,-10,3,61,255
9.293487,1,2,61,255
9.313727,3,3,60,255
9.338314,8,9,54,255
9.358451,3,4,50,255
9.383702,8,10,59,255
9.403875,0,-4,59,255
9.427902,-4,-3,59,255
9.448028,-5,1,59,255
9.472657,-12,3,59,255
9.492807,-2,1,57,255
9.524063,0,-12,58,255
9.544235,-1,-13,60,255
9.568893,-2,-14,46,255
9.589119,4,-9,47,255
9.613086,6,-12,42,255
9.633203,2,-10,42,255
9.657807,2,0,42,255
9.677948,3,-1,41,255
9.701869,13,-1,41,255
9.722078,2,-1,42,255
9.746725,3,-3,39,255
9.766909,9,-2,36,255
9.797537,11,-3,40,255
9.817720,6,-1,37,255
9.842352,6,-3,40,255
9.862499,7,2,43,255
9.887080,6,3,40,255
9.907158,3,-1,40,255
9.931762,7,1,49,255
9.951864,3,2,45,255
9.975850,1,-5,39,255
9.995937,0,-4,40,255
10.027382,0,0,41,255
10.047730,-3,2,40,255
10.071776,-2,1,44,255
10.091900,-7,0,42,255
10.115272,-8,0,37,255
10.135623,-8,3,39,255
10.159595,-12,2,39,255
10.179730,-7,1,35,255
10.203105,-11,4,36,255
10.223327,-3,0,34,255
10.247308,-5,0,32,255
10.267434,-1,0,29,255
10.298187,-6,4,31,255
10.318420,0,3,36,255
10.343079,1,5,40,255
10.363164,-3,4,37,255
10.387803,3,4,36,255
10.407968,2,1,35,255
10.433192,1,0,39,255
10.453294,0,1,41,255
10.477914,0,2,41,255
10.498041,0,0,40,255
10.528664,-1,-3,36,255
10.548837,-2,0,35,255
10.573487,-3,-2,37,255
10.593602,-2,0,41,255
10.618515,0,0,39,255
10.638644,-2,1,43,255
10.663422,-2,1,40,255
10.683583,-1,0,34,255
10.707554,-3,0,31,255
10.727692,-1,1,28,255
10.752439,1,0,38,255
10.778650,0,-2,35,255
10.803310,1,-1,37,255
10.823448,0,0,37,255
10.848069,4,0,38,255
10.868175,6,1,39,255
10.893390,5,1,49,255
10.913446,1,0,52,255
10.938068,0,0,46,255
10.958223,0,0,46,255
10.982221,0,1,63,255
11.002361,0,6,63,255
11.033734,5,4,63,255
11.054016,5,-2,45,255
11.077419,15,-2,48,255
11.097533,2,-1,48,255
11.121576,5,-3,54,255
11.141715,7,-3,56,255
11.165077,3,0,55,255
11.185188,2,0,51,255
11.209813,2,-1,48,255
11.229977,8,-4,48,255
11.253964,2,0,52,255
11.274119,3,0,51,255
11.305389,11,3,49,255
11.325615,6,0,50,255
11.349588,10,-4,46,255
11.369744,9,2,47,255
11.394392,15,10,54,255
11.414554,16,5,62,255
11.439149,15,6,65,255
11.459229,11,16,64,255
11.483831,12,10,65,255
11.503993,13,-4,61,255
11.534664,9,-25,73,255
11.554890,5,-11,73,255
11.579594,7,0,64,255
11.599753,10,3,65,255
11.624957,13,2,60,255
11.645086,13,0,54,255
11.670364,17,-2,61,255
11.690554,17,-6,63,255
11.714527,20,-8,68,255
11.734638,17,-6,65,255
11.759252,22,-2,63,255
11.784836,20,1,67,255
11.810739,22,7,69,255
11.830868,15,3,68,255
11.854886,16,2,64,255
11.875020,15,5,62,255
11.898990,19,-2,62,255
11.919159,10,-2,58,255
11.943209,12,1,62,255
11.963440,10,1,61,255
11.988189,12,-1,60,255
12.008376,16,-8,57,255
12.039327,13,-5,52,255
12.059574,10,-1,56,255
12.084387,12,4,55,255
12.104500,8,2,50,255
12.128509,11,0,45,255
12.148664,6,1,47,255
12.172639,10,5,42,255
12.192755,9,5,43,255
12.216769,8,16,38,255
12.236934,8,11,40,255
12.261531,8,8,41,255
12.281778,7,1,40,255
12.323731,12,16,33,255
12.344053,3,0,22,255
12.367549,7,5,21,255
12.387928,2,5,19,255
12.418403,0,0,15,255
12.438779,0,0,13,255
12.458780,0,0,10,255
12.479036,0,0,10,255
12.499037,0,0,9,255
12.519391,0,0,10,255
12.540416,0,0,8,255
12.568819,0,0,5,255
12.588974,0,0,4,255
12.612370,0,0,5,255
12.632552,0,0,3,255
12.655872,0,0,2,255
12.676011,0,0,2,255
12.700726,0,0,3,255
12.720914,0,0,2,255
12.744902,0,0,2,255
12.765058,0,0,1,255
12.795698,0,0,2,255
12.815889,0,0,3,255
12.839251,0,0,2,255
12.859416,0,0,1,255
