time,gyro x,gyro y,gyro z,accel x,accel y,accel z
98.480070,-5.221519470,-18.775985718,0.015808105,0.005623779,-0.034510743,-1.106518626
98.480695,-5.313072205,-19.111679077,-0.060485840,0.009774170,-0.033167969,-1.103344798
98.481320,-5.778465271,-19.332931519,0.259948730,0.010506592,-0.032557618,-1.099926829
98.481945,-5.976829529,-19.760177612,0.282836914,0.011605225,-0.034388673,-1.099560618
98.482570,-6.312522888,-20.034835815,0.610900879,0.012703857,-0.036097657,-1.097363353
98.483196,-6.693992615,-20.286605835,0.259948730,0.013070068,-0.036708008,-1.097119212
98.483821,-6.541404724,-20.362899780,0.542236328,0.014534912,-0.035121094,-1.090771556
98.484447,-6.831321716,-20.515487671,0.588012695,0.012581787,-0.039027344,-1.089672923
98.485073,-6.693992615,-20.935104370,0.687194824,0.017586671,-0.041590821,-1.084790111
98.485699,-6.518516541,-21.080062866,0.961853027,0.018563233,-0.041712891,-1.078930736
98.486325,-6.663475037,-21.186874390,1.091552734,0.019783936,-0.043421876,-1.071362376
98.486951,-6.259117126,-21.476791382,0.977111816,0.018074952,-0.045008790,-1.065136790
98.487577,-6.304893494,-21.736190796,1.175476074,0.019539796,-0.045008790,-1.059887767
98.488203,-6.236228943,-21.720932007,1.358581543,0.021614991,-0.045619141,-1.048901439
98.488829,-6.182823181,-21.934555054,1.289916992,0.028450929,-0.043543946,-1.048046947
98.489455,-6.091270447,-21.774337769,1.373840332,0.030648194,-0.044154298,-1.036816478
98.490080,-5.778465271,-21.698043823,1.526428223,0.031624757,-0.044520508,-1.028393626
98.490705,-5.877647400,-21.698043823,1.732421875,0.035286866,-0.043055665,-1.024975657
98.491332,-5.404624939,-21.766708374,1.671386719,0.035286866,-0.041957032,-1.014111400
98.491957,-5.419883728,-21.537826538,1.869750977,0.031624757,-0.041590821,-1.006787181
98.492583,-5.389366150,-21.553085327,1.930786133,0.031868897,-0.040980469,-0.998974681
98.493209,-5.160484314,-21.446273804,2.052856445,0.036385499,-0.042689454,-0.991650462
98.493834,-4.992637634,-21.400497437,2.091003418,0.038094483,-0.038661133,-0.985791087
98.495636,-4.008445740,-20.416305542,2.144409180,0.042366944,-0.035853516,-0.968457103
98.496262,-3.985557556,-20.385787964,2.373291016,0.044564210,-0.032801758,-0.958935618
98.496888,-3.741416931,-20.164535522,2.594543457,0.043587647,-0.031703126,-0.960766673
98.497515,-3.588829041,-19.645736694,2.281738281,0.045174561,-0.031458985,-0.953930736
98.498142,-3.489646912,-19.317672729,2.472473145,0.043221436,-0.030604493,-0.945629954
98.498767,-2.970848083,-18.730209351,2.426696777,0.043953858,-0.026576173,-0.940991282
98.499394,-2.665672302,-18.592880249,2.441955566,0.045540772,-0.027186524,-0.940380931
98.500020,-2.696189880,-18.371627808,2.678466797,0.042855226,-0.021937501,-0.935131907
98.500646,-2.307090759,-17.814682007,2.876831055,0.042977296,-0.023280274,-0.937817454
98.501271,-2.093467712,-17.562911987,2.678466797,0.045052491,-0.017176758,-0.933911204
