time,deltaX,deltaY,squal,shutter
88.217440,606,-1776,53,255
88.237572,2,-1,55,255
88.263952,0,0,55,255
88.283982,-1,0,50,255
88.310209,-3,1,53,255
88.330292,0,1,47,255
88.355843,0,0,54,255
88.375875,0,1,58,255
88.400480,1,3,53,255
88.420626,0,9,58,255
88.444547,-3,7,67,255
88.467554,-7,14,72,255
88.495376,-8,12,70,255
88.515509,-4,7,77,255
88.539427,-4,11,74,255
88.559472,-3,10,81,255
88.583482,-3,6,94,255
88.603581,-2,7,91,255
88.627497,-1,10,99,255
88.647566,0,7,100,255
88.671579,0,5,97,255
88.691725,0,3,94,255
88.722943,6,7,99,255
88.743102,1,10,102,255
88.767787,0,11,99,255
88.787986,-5,18,107,255
88.811960,-10,26,110,255
88.832100,-9,17,113,255
88.855482,-12,23,115,255
88.875670,-10,24,118,255
88.899096,-12,25,116,255
88.919246,-14,25,114,255
88.942637,-20,38,124,255
88.962830,-14,25,122,255
88.992929,-20,30,117,255
89.013096,-15,26,106,255
89.036490,-16,36,94,255
89.056657,-7,22,80,255
89.080899,-1,25,71,255
89.100956,3,14,69,255
89.124985,4,7,66,255
89.145197,0,10,62,255
89.169190,-4,16,63,255
89.189261,-7,13,49,255
89.212598,-9,19,50,255
89.233051,-10,8,45,255
89.262665,-12,5,45,255
89.282737,-8,3,48,255
89.306732,-8,1,52,255
89.326832,-7,1,50,255
89.350153,-2,3,47,255
89.370256,1,6,40,255
89.394334,4,19,32,255
89.414485,4,22,31,255
89.438410,-7,24,33,255
89.458494,-1,28,42,255
89.489146,6,46,38,255
89.509358,2,20,39,255
89.532654,-5,-1,43,255
89.552740,17,-12,43,255
89.576123,6,1,57,255
89.596300,6,-3,75,0
89.620245,-7,-16,67,0
89.640373,-6,-7,68,0
89.663718,0,17,81,32
89.683838,-1,27,72,32
89.707793,0,2,67,32
89.728258,3,0,74,32
89.757346,-5,3,74,32
89.777549,-4,11,62,32
89.800898,0,0,66,32
89.820989,0,-5,72,32
89.845014,3,-2,75,32
89.865134,1,5,71,32
89.889077,0,3,61,32
89.909130,0,4,63,32
89.933161,4,13,54,32
89.953300,0,15,64,32
89.983292,-3,17,62,32
90.003438,8,15,55,32
90.026846,-2,12,52,32
90.047026,0,7,57,32
90.071329,1,0,40,32
90.091421,0,-6,36,32
90.115416,14,5,34,32
90.135573,0,1,35,32
90.158897,-1,-4,25,32
90.178989,0,1,27,32
90.203056,1,1,21,32
90.223262,2,0,15,32
90.253879,0,0,19,32
90.274124,0,0,17,32
90.297541,0,0,13,32
90.317784,0,0,21,32
90.341754,0,0,19,32
90.361898,0,0,21,32
90.384684,0,0,26,32
90.404895,0,0,25,32
90.428941,0,0,27,32
90.449092,0,0,24,32
90.471824,0,0,38,32
