time,deltaX,deltaY,squal,shutter
98.494389,11,0,34,255
98.518370,11,-1,28,255
98.538847,12,-1,28,255
98.570614,18,-2,32,255
98.590696,1,0,30,255
98.615359,0,0,26,255
98.635507,0,0,23,255
98.659477,0,0,31,255
98.679550,3,0,30,255
98.702925,16,0,29,255
98.723125,14,0,31,255
98.747683,17,1,28,255
98.767823,11,0,28,255
98.798470,16,1,21,255
98.818665,3,1,30,255
98.843220,0,0,29,255
98.863355,0,0,28,255
98.887340,0,0,25,255
98.907643,0,0,27,255
98.932222,0,0,28,255
98.952553,0,0,28,255
98.976591,0,0,29,255
98.996813,0,0,26,255
99.020308,0,0,25,255
99.040309,0,0,29,255
99.071908,0,0,24,255
99.092159,0,0,33,255
99.116095,0,0,28,255
99.136243,0,0,24,255
99.160846,0,0,31,255
99.181078,7,1,30,255
99.205038,17,1,32,255
99.225251,12,0,30,255
99.249263,12,2,27,255
99.269504,8,0,26,255
99.300061,2,1,31,255
99.320217,0,0,32,255
99.343548,3,0,32,255
99.363693,9,0,38,255
99.387608,11,0,33,255
99.407697,13,0,29,255
99.431770,14,0,34,255
99.451945,14,0,31,255
99.475812,17,0,31,255
99.495940,14,0,25,255
99.519982,16,4,33,255
99.539984,11,1,31,255
99.570878,15,-1,31,255
99.591089,13,-3,28,255
99.614503,10,0,32,255
99.634661,10,0,30,255
99.659223,14,0,33,255
99.679393,12,0,36,255
99.702725,13,-1,25,255
99.722943,14,1,28,255
99.747649,21,2,35,255
99.767825,16,1,41,255
99.798546,22,0,40,255
99.818811,11,0,45,255
99.842827,14,2,45,255
99.862975,8,1,43,255
99.887589,10,0,58,255
99.907923,7,0,60,255
99.932494,9,2,64,255
99.952631,9,1,50,255
99.976976,8,0,58,255
99.997123,10,0,58,255
100.021039,6,0,74,255
100.041521,9,-3,75,255
100.071808,11,0,67,32
100.091952,9,3,70,185
100.116524,17,4,71,46
100.136764,13,0,62,97
100.161386,14,3,51,234
100.181588,5,1,64,234
100.205517,8,1,68,204
100.225631,10,1,62,204
100.249056,10,-2,75,204
100.269217,4,-1,76,204
100.294758,12,4,67,204
100.315344,9,3,73,192
100.335346,6,1,75,192
100.355607,9,-1,79,196
100.375760,8,0,73,196
100.399092,17,3,67,196
100.419269,15,1,61,196
100.442648,19,-4,55,196
100.462907,10,-4,56,196
100.486868,13,1,61,196
100.507073,7,1,63,196
100.537137,9,2,58,196
100.557399,7,-3,61,196
100.580705,5,0,61,196
100.600819,2,0,55,196
100.624180,10,-2,47,196
100.644344,5,0,46,196
100.668311,7,0,52,196
100.688406,10,-1,50,196
100.712994,17,-4,34,196
100.733157,14,-2,32,196
100.756523,14,-1,45,196
100.776625,13,-1,41,196
100.807392,19,-4,33,196
100.827625,9,-2,35,176
100.851615,10,-1,14,181
100.871780,14,-5,32,60
100.895188,9,-2,34,13
100.915402,8,0,54,255
100.939971,13,-1,51,255
100.960124,8,-1,48,255
100.984082,13,0,33,255
101.004242,11,0,37,255
101.028201,8,0,46,255
101.048645,12,-2,46,255
101.079059,14,0,35,255
101.099269,12,1,31,255
101.122550,19,0,33,255
101.142644,11,1,32,255
101.167262,12,1,36,255
101.187414,17,2,34,255
101.211970,13,1,34,255
101.232136,12,0,28,255
101.256118,14,0,28,255
101.276345,10,-1,29,255
101.306340,17,0,39,255
101.326527,10,1,41,255
101.350654,10,2,40,255
101.370924,12,0,41,255
101.394869,14,0,35,255
101.414986,11,0,37,255
101.439627,15,-1,41,255
101.460128,9,-2,40,255
101.480194,6,-3,42,255
101.500375,5,-2,44,255
101.520375,10,0,41,255
101.546066,19,-1,36,255
101.566343,15,0,32,255
101.590306,20,0,35,255
101.610446,16,0,35,255
101.634455,17,0,33,255
101.654666,14,0,33,255
101.679243,17,-2,32,255
101.699399,11,-1,32,255
101.722770,12,0,29,255
101.742998,9,0,29,255
101.766958,7,-1,28,255
101.787065,7,-4,37,255
101.817068,11,-2,31,255
101.837265,7,-2,26,255
101.860593,8,-2,29,255
101.880692,9,-2,30,255
101.904666,15,-1,24,255
101.924793,12,0,24,255
101.948733,2,0,19,255
101.968887,0,0,22,255
101.992963,0,0,19,255
102.013182,0,0,20,255
102.036521,0,0,18,255
102.056521,0,0,20,255
102.088100,0,0,23,255
102.108334,0,0,20,255
102.131659,0,0,18,255
102.151828,0,0,18,255
102.175173,0,0,21,255
102.195331,0,0,19,255
102.218607,0,0,20,255
102.238668,0,0,21,255
102.262592,0,0,17,255
102.282744,0,0,20,255
102.313339,0,0,18,255
102.333473,0,0,21,255
102.357457,0,0,21,255
102.377665,0,0,20,255
102.402269,0,0,18,255
102.422406,0,0,18,255
102.445713,0,0,24,255
102.465846,0,0,22,255
102.489140,0,0,22,255
102.509296,0,0,25,255
102.532649,0,0,21,255
102.553122,0,0,25,255
102.583365,0,0,19,255
102.603541,0,0,20,255
102.626891,0,0,26,255
102.647089,0,0,30,255
102.671008,0,0,32,255
102.691174,0,0,30,255
102.716021,0,0,30,255
102.736259,0,0,34,255
102.759637,3,0,36,255
102.779765,4,0,37,255
102.810483,8,0,36,255
102.830749,2,-4,41,255
102.854084,-6,-1,48,255
102.874210,0,-1,56,255
102.898228,3,0,80,255
102.918488,4,1,78,255
102.942465,3,0,73,255
102.962579,7,1,73,0
102.986579,10,0,68,32
103.006746,11,0,73,185
103.030040,8,3,68,185
103.050486,7,4,56,46
103.080774,16,3,63,27
103.100947,0,2,61,27
103.124293,2,1,72,27
103.144413,28,1,75,234
103.169063,0,0,79,204
103.189245,16,3,70,204
103.213288,18,4,69,204
103.233491,14,0,73,192
103.258170,11,2,67,192
103.278381,6,4,61,192
103.308493,15,0,60,192
103.328856,5,0,62,192
103.351731,9,1,62,192
103.371916,3,0,58,192
103.395871,13,0,65,192
103.416028,7,0,61,192
103.439406,10,-4,54,192
103.459544,13,-2,45,192
103.484106,8,0,52,192
103.504181,13,-2,52,192
103.528294,15,0,51,192
103.548453,16,1,47,192
103.579048,17,6,30,192
103.599238,9,3,39,192
103.622606,10,1,34,192
103.642737,-12,0,37,192
103.666699,3,0,31,192
103.686784,3,-2,32,188
103.710735,0,0,24,17
103.730918,-3,0,24,146
103.755527,-3,2,35,255
103.775675,-8,1,38,255
103.799688,-4,1,34,255
103.819689,-4,2,31,255
103.851253,7,2,18,255
103.871446,1,0,11,255
103.894221,0,0,18,255
103.914404,0,0,16,255
103.938318,0,0,21,255
103.958494,0,0,23,255
103.983135,0,0,18,255
104.003296,0,0,18,255
104.027201,0,0,20,255
104.047379,0,0,16,255
104.078130,0,0,21,255
104.098415,0,0,26,255
104.123409,0,0,15,255
104.143644,0,0,16,255
104.166993,0,0,17,255
104.187230,0,0,21,255
104.211171,0,0,22,255
104.231294,0,0,25,255
104.254650,0,0,24,255
104.274810,0,0,26,255
104.298756,0,0,21,255
104.319205,0,0,14,255
104.348932,0,0,23,255
104.369129,0,0,25,255
104.393090,0,0,18,255
104.413193,0,0,18,255
104.437253,0,0,14,255
104.457487,0,0,18,255
104.480854,0,0,16,255
104.501028,0,0,18,255
104.523771,0,0,14,255
104.543958,0,0,16,255
104.573926,0,0,18,255
104.594043,0,0,16,255
104.618025,0,0,18,255
104.638177,0,0,20,255
104.662149,0,0,16,255
104.682251,0,0,15,255
104.706267,0,0,14,255
104.726468,0,0,13,255
104.750465,0,0,18,255
104.770622,0,0,15,255
104.794590,0,0,17,255
104.815105,0,0,17,255
104.845383,0,0,14,255
104.865506,0,0,15,255
104.888894,0,0,13,255
104.909097,0,0,13,255
104.933665,0,0,12,255
104.953771,0,0,14,255
104.977711,0,0,18,255
104.997903,0,0,17,255
105.021868,0,0,22,255
105.042060,0,0,18,255
105.072954,0,0,21,255
105.093220,0,0,16,255
105.117170,0,0,19,255
105.137262,0,0,23,255
105.161270,0,0,24,255
105.181465,0,0,22,255
105.205427,0,0,21,255
105.225606,0,0,22,255
105.249604,0,0,27,255
105.269911,0,0,27,255
105.293900,0,0,28,255
105.314418,0,0,23,255
105.344093,0,0,24,255
105.364313,0,0,22,255
105.387645,0,0,25,255
105.407743,0,0,24,255
105.431135,0,0,28,255
105.451262,0,0,26,255
105.474658,0,0,23,255
105.494932,0,0,18,255
105.519711,0,0,21,255
105.539852,0,0,28,255
105.569260,0,0,29,255
105.589450,0,0,34,255
105.609905,0,0,36,255
105.630446,4,3,34,255
