time,gyro x,gyro y,gyro z,accel x,accel y,accel z
16.059130,3.395767212,3.644027710,2.542655945,-0.218204230,-0.225084111,0.870854497
16.068926,5.531997681,-1.078567505,6.715934753,-0.214786261,-0.254258901,0.897343755
16.069551,5.417556763,-1.299819946,6.921928406,-0.203677863,-0.223253056,0.906621099
16.070176,5.165786743,-1.810989380,7.616203308,-0.200137824,-0.200670049,0.919072270
16.070801,5.036087036,-2.299270630,8.279960632,-0.222232550,-0.192491338,0.922734380
16.071426,4.860610962,-3.252944946,8.791130066,-0.260318488,-0.209214970,0.940434575
16.072052,5.211563110,-4.900894165,8.836906433,-0.278506964,-0.215440556,0.934208989
16.072679,5.661697388,-6.411514282,9.134452820,-0.296085089,-0.244615361,0.952641606
16.073306,7.515640259,-8.555374146,9.462516785,-0.299869269,-0.248033330,0.976567388
16.073931,9.247512817,-11.034927368,10.080497742,-0.290836066,-0.235582158,0.978520513
16.074556,9.659500122,-12.583694458,10.225456238,-0.249576300,-0.187486455,0.950322270
16.075183,8.957595825,-12.415847778,10.278862000,-0.231265754,-0.160753056,0.941166997
16.075809,8.293838501,-11.836013794,10.355155945,-0.216495246,-0.154649541,0.924443364
16.076436,8.042068481,-11.111221313,10.370414734,-0.207828254,-0.166978642,0.903447270
16.077061,7.157058716,-10.241470337,10.713737488,-0.185977668,-0.146104619,0.867192388
16.077686,5.676956177,-7.838211060,10.782402039,-0.181827277,-0.145250127,0.832646489
16.078313,5.463333130,-5.930862427,10.736625671,-0.215640754,-0.164659306,0.831547856
16.078940,5.890579224,-4.954299927,10.996025085,-0.238834113,-0.183580205,0.825444341
16.079567,6.905288696,-4.900894165,11.125724792,-0.277164191,-0.202134892,0.835576177
16.080193,8.484573364,-5.793533325,11.537712097,-0.310977668,-0.198350713,0.857426763
16.080818,10.025711060,-6.846389771,11.636894226,-0.338199347,-0.186021611,0.889042974
16.081443,11.467666626,-8.654556274,11.873405457,-0.350406379,-0.161119267,0.908940434
16.082068,11.482925415,-10.165176392,11.881034851,-0.324893683,-0.116807736,0.898320317
16.082695,10.491104126,-10.043106079,11.583488464,-0.295230597,-0.094224729,0.881596684
16.083321,9.491653442,-10.134658813,11.835258484,-0.296451300,-0.093858518,0.890874028
16.083946,9.606094360,-11.195144653,12.209098816,-0.314883918,-0.110215940,0.901616216
16.084571,10.529251099,-12.698135376,12.880485535,-0.330997199,-0.115342893,0.906254888
16.085197,10.384292603,-13.728103638,12.750785828,-0.315005988,-0.087266721,0.877202153
16.085822,8.980484009,-12.911758423,12.422721863,-0.297061652,-0.070176877,0.864873052
16.086449,8.026809692,-11.912307739,11.705558777,-0.288516730,-0.076036252,0.868291020
16.087075,7.927627563,-12.362442017,12.178581238,-0.295596808,-0.099107541,0.885869145
16.088859,11.574478149,-16.558609009,12.750785828,-0.349429816,-0.082261838,0.927373052
16.089484,10.468215942,-16.459426880,12.224357605,-0.309756964,-0.041612428,0.912724614
16.090109,9.316177368,-15.345535278,11.736076355,-0.272403449,-0.020738404,0.908085942
16.090735,7.431716919,-14.094314575,11.499565125,-0.222354621,0.001966675,0.882451177
16.091361,6.455154419,-12.713394165,11.842887878,-0.244693488,-0.022813600,0.900151372
16.091988,7.515640259,-13.224563599,12.529533386,-0.306705207,-0.059068482,0.945317388
16.092615,8.286209106,-14.742813110,12.582939148,-0.342960089,-0.071153440,0.945683599
16.093240,8.187026978,-15.147171021,12.109916687,-0.341617316,-0.058213990,0.941899419
16.093866,7.508010864,-15.208206177,11.446159363,-0.330386847,-0.050035279,0.954350591
16.094493,7.836074829,-15.940628052,11.194389343,-0.312076300,-0.042955201,0.975468755
16.095119,8.255691528,-17.275772095,11.453788757,-0.293399543,-0.042222779,0.986455083
16.095744,9.163589478,-18.176040649,11.606376648,-0.305240363,-0.034288209,0.988041997
16.096369,8.545608521,-19.144973755,11.873405457,-0.311343879,-0.014756958,0.987187505
16.097000,7.607192993,-18.671951294,11.263053894,-0.305728644,-0.011338989,0.991826177
16.097627,6.928176880,-18.908462524,10.820549011,-0.301578254,-0.023423951,1.004521489
16.098253,7.034988403,-19.511184692,10.820549011,-0.293155402,-0.039415162,1.024663091
16.098879,8.492202759,-21.174392700,11.194389343,-0.310001105,-0.064805783,1.056767583
16.113339,1.709671021,-17.092666626,5.556266785,-0.258487433,-0.040391725,0.974370122
16.114106,0.702590942,-16.756973267,5.632560730,-0.229556769,-0.055528443,0.949956059
16.114731,-0.067977905,-15.864334106,5.418937683,-0.229922980,-0.064317502,0.927861333
16.115357,-0.174789429,-15.383682251,5.502861023,-0.263980597,-0.089219846,0.947758794
16.115982,0.694961548,-16.184768677,5.357902527,-0.273013800,-0.120225705,0.964482427
16.116608,1.518936157,-16.764602661,5.312126160,-0.274600714,-0.116075315,0.978520513
16.117233,2.220840454,-17.619094849,5.159538269,-0.284244269,-0.116807736,1.000981450
16.117859,2.892227173,-18.435440063,4.961174011,-0.256534308,-0.087022580,1.006230474
16.118486,0.923843384,-17.397842407,4.343193054,-0.189029425,-0.059068482,0.952397466
16.119112,0.069351196,-15.208206177,4.083793640,-0.217960089,-0.095567502,0.982182622
16.119738,0.740737915,-15.971145630,4.655998230,-0.235660285,-0.116197385,1.015996099
16.120364,2.136917114,-16.917190552,5.220573425,-0.249820441,-0.139512822,1.019658208
16.120990,2.419204712,-17.092666626,4.648368835,-0.251285285,-0.149034306,0.996220708
16.121615,2.625198364,-16.871414185,4.182975769,-0.257388800,-0.140489385,1.003666997
16.122242,4.303665161,-17.336807251,3.961723328,-0.259341925,-0.187608525,1.032841802
16.122867,8.072586060,-20.205459595,4.694145203,-0.326236457,-0.247667119,1.112309575
16.123493,12.383193970,-24.569473267,5.602043152,-0.309268683,-0.195909306,1.114506841
16.124120,12.238235474,-25.385818481,4.869621277,-0.254459113,-0.111314572,1.096684575
16.124746,10.552139282,-23.982009888,3.740470886,-0.206729621,-0.027452271,1.104252934
16.125371,8.576126099,-22.921524048,3.786247253,-0.139468879,-0.027452271,1.119023442
16.126001,6.325454712,-20.831069946,4.366081238,-0.064639769,0.000623901,1.068608403
16.126628,2.945632935,-16.940078735,4.839103699,-0.125308722,-0.051255982,1.062260747
16.127253,3.304214478,-16.077957153,4.930656433,-0.211246222,-0.091905393,1.089848638
16.127879,2.938003540,-16.047439575,4.778068542,-0.230655402,-0.135972783,1.063481450
16.128505,3.472061157,-15.421829224,4.594963074,-0.260440558,-0.148912236,1.046757817
16.129132,3.960342407,-15.643081665,3.748100281,-0.234317511,-0.138170049,1.037480474
