time,gyro x,gyro y,gyro z,accel x,accel y,accel z
32.000179,-4.889755249,1.446762085,-15.935737610,-0.082462035,-0.181993291,0.966923833
32.000806,-5.019454956,1.614608765,-16.073066711,-0.083560668,-0.188463017,0.972050786
32.001431,-5.156784058,1.492538452,-15.691596985,-0.083804809,-0.188829228,0.969243169
32.002057,-5.057601929,1.507797241,-15.439826965,-0.081363402,-0.187974736,0.970463872
32.002682,-5.271224976,1.759567261,-15.142280579,-0.078677855,-0.189805791,0.967534184
32.003307,-5.103378296,1.599349976,-15.142280579,-0.080386840,-0.188218877,0.967290044
32.003932,-5.027084351,1.484909058,-14.753181458,-0.077579223,-0.189927861,0.970585942
32.004559,-4.828720093,1.629867554,-14.486152649,-0.077701293,-0.189561650,0.965825200
32.005185,-4.752426147,1.759567261,-14.585334778,-0.076602660,-0.193834111,0.968876958
32.005811,-4.836349487,1.507797241,-14.211494446,-0.079166137,-0.194322392,0.966679692
32.006436,-4.584579468,1.729049683,-13.814765930,-0.076968871,-0.189317510,0.969121099
32.007062,-4.431991577,1.370468140,-13.830024719,-0.074771605,-0.192125127,0.966923833
32.007687,-4.187850952,1.622238159,-13.585884094,-0.073428832,-0.189683720,0.966069341
32.008312,-4.172592163,1.851119995,-13.654548645,-0.075137816,-0.189195439,0.966557622
32.008937,-3.890304565,1.462020874,-13.349372864,-0.073795043,-0.189073369,0.967167974
32.009562,-3.485946655,1.576461792,-13.364631653,-0.079532348,-0.187242314,0.969365239
32.010187,-3.409652710,1.713790894,-12.868721008,-0.076602660,-0.183213994,0.968510747
32.010814,-3.249435425,1.637496948,-12.830574036,-0.074405394,-0.181871220,0.966435552
32.024827,-1.227645874,2.705612183,-9.908515930,-0.066592894,-0.133409306,0.973515630
32.025558,-1.113204956,2.942123413,-10.007698059,-0.066714965,-0.133165166,0.972416997
32.026183,-1.090316772,2.911605835,-9.992439270,-0.068301879,-0.136827275,0.967900395
32.026808,-0.998764038,2.873458862,-9.855110168,-0.067813598,-0.130479619,0.969853520
32.027433,-0.869064331,2.926864624,-10.053474426,-0.068179809,-0.129869267,0.964482427
32.028059,-0.960617065,2.797164917,-9.733039856,-0.069278441,-0.128282353,0.965458989
32.028684,-0.724105835,2.820053101,-9.572822571,-0.071353637,-0.128038213,0.965458989
32.029309,-0.510482788,2.865829468,-9.794075012,-0.073672973,-0.129503056,0.960576177
32.029934,-0.197677612,2.774276733,-9.679634094,-0.072696410,-0.129747197,0.958989263
32.030560,-0.098495483,2.743759155,-9.740669250,-0.076114379,-0.127183720,0.956425786
32.031186,0.107498169,2.575912476,-9.687263489,-0.074771605,-0.129258916,0.953129888
32.031811,0.084609985,2.347030640,-9.656745911,-0.075137816,-0.129380986,0.956547856
32.032436,0.458450317,2.408065796,-9.443122864,-0.076724730,-0.132188603,0.951420903
32.033063,0.534744263,2.102890015,-9.656745911,-0.075870238,-0.128648564,0.951298833
32.033689,0.855178833,1.980819702,-9.542304993,-0.078677855,-0.129869267,0.951420903
32.034315,1.183242798,2.118148804,-9.565193176,-0.077945434,-0.128648564,0.955083013
32.034941,1.419754028,1.858749390,-9.435493469,-0.081119262,-0.128038213,0.953740239
32.035568,1.557083130,1.721420288,-9.916145325,-0.083560668,-0.131334111,0.949345708
32.036193,1.938552856,1.675643921,-9.527046204,-0.085513793,-0.131700322,0.951176763
32.036819,2.152175903,1.507797241,-9.641487122,-0.085635863,-0.129991338,0.951420903
32.037445,2.480239868,1.492538452,-9.801704407,-0.087588988,-0.130113408,0.952275395
32.038071,2.655715942,1.332321167,-9.717781067,-0.084903441,-0.128892705,0.953251958
32.038697,2.823562622,1.164474487,-9.557563782,-0.087711059,-0.130723760,0.952885747
32.039324,3.281326294,1.156845093,-9.496528625,-0.088443480,-0.126939580,0.952153325
32.039949,3.617019653,0.882186890,-9.603340149,-0.090640746,-0.126817510,0.953496099
32.040575,3.975601196,0.905075073,-9.725410461,-0.091129027,-0.130113408,0.955205083
32.041202,4.044265747,0.630416870,-9.755928040,-0.092593871,-0.127794072,0.955693364
32.041829,4.494400024,0.538864136,-9.733039856,-0.091006957,-0.133287236,0.954106450
32.042454,4.631729126,0.645675659,-9.672004700,-0.093692504,-0.129869267,0.955937505
32.043080,4.852981567,0.294723511,-9.580451965,-0.094424926,-0.128282353,0.955449224
32.044867,5.562515259,0.042953491,-9.588081360,-0.099796019,-0.130723760,0.957158208
32.045493,5.585403442,0.195541382,-9.794075012,-0.104312621,-0.129014775,0.956914067
32.046119,5.722732544,0.157394409,-9.763557434,-0.104312621,-0.131212041,0.953618169
32.046746,5.989761353,-0.346145630,-9.603340149,-0.106754027,-0.128648564,0.957768559
32.047372,5.821914673,-0.086746216,-9.786445618,-0.105777465,-0.130235478,0.958378911
32.048002,6.088943481,-0.063858032,-9.664375305,-0.110782348,-0.132554814,0.954838872
32.048627,6.142349243,-0.521621704,-9.572822571,-0.110049926,-0.131822392,0.955571294
32.049252,6.157608032,-0.231704712,-9.534675598,-0.110538207,-0.132066533,0.954350591
32.049879,6.447525024,-0.315628052,-9.519416809,-0.113345824,-0.130723760,0.953251958
32.050506,6.256790161,-0.613174438,-9.511787415,-0.109561644,-0.133409306,0.956791997
32.051132,6.485671997,-0.575027466,-9.481269836,-0.111880980,-0.128526494,0.952519536
32.051758,6.401748657,-0.819168091,-9.527046204,-0.113345824,-0.131700322,0.954960942
32.052385,6.470413208,-0.918350220,-9.275276184,-0.115298949,-0.131700322,0.955693364
32.053010,6.447525024,-0.849685669,-9.458381653,-0.116641723,-0.130357549,0.953129888
32.053635,6.378860474,-0.712356567,-9.366828918,-0.115909301,-0.130967900,0.953862309
32.054262,6.203384399,-0.925979614,-9.298164368,-0.117252074,-0.131212041,0.955205083
32.054887,6.188125610,-1.147232056,-9.321052551,-0.117862426,-0.129014775,0.955693364
32.068952,0.466079712,-2.810440063,-7.558662415,-0.131534308,-0.128160283,0.948979497
32.069697,-0.228195190,-3.085098267,-7.459480286,-0.136295050,-0.130357549,0.946049809
32.070323,-0.754623413,-3.352127075,-7.375556946,-0.136172980,-0.128892705,0.944707036
32.070948,-0.937728882,-3.375015259,-7.131416321,-0.140201300,-0.131456181,0.942631841
32.071574,-1.014022827,-3.809890747,-7.139045715,-0.140689582,-0.132432744,0.942631841
32.072199,-1.342086792,-4.008255005,-6.772834778,-0.141177863,-0.130601689,0.944340825
32.072824,-1.708297729,-4.046401978,-6.833869934,-0.142154425,-0.128892705,0.943974614
32.073451,-1.967697144,-4.366836548,-6.734687805,-0.142520636,-0.129136845,0.943730474
32.074078,-2.127914429,-4.458389282,-6.734687805,-0.145328254,-0.130601689,0.941655278
32.074704,-2.242355347,-4.763565063,-6.353218079,-0.145816535,-0.134019658,0.940190434
32.075329,-2.394943237,-5.274734497,-6.757575989,-0.145450324,-0.130967900,0.942875981
32.075955,-2.784042358,-5.297622681,-6.376106262,-0.144351691,-0.129625127,0.943364263
32.076582,-2.669601440,-5.564651489,-6.505805969,-0.145938605,-0.132676885,0.942143559
32.077209,-2.707748413,-5.671463013,-6.337959290,-0.142886847,-0.130601689,0.945683599
32.077835,-2.883224487,-5.831680298,-6.200630188,-0.141788214,-0.127794072,0.948002934
32.078461,-2.913742065,-6.258926392,-6.162483215,-0.143741339,-0.128038213,0.947636724
32.079088,-3.142623901,-6.350479126,-6.170112610,-0.146060675,-0.129991338,0.947514653
32.079713,-3.119735718,-6.518325806,-6.193000793,-0.140445441,-0.128526494,0.953496099
32.080338,-3.196029663,-6.625137329,-5.895454407,-0.138980597,-0.133043095,0.956669927
32.080963,-3.157882690,-6.808242798,-5.834419250,-0.143497199,-0.131822392,0.957890630
32.081590,-3.218917847,-6.869277954,-5.727607727,-0.141177863,-0.128160283,0.962895513
32.082217,-3.112106323,-7.258377075,-5.681831360,-0.142154425,-0.128526494,0.962041020
32.082844,-3.356246948,-7.342300415,-5.597908020,-0.141544074,-0.127183720,0.966557622
32.083470,-3.279953003,-7.334671021,-5.674201965,-0.141788214,-0.129503056,0.969365239
32.084096,-3.127365112,-7.555923462,-5.475837708,-0.138980597,-0.129380986,0.973149419
32.084721,-3.218917847,-7.700881958,-5.582649231,-0.141177863,-0.129258916,0.974370122
32.085346,-2.890853882,-7.830581665,-5.475837708,-0.141910285,-0.128526494,0.977666020
32.085971,-2.982406616,-8.021316528,-5.109626770,-0.140567511,-0.129747197,0.977543950
32.086597,-3.066329956,-7.929763794,-5.285102844,-0.135562629,-0.129503056,0.980717778
32.087224,-2.959518433,-7.998428345,-5.124885559,-0.142764777,-0.129258916,0.987309575
32.088984,-2.684860229,-8.303604126,-4.941780090,-0.138736457,-0.131578252,0.990605474
32.089609,-2.608566284,-8.204421997,-5.025703430,-0.139835089,-0.130113408,0.991826177
32.090235,-2.509384155,-8.303604126,-4.690010071,-0.141788214,-0.131700322,0.991215825
32.090861,-2.333908081,-8.318862915,-4.766304016,-0.140811652,-0.130357549,0.996586919
32.091486,-2.143173218,-8.486709595,-4.667121887,-0.141055793,-0.126207158,0.996586919
32.092111,-1.982955933,-8.433303833,-4.552680969,-0.138370246,-0.129869267,0.996342778
32.092738,-1.982955933,-8.425674438,-4.697639465,-0.138370246,-0.125230595,1.001591802
32.093365,-1.883773804,-8.402786255,-4.430610657,-0.142764777,-0.124620236,1.000371099
32.093990,-1.563339233,-8.280715942,-4.339057922,-0.140079230,-0.127794072,1.004887700
32.094616,-1.723556519,-8.479080200,-4.300910950,-0.139590949,-0.126695439,1.001469731
32.095242,-1.395492554,-8.646926880,-4.270393372,-0.139835089,-0.123155393,1.004277349
32.095867,-1.296310425,-8.456192017,-4.232246399,-0.137881964,-0.122911252,1.005009770
32.096493,-0.983505249,-8.593521118,-3.949958801,-0.134463996,-0.119127072,1.007451177
32.097118,-1.006393433,-8.524856567,-3.995735168,-0.132266730,-0.116319455,1.010380864
32.097744,-0.792770386,-8.570632935,-3.728706360,-0.135684699,-0.114976682,1.008427739
32.098370,-0.853805542,-8.547744751,-3.805000305,-0.131412238,-0.111436643,1.013066411
32.099002,-0.823287964,-8.456192017,-3.629524231,-0.132510871,-0.112657346,1.011479497
32.099627,-0.785140991,-8.410415649,-3.499824524,-0.127994269,-0.108140744,1.015263677
32.113657,-3.752975464,-6.663284302,-2.431709290,-0.082339965,-0.065416135,1.054082036
32.114414,-3.981857300,-6.670913696,-2.614814758,-0.079898559,-0.064195432,1.057011724
32.115039,-4.134445190,-6.106338501,-2.637702942,-0.080630980,-0.065660276,1.059086919
32.115664,-4.294662476,-6.007156372,-2.324897766,-0.079532348,-0.064073361,1.060307622
32.116289,-4.309921265,-5.953750610,-2.454597473,-0.078921996,-0.067735471,1.060185552
32.116915,-4.241256714,-5.785903931,-2.569038391,-0.078799926,-0.067247190,1.061284184
32.117542,-4.187850952,-5.549392700,-2.332527161,-0.077457152,-0.065294065,1.059819341
32.118168,-4.287033081,-5.610427856,-2.408821106,-0.078189574,-0.068467893,1.063725591
32.118795,-4.187850952,-5.129776001,-2.210456848,-0.075137816,-0.068223752,1.066533208
32.119421,-4.149703979,-4.931411743,-2.439338684,-0.070255004,-0.067491330,1.069707036
32.120047,-4.164962769,-4.763565063,-2.424079895,-0.072452269,-0.065171994,1.072270513
32.120674,-3.928451538,-4.626235962,-2.485115051,-0.072452269,-0.065904416,1.069584966
32.121301,-3.669052124,-4.565200806,-2.256233215,-0.067203246,-0.067735471,1.074833989
32.121926,-3.402023315,-4.366836548,-2.363044739,-0.067447387,-0.067369260,1.079106450
32.122552,-3.218917847,-4.076919556,-2.446968079,-0.063419066,-0.066880979,1.076298833
32.123179,-2.921371460,-3.771743774,-2.271492004,-0.064517699,-0.067857541,1.078984380
32.123805,-2.463607788,-3.802261353,-2.416450500,-0.065860473,-0.070298947,1.078496099
32.124432,-2.356796265,-3.558120728,-2.393562317,-0.061343871,-0.069566526,1.080449224
32.125057,-1.929550171,-3.275833130,-2.248603821,-0.058658324,-0.072252072,1.084965825
32.125683,-1.563339233,-3.024063110,-2.401191711,-0.056094848,-0.071031369,1.086308599
32.126309,-1.113204956,-2.703628540,-2.485115051,-0.053287230,-0.072374143,1.088261724
32.126935,-0.701217651,-2.757034302,-2.599555969,-0.051578246,-0.069688596,1.090825200
32.127560,-0.083236694,-2.284011841,-2.485115051,-0.050845824,-0.067125119,1.088627934
32.128185,0.374526978,-2.215347290,-2.736885071,-0.053653441,-0.068345822,1.089970708
32.128812,0.870437622,-1.597366333,-2.683479309,-0.054507934,-0.068223752,1.093999028
32.129437,1.175613403,-1.551589966,-2.805549622,-0.058292113,-0.072007932,1.095952153
32.130063,1.908035278,-1.154861450,-2.843696594,-0.058047973,-0.078111447,1.095219731
32.130689,2.403945923,-0.918350220,-2.897102356,-0.057925902,-0.077501096,1.094487309
32.131314,2.968521118,-0.903091431,-2.912361145,-0.055118285,-0.080430783,1.097783208
32.131940,3.555984497,-0.834426880,-2.866584778,-0.056094848,-0.082750119,1.094975591
32.133751,5.318374634,0.065841675,-3.270942688,-0.053531371,-0.077134885,1.092045903
32.134377,6.226272583,0.309982300,-3.187019348,-0.052310668,-0.078843869,1.092167974
32.135002,6.615371704,0.264205933,-3.232795715,-0.054141723,-0.076036252,1.089116216
32.135628,7.187576294,0.699081421,-3.217536926,-0.051334105,-0.076036252,1.090092778
