time,deltaX,deltaY,squal,shutter
32.023562,0,0,114,255
32.043623,0,-1,115,255
32.067668,1,0,111,255
32.087745,0,0,116,255
32.112388,-1,-2,119,255
32.132507,-1,-2,120,255
32.156701,0,-1,117,255
32.176873,0,0,117,255
32.200946,3,-5,116,255
32.221454,2,-3,116,255
32.252478,2,-3,114,255
32.272651,1,-3,129,255
32.296665,1,-6,123,255
32.316771,0,0,120,255
32.340794,-2,1,115,255
32.360972,-1,0,122,255
32.385603,-1,-1,120,255
32.405717,-1,0,121,255
32.430408,-2,3,119,255
32.450584,0,-1,125,255
32.481825,0,0,118,255
32.501953,0,2,115,255
32.526612,0,1,120,255
32.546719,-1,0,118,255
32.571369,-3,1,116,255
32.591507,-3,2,119,255
32.615611,-4,1,118,255
32.635813,-1,0,121,255
32.660437,-1,2,120,255
32.680596,0,0,113,255
32.711361,0,-1,114,255
32.731571,0,0,116,255
32.756812,1,0,115,255
32.776880,1,0,111,255
32.803548,1,-1,117,255
32.833639,1,2,113,255
32.853806,1,1,113,255
32.878846,1,0,120,255
32.899010,0,0,112,255
32.924278,2,0,112,255
32.944380,1,0,117,255
32.976324,1,0,119,255
32.996373,0,0,117,255
33.021064,1,0,122,255
33.041192,1,0,113,255
33.065818,1,0,123,255
33.085862,0,1,118,255
33.111326,2,0,115,255
33.131405,1,0,114,255
33.156043,0,0,110,255
33.176118,0,0,118,255
33.200176,0,0,113,255
33.220664,0,-2,119,255
33.251046,-1,0,115,255
33.271223,0,1,122,255
33.295307,-1,-1,120,255
33.315469,0,-1,118,255
33.339519,-1,0,117,255
33.359640,-1,1,120,255
33.383814,0,1,118,255
33.403982,-1,0,120,255
33.428622,0,3,120,255
33.448737,1,2,114,255
33.480074,4,0,118,255
33.500262,3,2,114,255
33.525546,3,3,113,255
33.545702,2,0,114,255
33.571445,3,1,114,255
33.591686,3,2,114,255
33.616645,2,0,119,255
33.636788,1,0,114,255
33.662137,3,2,117,255
33.682374,3,2,110,255
33.713672,3,0,114,255
33.733773,1,0,114,255
33.757839,4,2,111,255
33.778007,4,0,114,255
33.802625,6,0,116,255
33.822694,3,0,108,255
33.847367,5,2,112,255
33.867483,3,1,108,255
33.892100,3,1,112,255
33.912183,1,2,116,255
33.936828,2,1,116,255
33.956949,0,0,120,255
33.986955,-3,1,108,255
34.007158,-1,0,115,255
34.030588,1,-2,119,255
34.050714,3,0,116,255
34.075370,6,1,113,255
34.095561,6,0,116,255
34.119632,11,-2,114,255
34.139764,7,1,119,255
34.164412,6,3,109,255
34.184510,6,0,108,255
34.208566,8,-1,118,255
34.229064,5,1,109,255
34.259388,8,3,115,255
34.279423,6,0,118,255
34.304701,10,0,115,255
34.324856,7,2,120,255
34.349542,8,0,113,255
