time,gyro x,gyro y,gyro z,accel x,accel y,accel z
15.000521,17.162773132,15.128189087,1.720092773,-0.178363532,-0.095043823,1.046896577
15.001148,16.941520691,15.509658813,2.032897949,-0.178241462,-0.096142456,1.041769624
15.001773,16.697380066,16.074234009,2.208374023,-0.179462165,-0.095043823,1.039328218
15.002399,16.506645203,16.135269165,2.559326172,-0.180560797,-0.094555542,1.031393647
15.003026,15.949699402,16.364151001,2.658508301,-0.179706305,-0.094921753,1.025534272
15.003652,15.644523621,16.760879517,2.795837402,-0.178241462,-0.093578979,1.020895600
15.004279,15.255424500,17.142349243,3.116271973,-0.181049079,-0.093212768,1.015036225
15.004905,14.759513855,17.424636841,3.337524414,-0.183368415,-0.091259643,1.005758882
15.005713,13.790580750,17.691665649,3.497741699,-0.184833258,-0.089794800,0.993673921
15.006338,13.348075867,18.004470825,4.001281738,-0.185199469,-0.091503784,0.987692475
15.006963,12.615653992,18.179946899,4.077575684,-0.188861579,-0.090405151,0.980734468
15.007588,12.211296082,18.302017212,4.314086914,-0.190814704,-0.090038940,0.977072358
15.009395,10.204765320,18.347793579,4.878662109,-0.196552008,-0.084667847,0.957785249
15.010021,9.541007996,18.607192993,5.344055176,-0.199115485,-0.082470581,0.954123139
15.010647,8.923027039,18.576675415,5.603454590,-0.200092047,-0.082592651,0.948019624
15.011272,8.129570007,18.874221802,6.038330078,-0.201190680,-0.085156128,0.944235444
15.011898,7.542106628,18.706375122,6.076477051,-0.203510016,-0.084179565,0.936056733
15.012525,6.779167175,18.569046021,6.320617676,-0.208026618,-0.084789917,0.933249116
15.013151,5.863639832,18.904739380,6.580017090,-0.206317633,-0.085034057,0.932272553
15.013778,5.123588562,18.508010864,6.740234375,-0.204974860,-0.085888550,0.925802827
15.014405,4.749748230,18.691116333,7.114074707,-0.208392829,-0.082592651,0.920920014
15.015030,3.643486023,18.607192993,7.342956543,-0.209735602,-0.081127807,0.919699311
15.015657,2.773735046,18.607192993,7.518432617,-0.214618415,-0.084667847,0.916159272
15.016283,2.026054382,18.561416626,7.854125977,-0.214008063,-0.081494018,0.912741303
15.016909,0.965568542,18.530899048,7.915161133,-0.217059821,-0.083691284,0.908835053
15.017535,0.004264832,18.225723267,8.243225098,-0.219012946,-0.081005737,0.904562593
15.018324,-0.712898254,18.187576294,8.334777832,-0.217059821,-0.078930542,0.901999116
15.019144,-1.307991028,18.057876587,8.838317871,-0.214618415,-0.082348511,0.895895600
15.019974,-3.123786926,18.233352661,9.296081543,-0.215106696,-0.083203003,0.886007905
15.020790,-3.924873352,17.996841431,9.570739746,-0.215594977,-0.083325073,0.881369233
15.034907,-13.888862610,10.497146606,14.781616211,-0.234882087,-0.111279175,0.777853608
15.035681,-13.400581360,9.917312622,14.888427734,-0.230975837,-0.113842651,0.777487397
15.036308,-13.125923157,9.482437134,15.094421387,-0.228290290,-0.117870972,0.774923921
15.036934,-12.820747375,8.711868286,15.430114746,-0.228290290,-0.117016479,0.774069428
15.037561,-12.080696106,8.620315552,15.704772949,-0.224506110,-0.119091675,0.775290132
15.038186,-11.516120911,7.697158813,15.819213867,-0.224750251,-0.121288940,0.776632905
15.038812,-11.004951477,7.147842407,15.864990234,-0.225360602,-0.126293823,0.774069428
15.039508,-10.432746887,6.590896606,15.880249023,-0.222552985,-0.125439331,0.777487397
15.040133,-9.753730774,6.125503540,16.139648438,-0.224261969,-0.124951050,0.774679780
15.040760,-8.899238586,5.507522583,16.063354492,-0.223407477,-0.129833862,0.778952241
15.041387,-8.327033997,5.072647095,16.276977539,-0.223285407,-0.132519409,0.778586030
15.042012,-7.548835754,4.698806763,16.376159668,-0.224506110,-0.133373901,0.777121186
15.042637,-6.450202942,3.867202759,16.566894531,-0.224384040,-0.136303589,0.780539155
15.043263,-5.763557434,3.325515747,16.818664551,-0.225482672,-0.138500854,0.777731538
15.043888,-4.588630676,2.928787231,17.169616699,-0.222919196,-0.142040893,0.775778413
15.044513,-3.573921204,2.234512329,17.085693359,-0.222552985,-0.144848511,0.782492280
15.045138,-2.902534485,1.654678345,17.200134277,-0.218402594,-0.145336792,0.783346772
15.045763,-1.361396790,1.189285278,17.238281250,-0.219623297,-0.149487182,0.783835053
15.046389,-0.110176086,0.693374634,17.444274902,-0.218402594,-0.149731323,0.783346772
15.047016,0.904533386,0.174575806,17.650268555,-0.215106696,-0.149853393,0.783102632
15.047641,2.010795593,-0.336593628,17.657897949,-0.215106696,-0.154003784,0.784201264
15.048266,3.536674500,-0.565475464,17.863891602,-0.217059821,-0.154247925,0.781271577
