time,deltaX,deltaY,squal,shutter
7.266513,-4,2,99,255
7.286513,0,0,102,255
7.314078,0,0,102,255
7.334364,0,0,99,255
7.362206,0,0,99,255
7.382369,0,0,102,255
7.407978,0,0,101,255
7.428058,0,0,101,255
7.453323,0,0,104,255
7.473343,0,0,96,255
7.499726,0,0,100,255
7.520182,0,0,101,255
7.552480,0,0,103,255
7.572712,-1,0,101,255
7.597930,-1,0,100,255
7.617962,0,0,104,255
7.643810,0,0,105,255
7.663937,0,0,105,255
7.689744,0,0,100,255
7.709887,1,0,103,255
7.734543,0,0,101,255
7.754646,0,0,98,255
7.786475,0,0,103,255
7.806583,0,0,100,255
7.831150,0,0,99,255
7.851304,0,0,100,255
7.877122,0,0,103,255
7.897180,1,0,101,255
7.922418,0,0,101,255
7.942544,0,0,100,255
7.968033,0,0,100,255
7.988129,0,0,102,255
8.020617,0,0,99,255
8.040710,0,0,98,255
8.065899,0,0,97,255
8.085900,0,0,101,255
8.111125,0,0,101,255
8.131237,0,0,95,255
8.157362,0,0,103,255
8.177384,0,0,100,255
8.203240,0,0,99,255
8.223311,0,0,96,255
8.249574,0,0,100,255
8.270612,0,0,96,255
8.290803,0,0,98,255
8.310923,0,0,100,255
8.330923,0,0,100,255
8.351826,0,0,100,255
8.371836,0,0,96,255
8.397151,0,0,97,255
8.417195,0,0,97,255
8.442997,0,0,99,255
8.463028,0,0,100,255
8.488845,0,0,98,255
8.508924,0,0,99,255
8.540719,0,0,95,255
8.560856,0,0,96,255
8.586712,0,0,98,255
8.606844,0,0,100,255
8.632631,0,0,96,255
8.652682,0,0,100,255
8.677915,0,0,97,255
8.698032,0,0,99,255
8.723815,0,0,98,255
8.743959,0,1,104,255
8.775251,-1,2,103,255
8.795518,-1,0,103,255
8.821036,-1,0,107,255
8.841153,0,0,104,255
8.865866,0,1,101,255
8.886052,-1,0,103,255
8.911263,0,0,104,255
8.931357,0,0,106,255
8.958443,0,0,105,255
8.978594,0,0,108,255
9.004875,0,0,108,255
9.025290,0,0,105,255
9.056219,0,0,110,255
9.076415,0,0,105,255
9.101575,-1,0,106,255
9.121682,-5,0,103,255
9.146263,-4,0,103,255
9.166746,-1,-2,103,255
9.192189,-1,-6,107,255
9.212314,2,-5,100,255
9.239371,2,-7,103,255
9.259675,2,3,104,255
9.291625,3,17,114,255
9.312460,4,2,109,255
9.341493,12,2,108,255
9.361754,6,7,106,255
9.386367,17,0,112,255
9.406517,16,-3,106,255
9.431204,13,0,110,255
9.451469,15,2,111,255
9.476066,13,-1,108,255
9.496181,14,-3,111,255
9.527490,17,2,112,255
9.547650,9,4,102,255
9.572277,14,0,109,255
9.592398,10,0,101,255
9.617050,9,3,101,255
9.637208,6,4,105,255
9.661802,8,0,98,255
9.681857,8,-2,101,255
9.706515,8,3,100,255
9.726778,6,8,99,255
9.750779,7,2,103,255
9.777583,8,-6,97,255
9.802302,4,1,105,255
9.822483,3,0,99,255
9.847023,6,-5,98,255
9.867110,6,-3,97,255
9.892360,3,4,98,255
9.912498,3,1,100,255
9.937707,3,2,97,255
9.957945,3,3,99,255
9.983788,1,-4,98,255
10.003925,0,-2,94,255
10.035304,1,6,94,255
10.055449,2,1,96,255
10.080099,2,3,97,255
10.100379,1,15,95,255
10.124931,4,8,96,255
10.145126,4,0,96,255
10.169128,4,3,93,255
10.189381,0,13,100,255
10.214597,1,9,94,255
10.234915,4,-2,96,255
10.259978,0,2,95,255
10.285586,-7,18,105,255
10.310865,-2,5,101,255
10.331492,1,2,106,255
10.356701,-3,17,98,255
10.376875,-12,25,101,255
10.400233,-9,2,107,255
10.420475,-1,-4,102,255
10.444020,-7,5,99,255
10.464200,-2,13,96,255
10.488790,4,3,100,255
10.508877,13,7,100,255
10.539592,20,26,99,255
10.559717,7,18,98,255
10.583674,9,0,96,255
10.603676,6,-5,106,255
10.629609,0,5,96,255
10.649713,-1,4,101,255
10.674288,2,-12,98,255
10.694347,2,-12,103,255
10.718370,-4,1,100,255
10.738576,-2,2,103,255
10.763161,4,1,98,255
10.789918,8,14,102,255
10.815277,6,11,101,255
10.835304,3,-1,99,255
10.860676,-5,2,97,255
10.880756,-13,2,98,255
10.904737,-14,-12,99,255
10.924892,-9,-20,101,255
10.948871,-15,-18,95,255
10.968913,-10,-11,105,255
10.994289,-4,-21,99,255
11.014467,-2,-13,96,255
11.044432,-4,-10,101,255
11.064651,-3,-14,101,255
11.088689,-7,-16,100,255
11.108882,-8,-1,99,255
11.132288,-6,-7,102,255
11.152490,4,-6,98,255
11.176529,8,3,100,255
11.196852,13,11,102,255
11.222067,28,6,100,255
11.242180,18,10,108,255
11.266267,12,10,109,255
11.286380,1,-1,102,255
11.316327,-7,-7,101,255
11.336588,-20,-10,100,255
11.364739,-24,-15,95,255
11.384908,-21,-10,102,255
11.408836,-17,-8,97,255
11.428976,-12,-9,95,255
11.452926,-8,-10,103,255
11.473174,0,-1,96,255
11.497174,9,3,93,255
11.517378,8,2,95,255
11.548136,16,-3,99,255
11.568604,6,3,98,255
11.593282,9,-1,100,255
11.613486,8,0,97,255
11.633778,6,2,99,255
11.653803,3,6,96,255
11.674008,7,8,97,255
11.697989,8,8,99,255
11.718165,8,8,94,255
11.742847,10,14,101,255
11.763022,9,13,104,255
11.787006,9,19,100,255
11.807417,6,14,99,255
11.839461,9,22,97,255
11.859636,4,16,95,255
11.884858,0,14,98,255
11.904913,0,12,97,255
11.929518,0,13,95,255
11.949704,0,13,95,255
11.974690,0,14,95,255
11.994829,4,11,97,255
12.018204,9,19,91,255
12.038369,6,16,86,255
12.069602,6,21,97,255
12.089723,5,13,97,255
12.113710,6,17,99,255
12.133908,0,14,103,255
12.157819,0,17,100,255
12.177926,0,7,102,255
12.201907,0,5,99,255
12.222041,-1,10,93,255
12.245979,-2,17,88,255
12.266070,0,12,89,255
12.307414,-6,28,82,255
12.328066,-7,14,86,255
12.352175,-7,9,88,255
12.372417,-5,10,85,255
12.402343,-13,27,91,255
12.422564,-6,8,92,255
12.445895,-4,12,95,255
12.466022,-7,21,104,255
12.489444,-4,22,108,255
12.509791,2,14,112,255
12.533714,-1,21,116,255
12.557411,-7,19,122,255
12.583974,-9,18,117,255
12.604115,-5,12,112,255
12.627397,-6,13,118,255
12.647455,-6,12,108,255
12.670811,-5,11,108,255
12.691098,-4,8,109,255
12.714398,-5,14,113,255
12.734449,-5,13,112,255
12.757805,-3,8,112,255
12.777981,-3,8,114,255
12.808024,-4,25,118,255
12.828201,-2,14,115,255
12.851599,-4,19,108,255
12.871719,-2,14,117,255
12.895036,-4,11,113,255
12.915471,-3,9,109,255
12.940261,-5,15,108,255
12.960263,-5,13,109,255
12.983671,-6,17,118,255
13.003816,-1,10,114,255
13.030547,-2,16,114,255
13.050696,-3,12,120,255
13.081394,-4,9,112,255
13.101395,-2,8,118,255
13.126033,-2,16,114,255
13.146267,0,11,120,255
13.170207,0,9,117,255
13.190390,-2,8,124,255
13.214015,-3,7,117,255
13.234393,0,2,122,255
13.259779,2,3,113,255
13.279905,0,12,113,255
13.310542,0,26,117,255
13.330728,1,4,118,255
13.354697,4,-6,119,255
13.374802,0,3,112,255
13.398774,0,12,119,255
13.419240,1,7,119,255
13.445946,3,0,112,255
13.465998,0,2,108,255
13.490580,0,-2,109,255
13.510945,0,-9,109,255
13.534208,-3,-7,110,255
13.560976,-6,7,107,255
13.584414,-6,17,111,255
13.604674,-5,4,108,255
13.628044,-2,-2,112,255
13.648217,-2,9,112,255
13.672180,-3,17,111,255
13.692350,-3,-5,111,255
13.716289,-2,-5,105,255
13.736392,-8,7,103,255
13.759809,-12,14,109,255
13.780132,-8,0,106,255
13.803486,-4,1,107,255
13.823486,-2,4,108,255
13.855822,1,14,111,255
13.876294,2,6,105,255
13.901147,3,12,112,255
13.921503,5,18,115,255
13.945463,4,6,107,255
13.965585,6,5,111,255
13.988837,7,13,119,255
14.008910,2,12,111,255
14.032920,0,8,114,255
14.052921,0,3,108,255
14.084716,-3,4,111,255
14.104900,-3,-1,116,255
14.128262,-5,-3,118,255
14.148399,-2,-2,117,255
14.172342,-1,-2,117,255
14.192457,-2,-2,112,255
14.215838,-5,-1,117,255
14.236187,-6,-1,120,255
14.259539,-7,-3,117,255
14.279623,-3,0,114,255
14.303564,-3,0,116,255
14.323629,-3,0,118,255
14.354903,-3,-5,117,255
14.375018,-3,-3,122,255
14.398429,-8,-3,114,255
14.418607,-5,-1,117,255
14.441934,-5,1,120,255
14.462045,-6,0,114,255
14.486056,-10,1,116,255
14.506247,-4,2,117,255
14.531512,-3,10,114,255
14.551717,-3,8,118,255
14.581837,-2,5,116,255
14.602162,0,4,118,255
14.626080,2,6,121,255
14.646300,1,0,121,255
14.671350,1,0,119,255
14.691508,-1,5,119,255
14.714773,-8,4,116,255
14.735154,-9,-2,116,255
14.759172,-11,-4,108,255
14.779445,-10,0,114,255
14.802800,-9,-4,115,255
14.822834,-3,-3,108,255
14.854099,-2,3,109,255
14.874325,0,0,109,255
14.898324,1,-2,112,255
14.918463,0,-1,104,255
14.942491,-4,1,108,255
14.962640,-4,-1,114,255
14.987845,-3,-6,106,255
15.008143,0,0,109,255
15.033615,2,0,108,255
15.053824,2,-2,109,255
15.084463,-2,1,107,255
15.104603,-4,4,108,255
15.128627,-5,0,102,255
15.148890,-4,-3,105,255
15.172840,-7,-6,111,255
15.193371,-4,-4,112,255
15.219489,-2,-1,107,255
15.239776,0,-3,116,255
15.267547,0,-6,115,255
15.287723,0,-1,113,255
15.319062,3,-1,107,255
15.339609,3,-2,112,255
15.365083,5,0,114,255
15.385479,3,2,117,255
15.410705,5,2,110,255
15.430881,3,3,107,255
15.455432,0,7,104,255
15.475544,0,4,109,255
15.500132,0,1,106,255
15.520346,0,1,108,255
15.544913,0,0,114,255
15.569237,2,-4,112,255
15.595802,1,0,113,255
15.615949,1,1,114,255
15.639907,2,-4,112,255
15.660017,9,8,102,255
15.684584,13,16,113,255
15.709596,5,1,111,255
15.729596,-4,5,109,255
15.752858,-18,4,109,255
15.772913,-13,-2,111,255
15.801813,-15,-4,106,255
15.821813,-8,2,109,255
15.853745,0,2,104,255
15.874058,5,0,107,255
15.898710,5,10,108,255
15.918902,4,8,108,255
15.943431,7,1,109,255
15.964051,5,-2,113,255
15.988837,2,-1,105,255
16.009004,3,-2,112,255
16.032967,4,-3,114,255
16.053057,3,1,105,255
16.084481,4,8,106,255
16.104625,2,3,109,255
16.129801,0,3,108,255
16.149857,-1,5,102,255
16.173850,-3,1,105,255
16.193989,-5,-2,104,255
16.218576,-5,0,107,255
16.238689,-3,-2,114,255
16.263285,-2,-3,108,255
16.283455,0,-3,105,255
16.308026,0,0,106,255
16.328490,0,0,106,255
16.359454,3,-3,108,255
16.379635,4,-3,107,255
16.404177,2,-1,108,255
16.424273,1,-5,111,255
16.448858,1,-5,114,255
16.469107,0,-4,111,255
16.493760,1,-1,115,255
16.513915,2,-4,106,255
16.537296,4,-4,122,255
16.557465,4,-3,112,255
16.588697,7,-7,109,255
16.608866,3,-1,115,255
16.632864,3,-5,108,255
16.653028,4,-6,109,255
16.677548,2,-6,110,255
16.697670,1,-5,111,255
16.721639,0,-7,115,255
16.741767,0,-4,114,255
16.765647,-2,-4,119,255
16.785750,-1,0,110,255
16.810318,-3,3,118,255
16.830814,-5,1,111,255
16.861088,-8,6,113,255
16.881196,-6,10,106,255
16.905243,-4,5,114,255
16.925443,-4,6,104,255
16.948795,-6,16,114,255
16.968973,-1,5,111,255
16.995507,0,-2,106,255
17.015705,0,0,105,255
17.041125,-2,14,107,255
17.061289,0,2,105,255
