time,gyro x,gyro y,gyro z,accel x,accel y,accel z
7.575233,-18.827590942,14.571754456,0.538398743,-0.245278686,-0.347597420,0.766990304
7.585019,3.534164429,4.867164612,1.843025208,-0.231850952,-0.417543709,0.819724679
7.585644,3.534164429,4.867164612,1.843025208,-0.231850952,-0.417543709,0.819724679
7.586269,3.976669312,5.263893127,1.598884583,-0.236733764,-0.423036873,0.821067452
7.586894,6.883468628,4.478065491,1.835395813,-0.238564819,-0.431337655,0.808738351
7.587521,8.371200562,4.188148499,1.949836731,-0.235024780,-0.431703866,0.808372140
7.588147,9.958114624,3.615943909,2.056648254,-0.233437866,-0.435243905,0.815818429
7.588772,11.125411987,3.242103577,2.186347961,-0.230141968,-0.426698983,0.822166085
7.589397,12.430038452,2.669898987,2.110054016,-0.226357788,-0.412172616,0.825584054
7.590022,13.192977905,2.807228088,2.407600403,-0.217568725,-0.393617928,0.821555734
7.590649,13.643112183,2.677528381,2.476264954,-0.210854858,-0.379457772,0.825828195
7.591275,14.436569214,2.273170471,2.697517395,-0.213296264,-0.364687264,0.828269601
7.591900,14.673080444,2.105323792,2.964546204,-0.211221069,-0.359194100,0.830588937
7.592526,14.802780151,2.036659241,2.827217102,-0.210000366,-0.355776131,0.833030343
7.593153,14.970626831,1.914588928,3.033210754,-0.213418335,-0.351137459,0.828513741
7.593779,15.260543823,1.853553772,2.995063782,-0.212441772,-0.345400155,0.830344796
7.594406,15.191879272,1.624671936,3.140022278,-0.212197632,-0.332826912,0.829978585
7.595032,15.481796265,1.227943420,3.361274719,-0.210976928,-0.327211678,0.831199288
7.595658,15.024032593,1.227943420,3.376533508,-0.211343139,-0.318422616,0.832297921
7.596283,15.222396851,0.960914612,3.223945618,-0.209756225,-0.309023201,0.839011788
7.596908,14.764633179,1.060096741,3.300239563,-0.210366577,-0.302675545,0.841209054
7.597534,14.558639526,0.999061584,3.475715637,-0.207803100,-0.297060311,0.841453195
7.598159,14.055099487,1.319496155,3.368904114,-0.207436889,-0.292299569,0.843162179
7.598784,13.208236694,1.525489807,3.429939270,-0.209390014,-0.291200936,0.844260812
7.599409,13.208236694,1.273719788,3.552009583,-0.212319702,-0.291689217,0.846702218
7.600034,12.971725464,1.556007385,3.590156555,-0.218057007,-0.290956795,0.846702218
7.600660,12.620773315,1.792518616,3.338386536,-0.217446655,-0.286806405,0.851707101
7.601286,12.422409058,1.769630432,3.498603821,-0.224892944,-0.282167733,0.856467843
7.601912,11.895980835,1.929847717,3.277351379,-0.222451538,-0.277651131,0.859397531
7.602538,11.575546265,2.013771057,3.490974426,-0.220864624,-0.270937264,0.865012765
7.603164,11.369552612,2.204505920,3.437568665,-0.220498413,-0.271181405,0.871970773
7.604932,10.499801636,2.570716858,3.559638977,-0.223672241,-0.263368905,0.875266671
7.605557,10.049667358,2.807228088,3.513862610,-0.225991577,-0.269350350,0.876609445
7.606182,9.744491577,2.784339905,3.422309875,-0.227822632,-0.266908944,0.875877023
7.606809,9.652938843,2.814857483,3.330757141,-0.231362671,-0.267153084,0.873313546
7.607578,8.851852417,2.936927795,3.368904114,-0.236245483,-0.250673592,0.867820382
7.608334,8.539047241,2.631752014,3.277351379,-0.235635132,-0.251650155,0.865745187
7.609057,8.218612671,2.715675354,3.246833801,-0.240517944,-0.250795662,0.862937570
