time,gyro x,gyro y,gyro z,accel x,accel y,accel z
17.005173,17.831649780,-9.750755310,9.975959778,-0.260171264,-0.031923585,0.877586007
17.005910,17.839279175,-9.422691345,10.441352844,-0.269814819,-0.003359132,0.889182687
17.006537,17.755355835,-8.797080994,10.204841614,-0.287637085,0.012876220,0.897605538
17.007163,18.052902222,-8.758934021,9.968330383,-0.304726928,0.020932861,0.902976632
17.007788,18.182601929,-9.056480408,9.876777649,-0.308999389,0.027036376,0.912131906
17.008415,18.159713745,-8.873374939,9.617378235,-0.298745483,0.038877197,0.935203195
17.009041,17.953720093,-9.613426208,9.403755188,-0.269570678,0.062436767,0.959251046
17.009668,16.801681519,-10.307701111,9.594490051,-0.246743530,0.089536376,0.979758859
17.010294,15.695419312,-10.376365662,9.426643372,-0.214516968,0.113584228,0.988792062
17.010920,14.306869507,-10.429771423,9.357978821,-0.193398803,0.135678947,0.990501046
17.011546,12.590255737,-10.795982361,9.213020325,-0.175454468,0.148008049,0.984397531
17.012172,10.980453491,-10.788352966,8.945991516,-0.158852905,0.149717033,0.973777413
17.012798,9.408798218,-11.040122986,8.961250305,-0.152016968,0.137998283,0.962791085
17.013443,8.050765991,-11.200340271,8.472969055,-0.140176147,0.119077392,0.954734445
17.014186,7.165756226,-11.177452087,8.274604797,-0.128945678,0.097593017,0.949973702
17.014813,6.318893433,-10.956199646,8.251716614,-0.118081421,0.072812743,0.942039132
17.015557,6.028976440,-10.918052673,8.396675110,-0.110879272,0.060605712,0.933860421
17.016328,5.868759155,-10.246665955,8.198310852,-0.112099975,0.046079345,0.917502999
17.017147,6.112899780,-9.712608337,8.038093567,-0.122598022,0.042783447,0.916038156
17.017912,6.448593140,-9.331138611,7.977058411,-0.133706421,0.037412353,0.920066476
17.018685,6.852951050,-8.972557068,7.687141418,-0.143960327,0.030820556,0.926658273
17.019461,7.493820190,-8.987815857,7.702400208,-0.168374389,0.019345947,0.947288156
17.020268,7.943954468,-8.934410095,7.526924133,-0.177651733,0.016538329,0.957053781
17.021051,8.554306030,-9.193809509,7.267524719,-0.183877319,0.013486572,0.967063546
17.021807,9.012069702,-9.453208923,7.473518372,-0.187417358,0.009214111,0.972922921
17.022606,9.790267944,-10.391624451,7.267524719,-0.196938843,0.009702392,0.981345773
17.023395,10.331954956,-10.895164490,7.130195618,-0.197915405,0.005918212,0.985252023
17.025494,12.124862671,-12.222679138,7.175971985,-0.192300171,-0.014101319,0.976707101
17.026348,13.711776733,-13.016136169,7.000495911,-0.179360718,-0.025209717,0.969138741
17.027138,14.551010132,-12.924583435,6.962348938,-0.171426147,-0.025820069,0.969993234
17.027963,15.512313843,-13.122947693,6.939460754,-0.162515014,-0.026918702,0.963889718
17.028769,17.534103394,-12.466819763,6.931831360,-0.148721069,-0.032045655,0.969627023
17.029612,18.464889526,-12.382896423,6.855537415,-0.142251343,-0.037905030,0.980735421
17.030385,19.845809937,-12.237937927,6.908943176,-0.138345093,-0.035097413,0.985374093
17.031170,21.020736694,-11.742027283,6.847908020,-0.136025757,-0.030702882,0.989402413
17.031962,22.859420776,-11.101158142,6.969978333,-0.130288452,-0.020204835,1.008079171
17.032842,24.019088745,-10.460289001,6.870796204,-0.135049194,-0.014467530,1.014793038
17.033703,25.026168823,-9.666831970,6.931831360,-0.138100952,-0.000185303,1.036033273
17.034543,25.651779175,-9.323509216,6.855537415,-0.138345093,0.009458251,1.043723702
17.035380,26.353683472,-9.155662537,6.802131653,-0.135049194,0.016294189,1.049705148
