time,deltaX,deltaY,squal,shutter
17.003898,0,2,123,255
17.024202,-1,2,120,255
17.055335,-1,2,118,255
17.075864,-1,5,115,255
17.104095,0,2,127,255
17.124285,0,1,121,255
17.155211,-2,0,115,255
17.175372,0,0,121,255
17.199893,0,-1,114,255
17.220099,0,0,115,255
17.244658,-1,-1,122,255
17.264757,0,-1,119,255
17.289267,-1,0,122,255
17.309329,-1,1,119,255
17.333879,-1,0,119,255
17.354007,-2,-1,118,255
17.385167,-2,-1,117,255
17.405410,-2,-1,119,255
17.431675,-4,-3,124,255
17.451710,-1,-1,122,255
17.480520,0,0,118,255
17.500791,1,-3,121,255
17.525387,1,-1,115,255
17.545717,1,0,121,255
17.575702,3,-2,121,255
17.596232,1,-1,115,255
17.616623,2,0,121,255
17.636959,2,0,122,255
17.656959,3,0,123,255
17.677715,2,-1,120,255
17.697718,0,0,126,255
17.723154,-1,0,118,255
17.743233,0,-1,117,255
17.767180,-3,-1,122,255
17.787559,-1,0,117,255
17.812174,-2,0,125,255
17.832345,0,0,129,255
17.856922,0,0,125,255
17.877380,-1,1,123,255
17.908330,1,0,123,255
17.928777,2,0,120,255
17.955548,1,1,117,255
17.976128,1,1,115,255
18.003363,1,1,117,255
18.023514,1,1,117,255
18.049380,0,0,117,255
18.069622,1,1,120,255
18.098640,0,1,122,255
18.118683,1,0,119,255
18.138684,0,0,117,255
18.158847,0,1,120,255
18.178847,-1,1,121,255
18.199164,-1,0,122,255
18.219175,0,1,117,255
18.242547,0,1,118,255
18.262645,0,2,117,255
18.287839,0,1,120,255
18.307906,1,2,121,255
18.333183,2,2,121,255
18.353253,0,0,117,255
18.384436,2,0,116,255
18.404570,0,0,120,255
18.428455,1,0,127,255
18.448804,1,0,120,255
18.474706,1,0,122,255
18.495185,1,0,128,255
18.520347,0,-1,117,255
18.540524,1,0,117,255
18.566893,1,0,122,255
18.587261,2,-1,124,255
18.623824,4,0,127,255
18.643959,2,0,122,255
18.668516,2,0,116,255
18.688598,2,0,131,255
18.713731,4,0,124,255
18.734135,6,-1,128,255
18.759362,5,-1,130,255
18.779458,6,-1,126,255
18.804618,6,-1,131,255
18.824671,4,0,134,255
18.849950,9,-3,132,255
18.873612,5,-2,131,255
18.901982,10,0,130,255
18.922011,5,0,130,255
18.946691,8,-2,130,255
18.967249,8,0,126,255
18.993073,8,0,127,255
19.013195,9,-2,124,255
19.039428,10,1,128,255
19.059565,6,0,131,255
19.086694,9,-2,131,255
19.107481,6,-1,127,255
19.127959,7,0,129,255
19.148235,4,-1,131,255
19.168235,9,0,125,255
19.188711,6,0,125,255
19.208757,8,0,123,255
19.233914,8,0,126,255
19.254131,8,0,120,255
19.278030,7,0,130,255
19.298079,6,0,122,255
19.322639,7,0,122,255
19.342739,6,-2,119,255
19.366600,9,-2,122,255
19.387070,9,1,123,255
19.418588,13,0,127,255
19.438729,8,0,120,255
19.465752,11,0,122,255
19.485903,10,0,122,255
19.510963,12,-2,123,255
19.531101,9,-1,122,255
19.555608,10,-2,130,255
19.575988,6,-1,121,255
19.604120,10,0,125,255
19.625266,5,1,129,255
19.654900,14,0,130,255
19.674981,7,0,128,255
19.700858,9,0,128,255
19.721053,9,0,124,255
19.744977,10,-1,120,255
19.765192,9,-2,119,255
19.789729,9,0,117,255
19.809861,6,0,118,255
19.833772,6,-3,117,255
19.854013,5,0,116,255
19.884695,5,0,117,255
19.904857,9,1,116,255
19.929417,16,-1,122,255
19.949506,10,0,124,255
19.974681,12,4,124,255
19.994796,9,0,122,255
20.019323,12,-1,121,255
20.039378,9,-2,122,255
20.063370,7,-1,123,255
20.083371,9,-3,125,255
20.103955,9,-1,119,255
20.123955,10,2,121,255
20.144240,8,0,127,255
20.173671,12,1,127,255
20.193853,8,3,124,255
20.218436,9,4,128,255
20.238562,8,0,128,255
20.263149,13,-1,127,255
20.283434,9,0,131,255
20.308006,10,1,121,255
20.328187,13,-1,130,255
20.352742,15,0,129,255
20.372941,10,0,127,255
20.404102,15,0,122,255
20.424215,10,0,130,255
20.449402,13,2,124,255
