time,gyro x,gyro y,gyro z,accel x,accel y,accel z
18.000118,2.445030212,-3.512657166,12.109848022,-0.138391361,0.091155149,0.990067482
18.000744,1.155662537,-3.283775330,12.445541382,-0.139245853,0.088225462,0.992508888
18.001370,-0.026893616,-3.505027771,12.071701050,-0.138757572,0.087493040,0.989457130
18.001997,-1.102638245,-3.573692322,11.819931030,-0.137536868,0.083708860,0.991166115
18.002622,-2.292823792,-3.665245056,12.132736206,-0.136560306,0.084075071,0.992508888
18.003249,-3.345680237,-3.711021423,12.018295288,-0.134240970,0.088347532,0.990189552
18.003874,-4.360389709,-3.924644470,11.743637085,-0.139123783,0.084807493,0.989457130
18.017831,-16.521644592,-3.863609314,9.828659058,-0.106164798,0.066130735,1.011673927
18.018588,-16.483497620,-3.733909607,9.691329956,-0.104822025,0.068328001,1.014847755
18.019213,-16.765785217,-3.871238708,9.637924194,-0.105188236,0.069914915,1.014237404
18.019840,-16.926002502,-3.978050232,9.576889038,-0.103479251,0.069060422,1.017289162
18.020465,-17.429542542,-3.680503845,9.370895386,-0.103235111,0.070036985,1.016800880
18.021092,-17.574501038,-3.588951111,9.370895386,-0.102502689,0.071013547,1.016800880
18.021718,-17.681312561,-3.657615662,9.035202026,-0.103723392,0.070036985,1.014603615
18.022345,-17.803382874,-3.314292908,9.012313843,-0.102014408,0.070036985,1.015824318
18.022971,-18.093299866,-3.657615662,8.867355347,-0.103357181,0.070403196,1.011673927
18.023596,-18.566322327,-3.520286560,8.676620483,-0.102136478,0.070891477,1.010575294
18.024222,-18.589210510,-3.436363220,8.684249878,-0.102746829,0.072478391,1.013749123
18.024847,-18.810462952,-3.253257751,8.386703491,-0.102502689,0.073577024,1.012894630
18.025472,-19.191932678,-3.329551697,8.585067749,-0.104455814,0.070769407,1.013382912
18.026097,-19.054603577,-3.276145935,8.485885620,-0.103479251,0.072234251,1.013993263
18.026723,-19.428443909,-3.184593201,8.188339233,-0.100427493,0.075041868,1.011795998
18.027348,-19.878578186,-3.367698669,8.287521362,-0.104577884,0.071868040,1.011307716
