time,deltaX,deltaY,squal,shutter
10.248590,35,33,112,255
10.268740,0,-1,104,255
10.293189,-1,0,103,255
10.313301,-1,-2,104,255
10.339282,-1,-3,107,255
10.359456,-1,-4,107,255
10.385088,-4,-4,104,255
10.405177,-2,0,98,255
10.429219,-7,-2,99,255
10.449441,-3,-1,105,255
10.472807,-2,-2,99,255
10.498371,0,1,101,255
10.524403,1,4,105,255
10.544686,3,6,104,255
10.568715,7,13,110,255
10.588858,5,9,106,255
10.613541,8,4,113,255
10.633697,8,-1,110,255
10.658313,6,0,115,255
10.678371,1,1,109,255
10.701766,-1,6,108,255
10.721901,-2,5,109,255
10.752576,-4,5,115,255
10.772743,-4,5,115,255
10.796812,-2,6,107,255
10.817012,-1,4,110,255
10.841007,0,6,108,255
10.861142,0,5,107,255
10.885197,6,0,105,255
10.905379,6,-3,116,255
10.930007,7,-4,111,255
10.950112,4,6,113,255
10.974705,8,4,108,255
10.994885,5,2,107,255
11.025512,11,-6,114,255
11.045801,9,-15,110,255
11.069837,6,-6,120,255
11.090046,8,0,112,255
11.114946,8,18,112,255
11.135038,6,14,109,255
11.159050,5,-5,112,255
11.179223,5,-7,115,255
11.203199,7,-2,107,255
11.223330,7,4,105,255
11.254637,4,12,108,255
11.274836,-1,2,109,255
11.298278,-2,-13,108,255
11.318414,0,-10,109,255
11.342463,0,7,104,255
11.362609,0,10,107,255
11.386587,0,2,107,255
11.406700,-1,3,103,255
11.430779,-3,15,105,255
11.450956,-4,14,113,255
11.475025,-9,17,110,255
11.495168,-11,10,110,255
11.525940,-14,11,104,255
11.546193,-3,-3,116,255
11.570897,0,-10,117,255
11.591025,5,0,107,255
11.615667,9,0,111,255
11.635812,8,-7,112,255
11.659830,8,-9,112,255
11.679953,5,-3,105,255
11.703392,6,-4,112,255
11.723569,3,-4,109,255
11.746958,5,-5,105,255
11.767469,4,-5,108,255
11.808941,3,-4,105,255
11.829031,-2,0,107,255
11.853163,-12,0,104,255
11.873278,-15,-4,113,255
11.902813,-22,-9,113,255
11.922986,-20,-7,113,255
11.947063,-11,0,116,255
11.967315,-7,-2,114,255
11.991407,-2,-5,114,255
12.011408,1,-4,112,255
12.043483,7,-3,115,255
12.063657,5,3,115,255
12.088457,11,7,110,255
12.108642,10,4,111,255
12.132655,10,3,112,255
12.152739,8,6,111,255
12.177366,7,9,108,255
12.197477,6,7,103,255
12.222041,4,2,111,255
12.242119,0,1,112,255
12.273403,-1,4,111,255
12.293550,-3,2,107,255
12.317526,-4,0,104,255
12.337649,-3,0,111,255
12.361686,-3,6,114,255
12.381845,-1,4,110,255
12.406447,-1,5,111,255
12.426558,-1,4,112,255
12.451205,0,3,114,255
12.471329,2,2,116,255
12.495958,0,2,116,255
12.516364,-3,5,110,255
12.547396,-6,2,112,255
12.567566,-1,1,111,255
12.592206,-4,2,113,255
12.612343,-3,1,115,255
12.636440,-3,0,114,255
12.656560,0,0,113,255
12.681220,-1,0,114,255
12.701377,-3,1,117,255
12.724853,-1,-1,115,255
12.745083,0,-1,115,255
12.775814,0,0,115,255
12.796116,0,0,120,255
12.820794,1,1,116,255
12.840957,3,0,119,255
12.864985,0,2,119,255
12.885148,0,3,120,255
12.909171,2,1,119,255
12.929306,0,1,119,255
12.953298,-4,5,112,255
12.973418,-2,4,110,255
12.997458,0,2,111,255
13.018046,-1,1,116,255
13.047763,-2,2,117,255
13.067965,0,1,115,255
13.092053,0,4,116,255
13.112214,4,4,115,255
13.136214,2,4,114,255
13.156322,2,2,112,255
13.180392,3,2,115,255
13.200686,3,2,118,255
13.225352,5,6,120,255
13.245425,5,4,115,255
13.276061,8,6,122,255
13.296229,5,4,115,255
13.320219,7,6,120,255
13.340325,5,6,118,255
13.364962,4,8,115,255
13.385104,2,6,119,255
13.409090,3,7,118,255
13.429192,1,7,110,255
13.454194,1,5,110,255
13.474398,2,5,112,255
13.499037,4,7,105,255
13.519590,5,8,109,255
13.549947,12,17,101,255
13.570129,7,11,105,255
13.593455,5,10,103,255
13.613503,4,8,111,255
13.637536,4,9,101,255
13.657660,2,9,102,255
13.681640,0,12,104,255
13.701740,0,8,106,255
13.725203,0,8,103,255
13.745368,2,9,104,255
13.776047,0,12,108,255
13.796213,1,3,105,255
13.820265,2,7,105,255
13.840453,2,9,107,255
13.864475,2,10,104,255
13.884913,3,5,106,255
13.910232,3,5,103,255
13.930398,2,8,105,255
13.955048,4,10,112,255
13.975160,2,5,109,255
13.999192,4,7,111,255
14.019192,3,6,106,255
14.050118,8,7,105,255
14.070219,5,7,109,255
14.094267,3,7,112,255
14.114456,0,6,104,255
14.137829,-2,1,106,255
14.157959,-2,2,108,255
14.182029,-3,4,107,255
14.202242,-2,6,105,255
14.226245,0,2,109,255
14.246409,0,1,103,255
14.277188,6,12,108,255
14.297512,6,6,106,255
14.321622,10,11,108,255
14.341813,8,7,108,255
14.365831,6,7,103,255
14.386239,6,8,109,255
14.406239,5,8,107,255
14.426576,3,10,106,255
14.446578,0,7,107,255
14.466973,-5,8,105,255
14.486997,-8,2,107,255
14.515787,-12,-1,104,255
14.536014,-10,-3,102,255
14.559469,-9,-2,107,255
14.579700,-5,-3,106,255
14.603087,-2,-3,106,255
14.623247,0,0,105,255
14.648048,0,7,107,255
14.668295,1,7,102,255
14.692870,3,10,104,255
14.712949,2,1,107,255
14.737614,3,0,113,255
14.757746,1,1,109,255
14.788995,4,1,108,255
14.809148,5,0,112,255
14.833347,5,-4,110,255
14.853533,4,0,108,255
14.878112,6,1,112,255
14.898177,3,2,114,255
14.922216,5,1,114,255
14.942424,4,4,111,255
14.967056,3,5,116,255
14.987175,2,5,115,255
15.017908,4,6,114,255
15.038107,1,3,113,255
15.062175,1,7,117,255
15.082342,1,4,114,255
15.106401,2,7,115,255
15.126624,2,13,112,255
15.150657,3,9,111,255
15.170843,4,4,108,255
15.194909,9,9,116,255
15.215144,5,9,122,255
15.239143,5,9,122,255
15.259307,2,0,122,255
15.290641,3,-4,118,255
15.310923,6,-1,119,255
15.334945,9,0,118,255
15.355129,9,1,117,255
15.379172,9,4,124,255
15.399316,4,4,115,255
