time,gyro x,gyro y,gyro z,accel x,accel y,accel z
20.547486,-21.126396179,23.974601746,-11.628379822,-0.011873778,-0.138644412,1.202789307
20.548316,-20.554191589,24.577323914,-11.162986755,-0.008577880,-0.135104373,1.199005127
20.548941,-19.791252136,25.271598816,-10.850181580,-0.012606200,-0.138400272,1.196685791
20.549566,-19.356376648,25.477592468,-10.545005798,-0.009920653,-0.140719607,1.192291260
20.550191,-18.936759949,26.095573425,-10.209312439,-0.012972411,-0.140841678,1.186431885
20.550818,-18.356925964,26.339714050,-9.957542419,-0.011873778,-0.143893436,1.184600830
20.551444,-17.723686218,26.911918640,-9.659996033,-0.014315184,-0.142306522,1.182769775
20.552069,-16.792900085,27.529899597,-9.492149353,-0.013826903,-0.142062381,1.173370361
20.552694,-16.258842468,27.720634460,-9.003868103,-0.014925536,-0.139254764,1.169830322
20.553321,-15.488273621,28.117362976,-8.698692322,-0.014681395,-0.141696170,1.164703369
20.553946,-14.839775085,28.857414246,-8.385887146,-0.014925536,-0.138156131,1.162506104
20.554571,-14.122612000,29.177848816,-8.088340759,-0.019930419,-0.137545779,1.155426025
20.555197,-13.718254089,29.658500671,-7.828941345,-0.015291747,-0.133761600,1.147369385
20.555822,-12.734062195,29.956047058,-7.462730408,-0.017122801,-0.131076053,1.144195557
20.556447,-12.085563660,30.306999207,-7.264366150,-0.019197997,-0.129367068,1.135650635
20.557074,-11.467582703,30.902091980,-6.829490662,-0.020906981,-0.126559451,1.131134033
20.557701,-10.643608093,31.062309265,-6.592979431,-0.018831786,-0.124484256,1.127593994
20.558328,-10.147697449,31.436149597,-6.226768494,-0.023958739,-0.124484256,1.117340088
20.558955,-9.476310730,32.077018738,-5.707969666,-0.027987059,-0.121798709,1.112091064
20.559581,-8.957511902,32.221977234,-5.585899353,-0.028231200,-0.117770389,1.106597900
20.560208,-8.377677917,32.489006042,-5.318870544,-0.030428465,-0.114840701,1.100006104
20.560834,-7.897026062,33.045951843,-5.181541443,-0.030550536,-0.110812381,1.094757080
20.561460,-7.149345398,32.962028503,-4.845848083,-0.033602294,-0.105807498,1.089385986
20.562086,-6.676322937,33.244316101,-4.716148376,-0.034212645,-0.105319217,1.080841064
20.562713,-5.997306824,33.885185242,-4.204978943,-0.035189208,-0.101046756,1.072418213
20.563338,-5.547172546,33.915702820,-3.785362244,-0.038851317,-0.098971561,1.066680908
20.563964,-5.089408875,34.266654968,-3.724327087,-0.038118895,-0.090548709,1.060821533
20.564589,-4.524833679,34.503166199,-3.480186462,-0.041170653,-0.090060428,1.056671143
20.565215,-4.212028503,34.640495300,-3.136863708,-0.042269286,-0.087374881,1.048370361
20.565935,-3.525382996,34.861747742,-3.167381287,-0.045443114,-0.083224490,1.037994385
20.567778,-2.365715027,35.556022644,-2.312889099,-0.050203856,-0.075167850,1.019683838
20.568404,-1.564628601,35.708610535,-1.977195740,-0.052523192,-0.067843631,1.016265869
20.569146,-1.030570984,35.807792664,-1.824607849,-0.054598387,-0.063571170,1.000640869
20.569773,-0.679618835,36.044303894,-1.702537537,-0.058626708,-0.064669803,0.994049072
20.570398,0.045173645,36.013786316,-1.572837830,-0.061190184,-0.060641479,0.986358643
20.571025,0.289314270,35.952751160,-1.137962341,-0.062410887,-0.060031127,0.981109619
