time,deltaX,deltaY,squal,shutter
20.546181,11,4,124,255
20.566516,11,-1,123,255
20.590556,17,-1,134,255
20.610660,11,2,125,255
20.635251,10,7,123,255
20.655373,6,2,133,255
20.680251,8,-2,129,255
20.700276,4,-1,131,255
20.724316,5,1,132,255
20.744449,5,-1,128,255
20.768309,5,-6,129,255
20.788518,5,-3,130,255
20.819182,12,2,124,255
20.839446,10,0,125,255
20.863304,18,0,122,255
20.883408,14,1,125,255
20.907316,15,2,123,255
20.927448,14,0,118,255
20.951974,14,1,119,255
20.972072,9,7,121,255
20.996778,13,1,122,255
21.017142,9,-2,119,255
21.048377,15,1,119,255
21.068519,9,1,120,255
21.093112,13,0,123,255
21.113257,9,0,123,255
21.137150,7,3,115,255
21.157210,7,2,122,255
21.182442,12,3,120,255
21.202601,8,5,112,255
21.222869,7,3,119,255
21.243064,6,2,120,255
21.263065,7,2,117,255
21.283893,5,4,118,255
21.303893,7,3,119,255
21.335410,13,0,117,255
21.355497,9,-1,121,255
21.380108,13,1,111,255
21.400239,11,1,121,255
21.424764,16,0,118,255
21.445069,12,1,113,255
21.469622,11,4,112,255
21.489707,13,1,114,255
21.514845,16,0,115,255
21.534942,11,0,120,255
21.565553,14,3,119,255
21.585709,9,-2,120,255
21.610375,12,0,117,255
21.630518,9,2,109,255
21.653867,9,0,112,255
21.674035,10,0,113,255
21.699195,14,0,110,255
21.719327,11,0,113,255
21.743929,15,-2,109,255
21.764064,9,-1,115,255
21.789218,14,1,114,255
21.809677,13,2,116,255
21.840528,22,1,121,255
21.860630,13,3,119,255
21.886215,11,5,117,255
21.906319,10,1,118,255
21.930247,11,-2,113,255
21.950419,7,-1,120,255
21.973700,14,-2,121,255
21.993963,14,-2,116,255
22.018614,13,-2,120,255
22.038780,12,2,112,255
22.070742,22,1,123,255
22.090911,15,-2,112,255
22.115508,19,7,117,255
22.135716,12,3,121,255
22.160218,18,-3,124,255
22.180309,12,2,123,255
22.204867,14,3,122,255
22.225157,9,1,124,255
22.249696,9,1,120,255
22.269826,10,3,122,255
22.301055,17,9,116,255
22.321210,10,1,116,255
22.345173,10,0,116,255
22.365253,8,1,117,255
22.389826,12,2,116,255
22.409958,11,0,116,255
22.435299,11,2,116,255
22.455449,12,4,108,255
22.480004,16,1,106,255
22.500097,14,0,109,255
22.524635,17,5,117,255
22.551349,15,1,117,255
22.575379,14,0,114,255
22.595544,9,3,111,255
22.620129,9,0,113,255
22.640264,8,-1,110,255
22.664254,14,0,110,255
22.684454,10,1,117,255
22.708982,15,3,116,255
22.729177,11,1,113,255
22.754422,13,2,118,255
22.774780,8,3,110,255
22.807246,14,1,111,255
22.827458,8,1,109,255
22.852056,8,2,118,255
22.872347,11,1,115,255
22.897863,17,1,115,255
22.917907,15,1,113,255
22.942520,18,2,111,255
22.962628,11,3,109,255
22.987172,15,-1,114,255
23.007254,9,-2,115,255
23.031762,12,-1,112,255
23.057251,8,-1,110,255
23.083062,14,-4,110,255
23.103133,11,-4,106,255
23.127052,15,0,107,255
23.147257,10,-1,113,255
23.171182,16,-4,111,255
23.191356,13,0,112,255
23.215387,12,0,108,255
23.235581,13,0,111,255
23.260106,15,1,111,255
23.280252,9,4,111,255
23.310900,9,3,109,255
23.331121,6,0,110,255
23.355771,10,1,113,255
23.375905,14,3,112,255
23.401142,15,2,108,255
23.421269,16,2,108,255
23.445787,19,3,112,255
23.465839,11,2,111,255
23.491322,13,1,110,255
23.511432,9,0,113,255
23.536431,12,-1,111,255
23.561246,11,0,116,255
23.587752,14,0,112,255
23.607821,10,0,111,255
23.632604,13,0,117,255
23.652789,13,0,120,255
23.677348,16,3,123,255
23.697436,11,0,118,255
23.721974,12,2,116,255
23.742089,8,2,115,255
23.766691,12,0,119,255
23.787162,10,0,113,255
23.820252,18,3,124,255
23.840442,7,3,116,255
23.864642,8,0,115,255
23.885024,8,1,108,255
23.910196,8,2,109,255
23.930229,10,2,112,255
23.954786,13,1,112,255
23.974874,11,0,117,255
24.000169,16,0,120,255
24.020236,13,3,117,255
