time,deltaX,deltaY
35.118101,0,3
35.147814,0,4
35.186107,0,2
35.22443,0,0
35.254077,1,3
35.292351,0,1
35.330642,1,2
35.360294,2,2
35.398598,1,2
35.436893,1,1
35.466535,1,-2
35.504843,6,-3
35.543117,3,-4
35.572781,1,-2
35.611055,1,4
35.649328,1,8
35.678991,1,8
35.71726,2,8
35.75553,3,5
35.78282,0,2
35.83528,3,0
35.873543,2,0
35.903183,2,-1
35.941452,5,0
35.97973,1,3
36.009394,1,6
36.047667,3,4
36.085968,0,-1
36.115614,0,-5
36.153912,-1,-4
36.192226,-4,-2
36.221847,-1,1
36.260125,-1,4
36.298432,-1,2
36.328077,0,2
36.366343,-1,-1
36.404644,-3,-6
36.432138,-4,-5
36.484687,0,-6
36.522984,0,0
36.552614,0,2
36.590909,0,2
36.629219,-1,4
36.658879,0,3
36.697153,0,2
36.748748,0,1
36.778418,0,2
36.816706,2,7
36.855037,1,2
36.884652,1,1
36.922944,3,1
36.96126,4,3
36.990908,5,3
37.029208,4,4
37.067525,4,0
37.097172,3,-1
37.135455,1,-6
37.173769,2,-8
37.203424,0,-2
37.2417,-1,0
37.280017,0,5
37.309659,-1,9
37.347956,-1,12
37.386267,0,16
37.415963,0,11
37.454243,2,5
37.492543,2,-2
37.522199,4,-8
37.574048,5,-17
37.612452,4,-9
37.642153,3,-5
37.68044,4,-3
37.718744,4,2
37.76213,5,1
37.800475,3,0
37.838788,3,4
37.868444,2,3
37.906733,4,11
37.945045,4,14
37.974698,2,9
38.013004,3,5
38.051262,2,-4
38.080929,3,-8
38.119235,4,-13
38.157528,2,-7
38.187178,0,0
38.225465,0,6
38.263745,0,10
38.293402,0,7
38.331694,0,8
38.369973,2,4
38.399602,0,0
38.437911,3,-2
38.476223,2,-8
38.505666,6,-5
38.558202,5,-5
38.596493,6,2
38.626163,0,11
38.664456,7,15
38.702766,-4,6
38.732422,0,-5
38.770706,1,-21
38.809029,-5,-16
38.838693,4,-9
38.877012,-10,-3
38.915308,4,5
38.944989,-12,13
38.983287,4,27
39.021616,-12,18
39.066595,8,0
39.104988,-9,-36
39.143314,7,-33
39.173017,-6,-13
39.21132,-3,6
39.249642,8,16
39.27932,-2,28
39.317653,8,34
39.355991,-5,34
39.385663,5,6
39.423962,0,-17
39.462272,9,-24
39.493339,4,-25
39.545868,6,-20
39.59996,0,5
39.629621,0,7
39.667912,-3,7
39.706222,-1,0
39.735887,-1,-6
39.774216,0,-13
39.812524,1,-5
39.842195,1,1
39.880474,2,15
39.918791,2,20
39.948455,4,21
39.986739,2,20
40.02503,4,10
40.054666,1,2
40.092957,2,-4
40.131246,3,-7
40.160898,2,-4
40.199209,0,-4
40.2375,0,-3
40.267151,0,-2
40.305438,1,-6
40.343725,1,-5
40.389393,2,-2
40.42779,1,2
40.466104,2,6
40.495775,1,4
40.545381,4,2
40.583724,2,0
40.613361,3,-1
40.651641,3,-4
40.689953,5,-7
40.719572,5,-2
40.757861,2,4
40.796171,5,10
40.825816,3,5
40.86409,3,3
40.902392,1,2
40.932015,1,5
40.970283,3,7
41.008585,1,6
41.038198,0,4
41.076466,0,-2
41.114759,-1,-7
41.144398,0,-11
41.182692,-1,-15
41.221021,-2,-9
41.250626,-1,-1
41.288927,-2,7
41.327234,-3,14
41.356897,-1,10
41.395216,-3,8
41.433513,0,1
41.47475,-1,-4
41.513116,-1,-5
41.551445,-1,-1
41.581082,-3,1
41.619371,-4,4
41.65766,-3,0
41.687287,-2,-1
41.737369,-5,-6
41.775744,-1,-5
41.80539,-3,-3
41.84367,-5,-2
41.881974,-3,0
41.91162,-6,0
41.949915,-6,-1
41.988232,-5,-2
42.017885,-5,-3
42.056199,-6,-3
42.09449,-5,1
42.124173,-5,2
42.162457,-6,2
42.200747,-5,2
42.230401,-5,1
42.268685,-6,0
42.307004,-7,-1
42.336654,-4,-2
42.374958,-2,-7
42.413249,-3,-6
42.454863,-3,-2
42.493225,-4,0
42.531543,-4,3
42.561198,-3,2
42.599481,-5,1
42.637789,-5,-1
42.667425,-3,-4
42.705707,-4,-7
42.744025,-2,-7
42.773652,-2,-5
42.81195,-2,-5
42.850251,-3,-8
42.879903,0,-6
42.918217,-1,-7
42.956505,-1,-1
42.986149,-2,1
43.037707,-1,4
43.076073,-3,2
43.105746,-1,0
43.14403,-1,-1
43.182314,-2,-4
43.211975,-3,-4
43.250253,-4,-2
43.288529,-3,-6
43.318199,-2,-9
43.356487,-3,-6
43.394814,-2,-2
43.424455,-2,1
43.47631,-4,7
43.514682,-2,6
43.544372,-3,5
43.582651,-1,6
43.621004,-2,3
43.650621,0,0
43.688906,-1,-3
43.727252,-2,-8
43.756912,-1,-5
43.795218,-3,-8
43.833537,-3,-10
43.863212,0,-7
43.901501,-1,-4
43.939838,-2,7
43.969476,-3,11
44.007788,-3,18
44.046116,-3,12
44.07578,-2,3
44.11405,-2,0
44.152341,-2,-10
44.181997,-1,-9
44.220278,-3,-13
44.258615,-3,-8
44.287869,-1,-2
44.340401,-2,-3
44.392678,0,-9
44.422377,1,-7
44.460663,0,-3
44.499009,2,7
44.528656,0,10
44.566977,1,7
44.605284,1,3
44.634928,2,0
44.673228,2,-4
44.711537,2,-9
44.741187,1,-6
44.77946,0,-10
44.817776,0,-8
