time,deltaX,deltaY
33.192168,7,-2
33.221818,8,-2
33.260075,12,1
33.298419,14,4
33.328074,9,0
33.366317,12,0
33.404655,12,1
33.434303,7,1
33.472578,12,-2
33.523235,14,-2
33.552966,9,0
33.591231,12,0
33.629649,12,3
33.660884,7,5
33.713421,12,19
33.751750,7,16
33.795106,3,8
33.833461,12,0
33.871813,2,-3
33.901491,8,-6
33.939812,0,3
33.978128,9,2
34.007814,3,12
34.046103,12,8
34.084457,6,7
34.114098,8,-1
34.152430,8,-2
34.190742,11,-1
34.220410,6,0
34.258690,15,5
34.297039,12,6
34.326728,14,3
34.365027,15,2
34.403352,20,-5
34.447108,14,-8
34.485465,14,-4
34.523850,16,1
34.553485,11,4
34.591787,15,4
34.630120,14,2
34.659776,11,0
34.698053,10,0
34.736357,13,1
34.765995,11,4
34.804270,9,7
34.842609,10,8
34.872253,11,3
34.910520,13,0
34.948854,11,-3
34.978479,9,-4
35.016753,11,-1
35.055055,11,-1
35.099507,15,1
35.137878,11,3
35.176229,18,-4
35.205880,9,-2
35.244201,13,-4
35.298190,17,-2
35.327871,9,-1
35.366190,15,2
35.404511,16,4
35.434174,1,3
35.472437,15,1
35.510749,15,-4
35.540392,2,1
35.578658,12,-1
35.616993,12,4
35.646607,1,3
35.684886,0,0
35.723204,0,-1
35.752836,0,0
35.791101,-1,-2
35.829431,-4,-2
35.859067,0,0
35.897320,-2,-1
35.935638,-13,-1
35.965311,5,1
36.003610,16,0
36.041933,14,8
36.071582,7,0
36.125684,18,1
36.164046,10,0
36.193836,10,-3
36.232143,12,2
36.270458,11,3
36.300107,8,0
36.338410,13,5
36.376709,9,3
36.422245,11,2
36.460636,12,4
36.498961,11,5
36.528632,5,3
36.566919,13,1
36.605240,12,0
36.634899,10,-2
36.673228,11,-3
36.711526,14,-3
36.741192,6,0
36.779462,8,2
36.817722,9,4
36.847375,7,2
36.885655,9,2
36.924030,7,1
36.953673,6,-1
36.991955,8,-2
37.046502,12,2
37.076205,7,2
37.114486,8,1
37.152778,7,-1
37.182410,7,-2
37.220686,8,0
37.258975,9,0
37.288664,9,0
37.326948,9,3
37.365237,11,3
37.394874,8,1
37.433138,10,-1
37.471445,9,-3
37.501079,7,-3
