time,deltaX,deltaY
37.193296,797,-417
37.222981,1,-3
37.261271,0,-4
37.299564,0,-2
37.329180,0,2
37.367440,0,1
37.405713,0,2
37.435357,0,3
37.473637,0,0
37.511914,1,0
37.541555,2,1
37.579845,0,1
37.618109,1,0
37.647762,1,1
37.686032,0,1
37.724300,2,6
37.753968,1,6
37.792240,2,7
37.830517,2,8
37.860160,1,2
37.898428,2,1
37.936693,1,-1
37.966348,0,0
38.004625,1,0
38.042900,0,-1
38.072554,0,0
38.124578,0,1
38.162925,0,3
38.192564,0,0
38.230837,0,0
38.269113,0,-1
38.298712,0,1
38.337005,0,5
38.375260,3,7
38.404860,0,1
38.443116,1,0
38.495298,0,-7
38.524984,1,-2
38.563249,1,0
38.601515,2,9
38.631153,4,17
38.669444,5,23
38.707724,8,15
38.737379,6,1
38.775675,11,-5
38.813982,9,-16
38.843636,6,-13
38.881971,8,-17
38.920255,7,-9
38.949876,5,-2
38.988186,6,-2
39.026453,5,-2
39.055895,3,-1
39.108419,5,-1
39.146692,2,1
39.176314,0,1
39.214646,2,1
39.252935,0,3
39.282572,1,8
39.320876,1,9
39.359186,5,12
39.388819,2,6
39.427120,4,3
39.465412,6,-2
39.495029,5,-3
39.533318,5,-1
39.571612,2,2
39.601246,4,3
39.639531,7,1
39.677823,4,0
39.707421,8,-4
39.745713,8,-4
39.799249,16,-11
39.829004,8,-6
39.867306,13,-4
39.921154,19,-7
39.950828,12,-3
39.989149,11,0
40.027441,7,6
40.057083,8,2
40.095361,9,-6
40.133649,8,-7
40.163312,7,0
40.201629,8,6
40.239924,7,5
40.269598,9,7
40.307901,10,8
40.346216,9,7
40.375884,8,0
40.414158,15,-5
40.452452,12,-17
40.482120,10,-13
40.520436,16,-13
40.558719,15,-4
40.588402,9,1
40.626683,14,4
40.664992,11,13
40.694667,7,8
40.732975,11,1
40.771256,12,-8
40.800933,7,-8
40.854966,11,-13
40.893315,6,3
40.923012,4,12
40.961306,4,22
40.999622,4,14
41.029290,5,9
41.067592,5,4
41.121836,11,1
41.151584,5,-2
41.189911,10,-7
41.228232,9,-10
41.257904,10,-5
41.296246,11,1
41.334521,16,2
41.364202,12,1
41.402510,9,6
41.440823,7,15
41.470488,7,9
41.508813,8,-1
41.547096,11,-15
41.576813,8,-13
41.615136,9,-8
41.653438,8,-2
41.683083,9,0
41.721386,10,0
41.771016,10,4
41.800725,8,3
41.839036,8,0
41.877306,11,-6
41.906990,9,-6
41.945280,12,-5
41.983580,10,-3
42.013211,10,-4
42.051512,13,-4
42.089828,11,-4
42.119473,9,0
42.157756,10,9
42.196033,9,10
42.225665,10,4
42.263964,13,-1
42.302253,13,-5
42.331918,8,-4
42.370228,12,-5
42.408506,12,-2
42.435612,7,-1
42.488113,15,-2
42.526429,9,-2
42.556084,9,-4
42.594389,10,-3
42.632678,11,-3
42.662336,8,-3
42.712466,16,1
42.750827,13,3
42.780475,11,0
42.818783,12,-5
42.857089,5,-3
42.886752,0,0
42.925047,0,0
42.963331,0,0
42.992996,0,0
43.031286,0,0
43.069584,0,0
43.099226,0,0
43.137521,0,0
43.175825,8,-1
43.205482,7,0
43.243788,8,6
43.282069,9,10
43.311776,5,6
43.350072,8,7
43.388340,9,-5
43.417999,7,-5
43.456304,2,-3
43.494609,0,0
43.524285,0,0
43.562593,0,0
43.612867,0,0
43.642595,0,0
43.680935,0,0
43.719228,0,0
43.748011,0,0
43.800545,0,0
43.838843,4,10
43.868519,3,5
43.906864,2,-1
43.945169,2,-5
43.974840,2,-6
44.013163,5,0
44.051445,2,9
44.081110,1,12
44.119465,2,17
44.157769,1,16
44.187453,0,11
44.225789,2,12
44.264095,2,4
44.293810,1,0
44.332137,1,-8
44.370439,1,-9
44.400102,0,-3
44.455145,0,0
44.493517,4,3
44.523184,-3,2
44.561486,-16,-1
44.599822,0,2
44.629479,0,8
44.667814,0,10
44.706111,5,10
44.735794,4,3
44.774095,6,-1
44.812412,6,-4
44.842062,3,-1
44.880360,5,-1
44.918643,3,0
44.948281,1,2
45.000347,6,2
45.038707,4,-5
45.068402,3,-6
45.106722,7,-8
45.145021,8,-5
45.174660,5,-3
45.212987,6,-3
45.265431,8,8
45.295126,5,8
45.333462,6,-1
45.371760,6,-11
45.401437,6,-9
45.439756,7,-4
45.478034,6,5
45.507680,4,10
45.546018,3,4
45.584294,2,-1
45.613984,3,-2
45.652293,6,-2
45.690599,5,-3
45.720272,5,-10
45.758602,6,-12
45.796912,6,-5
45.826579,6,1
45.864882,9,3
45.903186,7,0
45.932842,7,1
45.971156,11,7
46.009445,12,10
46.054369,11,6
46.092736,11,5
46.131049,10,0
46.160714,9,-3
46.199052,7,-3
46.237321,6,0
46.266981,8,4
46.305282,7,5
46.359104,12,7
46.388791,5,1
46.427095,7,0
46.465408,7,-3
46.495082,4,-3
46.533418,4,-2
46.571694,7,0
46.601339,3,-1
46.639659,6,-4
46.677956,8,-5
46.707615,6,-4
46.745934,9,0
46.784224,9,5
46.813870,8,2
46.852192,12,-5
46.906231,8,-5
46.935956,6,3
46.974254,9,6
47.012530,6,-1
47.042189,6,-10
47.080480,8,-13
47.118813,6,-9
47.148443,2,0
47.186713,0,0
47.225015,0,0
47.254632,0,0
47.309091,0,0
47.347430,0,0
47.377086,0,0
47.415389,0,0
47.453669,0,0
47.483382,0,0
47.521668,0,0
47.559990,4,1
47.589661,7,-1
47.627989,5,-8
47.677657,0,-1
47.707386,0,0
47.745690,0,0
47.783999,0,0
47.813660,0,0
47.863579,0,0
47.901933,0,0
47.931614,0,0
47.969918,0,0
48.008224,0,0
48.037881,0,0
48.076179,0,0
48.114460,0,0
48.144100,0,0
48.182422,0,0
48.220706,0,0
48.250362,0,0
48.288656,0,0
48.326949,0,0
48.356586,0,0
48.394897,0,0
48.433202,0,0
48.462853,0,0
48.501149,0,0
48.539433,0,0
48.569082,0,0
48.607402,0,0
48.645676,0,0
48.675311,0,0
48.725434,0,0
48.763806,0,0
48.793480,0,0
48.831795,0,0
48.870095,0,0
48.899780,0,0
48.938074,0,0
48.988520,0,0
49.018249,0,0
49.056560,0,0
49.094856,0,0
49.124512,0,0
49.162856,0,0
49.201138,0,0
49.230812,0,0
49.269123,0,0
49.307425,0,0
49.337096,0,0
49.375436,0,0
49.413712,0,0
49.443387,1,-4
49.481699,2,-10
49.520018,1,-9
49.549673,1,-9
49.601280,2,-13
49.639633,1,-1
49.669322,0,0
49.707643,0,0
49.745937,0,0
49.775596,0,0
49.813915,0,0
49.852224,0,0
49.881883,0,0
49.920196,0,0
49.958478,0,0
49.988169,0,0
50.026460,0,0
50.064737,0,0
50.094378,0,0
50.132663,0,0
50.170973,0,0
50.200605,0,0
50.238908,0,0
50.290750,0,0
50.320465,0,0
50.358754,0,0
50.397039,0,0
50.440439,0,0
50.478834,0,0
50.517168,0,0
50.546831,0,0
50.585129,0,0
50.623433,0,0
50.653096,0,0
50.691425,0,0
50.729711,0,0
50.759339,0,0
50.797648,0,0
50.835949,0,0
50.865586,0,0
50.903894,0,0
50.942217,0,0
50.971875,0,0
51.010178,0,0
51.048464,0,0
51.078111,0,0
51.116445,0,0
51.154734,0,0
51.184395,0,0
51.222703,0,0
51.261018,0,0
51.290480,0,0
51.343042,0,0
51.381330,0,0
51.410976,0,0
51.449280,0,0
51.487596,0,0
51.517254,0,0
51.555553,0,0
51.609119,0,0
51.638811,0,0
51.677132,0,0
51.715440,0,0
51.745074,0,0
51.783345,0,0
51.821634,0,0
51.851296,0,0
51.889631,0,0
51.927935,0,0
51.957584,0,0
51.995910,0,0
52.034235,0,0
52.065458,0,0
52.118015,0,0
52.156295,0,0
52.185953,0,0
52.224262,0,0
52.262546,0,0
52.292191,0,0
52.330493,0,0
52.368808,0,0
52.398428,0,0
52.436731,0,0
52.475031,0,0
52.504648,0,0
52.542965,0,0
52.581249,0,0
52.610879,0,0
52.649202,0,0
52.687502,0,0
52.717142,0,0
52.755465,0,0
52.809676,0,0
52.839394,0,0
52.877716,0,0
52.916032,0,0
52.947457,0,0
53.000045,0,0
53.038341,0,0
53.068014,0,0
53.106323,0,0
53.144647,0,0
53.174321,0,0
53.212664,0,0
53.250970,0,0
53.280602,0,0
53.318926,0,0
53.357236,0,0
53.386871,0,0
53.425203,0,0
53.463498,0,0
53.493123,0,0
53.543005,0,0
53.581335,0,0
53.611007,0,0
53.649307,0,0
53.687624,0,0
53.717270,0,0
53.755573,0,0
53.793887,0,0
53.823542,0,0
53.861862,0,0
53.900165,0,0
53.929781,0,0
53.968078,0,0
54.006394,0,0
54.036022,0,0
54.074312,0,0
54.112622,0,0
54.142251,0,0
54.180539,0,0
54.218846,0,0
54.245869,0,0
54.310338,0,0
54.348671,0,0
54.378372,0,0
54.416675,0,0
54.455001,0,0
54.484637,0,0
54.522956,0,0
54.561247,0,0
54.590885,0,0
54.629218,0,0
54.667507,0,0
54.697166,0,0
54.735481,0,0
54.773779,0,0
54.803425,0,0
54.841734,0,0
54.880034,0,0
54.909673,0,0
54.947999,0,0
54.986280,0,0
55.015954,0,0
55.066384,0,0
55.104735,0,0
55.134421,0,0
55.172734,0,0
55.211039,0,0
55.240683,0,0
55.279001,0,0
55.317297,0,0
55.346978,0,0
55.385290,0,0
55.423624,0,0
55.453288,0,0
55.491620,0,0
55.543132,0,0
55.572867,0,0
55.611203,0,0
55.649500,0,0
55.679187,0,0
55.717501,0,0
55.755832,0,0
55.785490,0,0
55.837503,0,0
55.875881,0,0
55.905581,0,0
55.943881,0,0
55.982219,0,0
56.011867,0,0
56.050169,0,0
56.088464,0,0
56.118118,0,0
56.156451,0,0
56.194747,0,0
56.224393,0,0
56.262677,0,0
56.300988,0,0
56.330650,0,0
56.368971,0,0
56.407264,0,0
56.436929,0,0
56.475256,0,0
56.513549,0,0
56.543203,0,0
56.595378,0,0
56.633722,0,0
56.663402,0,0
56.701706,0,0
56.740027,0,0
56.769669,0,0
56.821882,0,0
56.860258,0,0
56.889932,0,0
56.928254,0,0
56.966528,0,0
56.996174,0,0
57.034476,0,0
57.072766,0,0
57.102409,0,0
57.140696,0,0
57.178976,0,0
57.208629,0,0
57.246949,0,0
57.285239,0,0
57.314878,0,0
57.353176,0,0
57.406869,0,0
57.436588,0,0
57.474932,0,0
57.513222,0,0
57.542880,0,0
57.581195,0,0
57.619460,0,0
57.649110,0,0
57.687451,0,0
57.725715,0,0
57.755378,0,0
57.793680,0,0
57.831986,0,0
57.861604,0,0
57.899929,0,0
57.953831,0,0
57.983518,0,0
58.021852,0,0
58.060141,0,0
58.089794,0,0
58.143775,0,0
58.198307,0,0
58.227975,0,0
58.266280,0,0
58.304586,0,0
58.334225,0,0
58.372527,0,0
58.410841,0,0
58.440463,0,0
58.478763,0,0
58.517058,0,0
58.546701,0,0
58.585019,0,0
58.623303,0,0
58.652977,0,0
58.691267,0,0
58.729586,0,0
58.759202,0,0
58.797491,0,0
58.835791,0,0
58.865427,0,0
58.903722,0,0
58.942026,0,0
58.969048,0,0
59.021631,0,0
59.059926,0,0
59.089576,0,0
59.127874,0,0
59.166178,0,0
59.195826,0,0
59.234127,0,0
59.272437,0,0
59.302092,0,0
59.340438,0,0
59.378732,0,0
59.408388,0,0
59.458426,0,0
59.496826,0,0
59.526497,0,0
59.564847,0,0
59.603143,0,0
59.632816,0,0
59.671128,0,0
59.709437,0,0
59.736849,0,0
59.789432,0,0
59.827716,0,0
59.857389,0,0
59.895690,0,0
59.934009,0,0
59.963663,0,0
60.001971,0,0
60.040260,0,0
60.069947,0,0
60.108252,0,0
60.146542,0,0
60.176204,0,0
60.214496,0,0
60.252821,0,0
60.282473,0,0
60.320766,0,0
60.359062,0,0
60.388710,0,0
60.427039,0,0
60.465321,0,0
60.494984,0,0
60.545492,0,0
60.583852,0,0
60.613575,0,0
60.651904,0,0
60.690233,0,0
60.733113,0,0
60.771489,0,0
60.809834,0,0
60.839522,0,0
60.877870,0,0
60.916191,0,0
60.945870,0,0
60.984192,0,0
61.022498,0,0
61.052195,0,0
61.090507,0,0
61.128852,0,0
61.158520,0,0
61.196860,0,0
61.248851,0,0
61.278560,0,0
61.316884,0,0
61.355213,0,0
61.384865,0,0
61.423157,0,0
61.461470,0,0
61.491101,0,0
61.529441,0,0
61.567747,0,0
61.597380,0,0
61.635675,0,0
