time,deltaX,deltaY
38.175478,1630,502
38.205164,-4,0
38.243454,2,-4
38.281721,-3,0
38.311364,0,0
38.349647,0,0
38.387936,1,0
38.417586,2,2
38.455882,1,7
38.494183,2,1
38.523807,1,0
38.562091,5,-1
38.600406,4,-2
38.630035,3,0
38.668330,2,3
38.706621,3,4
38.736261,2,2
38.774544,3,0
38.812834,2,-1
38.842461,2,-2
38.880745,0,0
38.919018,0,0
38.949953,0,-1
39.002441,-1,-2
39.040709,0,0
39.070320,0,1
39.108644,-1,4
39.146929,0,4
39.176575,2,2
39.214872,2,3
39.253132,2,5
39.282737,2,4
39.321037,4,2
39.359290,3,3
39.388915,4,1
39.427220,6,0
39.481104,7,-3
39.510825,4,-5
39.549130,7,-7
39.587422,7,-8
39.617039,4,-2
39.655324,8,0
39.693621,4,5
39.723274,6,2
39.779501,8,1
39.817851,6,-4
39.847543,4,-4
39.885863,9,-4
39.924152,5,-1
39.953807,8,2
39.992089,6,6
40.030396,14,4
40.060033,5,2
40.098317,13,4
40.136624,11,3
40.166270,10,3
40.204567,15,3
40.242852,13,1
40.272452,12,0
40.310746,12,-1
40.349034,14,-1
40.378650,13,-2
40.416962,12,-3
40.455238,14,-5
40.484869,11,-7
40.523194,13,-9
40.561483,17,-10
40.593137,14,-5
40.645641,24,-8
40.683950,17,-7
40.713584,13,-3
40.751897,18,-5
40.790212,21,-4
40.817128,12,-1
40.869654,27,0
40.907960,18,2
40.937611,14,1
40.975947,18,0
41.014240,19,-3
41.043886,14,-2
41.082245,20,-2
41.121076,18,0
41.150697,12,0
41.189042,17,1
41.227320,18,0
41.256985,15,-2
41.295293,13,-2
41.333597,17,-4
41.363269,14,-3
41.413329,21,-3
41.451674,18,0
41.481330,12,2
41.519662,18,7
41.557974,18,7
41.587613,16,5
41.625954,15,5
41.664235,16,5
41.693893,13,5
41.732244,15,4
41.770525,17,0
41.800177,15,-4
41.838496,15,-4
41.876793,13,-4
41.906438,11,-2
41.944747,0,0
41.983021,0,0
42.012639,0,0
42.050950,0,0
42.101125,0,0
42.130821,0,0
42.169138,0,0
42.207433,0,0
42.249195,0,0
42.287561,0,0
42.325868,0,0
42.355505,0,0
42.393842,0,0
42.432128,0,0
42.461807,0,0
42.500124,0,0
42.538424,0,0
42.568091,0,0
42.606435,0,0
42.644722,0,0
42.674396,0,0
42.712705,0,0
42.751015,0,0
42.780670,0,0
42.818993,0,0
42.857276,0,0
42.886979,0,0
42.925277,0,0
42.963582,0,0
42.993254,0,0
43.031563,0,0
43.083252,0,0
43.112978,0,0
43.151297,0,0
43.189612,0,0
43.219277,0,0
43.257580,0,0
43.295871,3,4
43.325525,2,6
43.377573,5,5
43.415946,4,-2
43.445617,5,-1
43.483950,6,0
43.522243,10,1
43.551916,5,0
43.590254,12,-3
43.628545,7,-5
43.658212,5,-6
43.696543,5,-4
43.734849,6,-2
43.764512,9,-2
43.802861,4,-1
43.841171,0,0
43.884777,0,0
43.923169,0,0
43.961477,0,0
43.991155,0,0
44.029467,0,2
44.067753,3,14
44.097410,1,7
44.135729,1,4
44.174015,1,0
44.203665,2,-3
44.242009,1,-5
44.280282,1,-3
44.309978,1,-1
44.348292,0,1
44.386589,0,0
44.416252,0,-1
44.454564,0,5
44.492848,9,-2
44.522505,3,0
44.560854,6,-4
44.599128,8,-9
44.642952,12,-17
44.700061,11,-18
44.738445,7,-9
44.768138,8,-1
44.806459,6,2
44.844759,9,8
44.874406,6,12
44.912721,7,15
44.951018,4,17
44.980667,4,13
45.018991,4,10
45.057273,5,5
45.086938,5,5
45.125256,7,6
45.163533,8,7
45.193184,5,7
45.231481,13,9
