time,deltaX,deltaY
18.896939,-5,-11
18.926614,0,-5
18.964893,0,-1
19.003213,0,1
19.032839,0,1
19.071098,1,5
19.109416,3,3
19.139023,1,9
19.177267,0,3
19.215528,-3,2
19.245147,0,5
19.283419,1,5
19.321686,2,-2
19.351313,0,-3
19.389606,-1,-1
19.427890,-1,0
19.457509,0,0
19.495771,2,0
19.534035,0,0
19.563601,-1,0
19.601874,-1,0
19.640152,0,-1
19.669763,1,0
19.708009,0,0
19.746250,0,0
19.775855,-1,0
19.829569,1,0
19.867948,0,0
19.897564,0,0
19.935828,-1,0
19.974131,0,0
20.003742,1,0
20.041977,0,0
20.080240,0,0
20.109827,0,0
20.148089,0,0
20.202069,0,-2
20.231806,0,-8
20.270098,-3,-2
20.308434,0,4
20.338083,1,3
20.376350,1,0
20.414641,0,0
20.444274,-1,-4
20.482541,0,-3
20.520844,0,-2
20.550463,0,-1
20.588731,-1,0
20.627035,0,2
20.656673,0,5
20.694960,0,4
20.733252,0,1
20.764653,0,0
20.817098,1,0
20.855395,0,-1
20.884986,0,-5
20.923259,1,-1
20.961545,0,7
20.991182,-1,11
21.029461,-1,-8
21.067752,1,-16
21.097400,1,-12
21.135691,-2,8
21.173998,0,9
21.203623,0,5
21.241914,-3,14
21.280234,0,3
21.309868,-2,7
21.348141,0,-3
21.386435,-2,-2
21.416060,-1,0
21.454319,0,0
21.508740,-2,3
21.538433,0,1
21.576719,0,1
21.615027,-1,1
21.644670,-2,2
21.682962,-1,0
21.732692,-3,1
21.762375,-1,0
21.800658,-2,0
21.838974,-3,1
21.868597,-1,-2
21.906890,-2,-4
21.945204,-3,-10
21.974869,4,0
22.013136,7,0
22.051430,5,0
22.081084,10,2
22.119372,10,-2
22.157665,10,-4
22.187336,8,-4
22.225629,9,-3
22.263908,7,-6
22.293576,7,-8
22.331856,6,-17
22.370165,7,-15
22.399834,2,-8
22.438106,4,-6
22.476426,2,-4
22.506090,1,2
22.544383,2,1
22.582649,0,-9
22.612325,0,-7
22.662333,4,-8
22.700701,0,2
22.730398,-1,-1
22.768676,2,-15
22.818914,1,-24
22.848639,2,-12
22.886958,0,-18
22.925261,2,-16
22.954986,0,-5
22.993279,2,-6
23.031590,0,-7
23.061273,3,-5
23.099576,4,-20
23.137897,-1,-28
23.167597,-3,-18
23.205917,-2,-22
23.244240,-2,-14
23.273935,0,-10
23.312245,-4,-22
23.350544,-2,-28
23.380257,-5,-20
23.418551,-2,-16
23.456862,-7,-16
23.486588,0,-10
23.524909,-4,-11
23.563242,-1,-17
23.590951,-3,-13
23.643475,-3,-28
23.681812,-5,-19
23.711470,-2,-16
23.749795,-5,-9
23.788106,-2,-12
23.817813,-1,-9
23.856100,0,-16
23.894431,0,-15
23.924110,0,-16
23.962434,5,-19
24.000733,1,-16
24.030411,0,-20
24.068712,2,-21
24.120501,6,-24
24.150225,2,-8
24.188520,4,-16
24.226846,5,-13
24.256522,4,-9
24.294842,7,-17
24.333138,10,-16
24.362826,6,-13
24.401144,11,-18
24.439454,7,-14
24.469141,6,-7
24.507445,6,-5
24.559484,11,0
24.589201,7,-3
24.627499,10,-6
24.665829,9,-10
24.695511,11,-15
24.733839,8,-14
24.772156,15,-13
24.801833,7,-11
24.840138,13,-11
24.878442,13,-7
24.908108,11,-9
24.946434,20,-18
24.984743,12,-17
25.014404,18,-21
25.052708,13,-12
25.091019,21,-10
25.120686,10,-3
25.158991,24,-5
25.197294,18,0
25.226980,15,0
25.265267,19,1
25.303596,25,2
25.333297,14,1
25.385546,35,0
25.423940,24,-4
25.453615,20,-4
25.491932,22,-12
25.577136,41,-17
25.606864,18,-3
25.645211,10,5
25.683505,20,-3
25.713181,14,-3
25.751469,19,-9
25.789778,18,-9
25.819464,19,-8
25.857782,15,-2
25.896092,20,-1
25.925790,14,0
25.964095,19,-4
26.002419,12,-6
26.032098,14,-4
26.070421,14,-11
26.108718,13,-3
26.138405,9,-5
26.176694,8,-3
26.215000,11,-5
26.244672,2,-2
26.282985,8,-1
26.321253,6,-1
26.350931,8,0
26.389228,7,-3
26.427502,11,-2
26.457188,4,-4
26.495475,11,0
26.552345,10,-8
26.582121,3,-8
26.620435,0,-17
26.658729,1,-17
26.704038,-1,-16
26.742448,0,-2
26.780738,-3,3
26.810439,-1,3
26.848741,-2,11
26.887047,-3,9
26.916739,-4,7
26.955038,-4,5
26.993313,-3,7
27.023013,-4,7
27.061311,-1,16
27.099628,-5,19
27.129325,-1,15
27.167651,-2,12
27.205979,-1,-2
27.235649,0,-6
27.273963,-3,-13
27.312259,-1,-9
27.341941,-1,-4
27.380248,-1,-1
27.418532,0,3
27.463983,0,0
27.502320,0,1
27.540630,1,0
27.570268,1,-3
27.608552,3,-4
27.646853,8,-14
27.676510,5,-14
27.714844,6,-14
27.753162,3,-7
27.782809,2,-3
27.821101,5,-9
27.859417,5,-8
27.889072,4,2
27.927354,5,11
27.965647,2,19
28.011400,4,14
28.049773,4,-5
28.088062,1,-22
28.117787,-1,-21
28.156117,0,-18
28.194434,-3,-10
28.224099,-1,0
28.262437,-3,7
28.300726,-5,10
28.330430,-3,8
28.380223,-3,7
28.418600,0,0
28.448263,0,-7
28.486549,0,-10
28.524860,3,-19
28.554565,1,-20
28.592865,10,-23
28.642999,7,-1
28.672685,9,17
28.711002,7,20
28.749280,8,17
28.778974,6,11
28.817258,7,9
28.855531,7,9
28.885197,6,4
28.923481,4,13
28.961814,4,10
28.991481,3,8
29.029777,1,13
29.068084,1,9
29.097716,1,5
29.136027,4,-1
29.174291,2,-6
29.203983,5,-3
29.242275,3,-5
29.292469,4,-11
29.334297,3,0
29.372671,1,1
29.410965,1,1
29.440627,1,3
29.478943,1,1
29.517225,4,0
29.546865,3,-1
29.585159,5,-4
29.623448,6,-3
29.653096,7,-1
29.691425,8,3
29.729692,6,4
29.759319,2,2
29.797640,3,0
29.835919,3,1
29.865547,2,0
29.903860,3,0
29.942126,0,0
29.971782,1,0
30.010072,1,3
30.048340,0,0
30.077977,0,0
30.116265,2,0
30.167914,4,-7
30.197615,1,-4
30.235931,4,-9
30.274229,3,-2
30.303847,3,0
30.342132,2,3
30.380421,3,6
30.410091,2,4
30.448402,4,7
30.486680,1,1
30.516312,3,1
30.554628,4,2
30.592913,2,8
30.636218,6,3
30.674608,6,11
30.712912,4,3
30.742592,6,1
30.780906,10,8
30.819215,11,0
30.848892,8,-2
30.887224,9,-2
30.925496,11,0
30.955173,8,2
31.007317,17,5
31.045650,11,1
31.075337,9,0
31.113652,17,0
31.151959,16,0
31.181596,11,0
31.219912,18,0
31.258208,17,2
31.287841,16,2
31.326150,15,2
31.364436,14,2
31.394082,16,4
31.432416,15,7
31.470701,17,8
31.500325,16,2
31.538662,15,2
31.576960,21,3
31.606602,20,0
31.644925,20,4
31.683227,18,10
31.712875,21,8
31.751187,26,0
31.789472,23,-4
31.819008,20,-7
31.871578,33,-10
31.909898,28,-3
31.939559,15,-1
31.993306,30,-2
32.031672,22,2
32.061335,19,6
32.099668,18,6
32.137991,22,9
32.167632,20,5
32.205949,23,2
32.244236,21,1
32.273878,24,2
32.312229,29,-3
32.350535,20,2
32.380212,17,11
32.418539,25,12
32.456857,22,2
32.486509,14,-1
32.524865,20,-2
32.563176,25,0
32.592829,16,0
32.646854,31,1
