time,type,distance
30.450032,R,X
30.488324,U,1941
30.502528,D,669
30.517927,L,768
30.556261,R,X
30.594565,U,1947
30.622413,D,687
30.637895,L,771
30.676239,R,X
30.714557,U,1959
30.728791,D,711
30.744208,L,777
30.782531,R,X
30.820869,U,1952
30.835093,D,705
30.850516,L,787
30.888842,R,X
30.927132,U,1939
30.941365,D,725
30.95679,L,779
31.009,R,X
31.047334,U,1949
31.061564,D,732
31.076953,L,793
31.115293,R,X
31.15361,U,1889
31.167816,D,732
31.183214,L,786
31.221536,R,X
31.259867,U,1932
31.274067,D,718
31.289463,L,796
31.327778,R,X
31.366089,U,1920
31.380295,D,742
31.395703,L,800
31.434057,R,X
31.472346,U,1896
31.48656,D,742
31.501957,L,791
31.540295,R,X
31.578614,U,1932
31.592821,D,747
31.608219,L,788
31.646569,R,X
31.684885,U,1910
31.699095,D,762
31.714491,L,793
31.752826,R,X
31.791131,U,1890
31.820697,D,767
31.834943,L,769
31.873222,R,X
31.911546,U,1877
31.925765,D,780
31.956607,L,772
31.995007,R,X
32.033314,U,1897
32.047549,D,766
32.062973,L,768
32.101306,R,X
32.139641,U,1866
32.15386,D,774
32.169246,L,755
32.207573,R,X
32.245868,U,1887
32.260083,D,778
32.275518,L,755
32.313876,R,X
32.352199,U,1890
32.366425,D,797
32.381852,L,760
32.420182,R,X
32.458498,U,1853
32.472722,D,802
32.488142,L,753
32.526504,R,X
32.564824,U,1854
32.579038,D,780
32.59446,L,761
32.64853,R,X
32.686905,U,1858
32.701116,D,808
32.716535,L,761
32.754886,R,X
32.793198,U,1841
32.807408,D,807
32.822834,L,772
32.861152,R,X
32.899488,U,1833
32.913691,D,813
32.929118,L,764
32.967468,R,X
33.005782,U,1841
33.020007,D,818
33.035433,L,764
33.073756,R,X
33.112077,U,1840
33.126296,D,814
33.141708,L,775
33.180048,R,X
33.218352,U,1833
33.232577,D,817
33.2639,L,777
33.302296,R,X
33.340662,U,1816
33.354883,D,797
33.370284,L,773
33.424831,R,X
33.463193,U,1814
33.477399,D,802
33.492822,L,784
33.531146,R,X
33.569497,U,1833
33.583716,D,802
33.599134,L,780
33.637496,R,X
33.675811,U,1835
33.69003,D,816
33.705451,L,778
33.743775,R,X
33.782106,U,1839
33.796323,D,801
33.811732,L,771
33.850086,R,X
33.888387,U,1871
33.902602,D,816
33.918032,L,776
33.956344,R,X
33.994676,U,1824
34.008886,D,785
34.024296,L,765
34.062618,R,664
34.10093,U,1859
34.115163,D,782
34.130578,L,773
34.168914,R,X
34.218701,U,1827
34.232943,D,785
34.248341,L,780
34.28667,R,X
34.324974,U,1841
34.339187,D,779
34.354597,L,770
34.392923,R,X
34.431246,U,1838
34.445467,D,807
34.460878,L,785
34.499194,R,X
34.537503,U,1827
34.551705,D,756
34.567108,L,779
34.617168,R,X
34.655549,U,1850
34.669792,D,774
34.685204,L,777
34.72354,R,X
34.76187,U,1863
34.776097,D,785
34.791529,L,790
34.829885,R,X
34.868201,U,1843
34.882416,D,779
34.897841,L,790
34.936164,R,X
34.974505,U,1865
35.002042,D,759
35.016279,L,780
35.054548,R,X
35.092891,U,1869
35.107108,D,791
35.122525,L,789
35.160879,R,X
35.199178,U,1858
35.213391,D,768
35.228809,L,790
35.267125,R,956
35.305487,U,1860
35.319699,D,798
35.335102,L,807
35.373433,R,917
35.411757,U,1869
35.425985,D,766
35.441407,L,793
35.479717,R,956
35.518065,U,1870
35.532276,D,766
35.547677,L,802
35.585987,R,942
35.624311,U,1868
35.638527,D,792
35.653943,L,804
35.692286,R,964
35.730604,U,1872
35.744818,D,801
35.772479,L,357
35.810867,R,X
35.849182,U,1872
35.863407,D,771
35.878817,L,354
35.930606,R,X
35.968955,U,1870
35.983197,D,780
35.998599,L,361
36.036919,R,X
36.075265,U,1877
36.089501,D,769
36.10493,L,349
36.143269,R,X
36.181604,U,1897
36.195828,D,797
36.211243,L,354
36.249569,R,X
36.2879,U,1887
36.302126,D,797
36.317558,L,351
36.3559,R,X
36.394208,U,1868
36.408434,D,797
36.423851,L,800
36.462182,R,X
36.500501,U,1869
36.514712,D,782
36.530117,L,805
36.568479,R,661
36.620591,U,1840
36.634819,D,774
36.650201,L,828
36.688526,R,X
36.726867,U,1849
36.741074,D,806
36.756485,L,845
36.794794,R,X
36.833107,U,1837
36.847336,D,775
36.862746,L,835
36.9011,R,X
36.939438,U,1839
36.953661,D,789
36.96908,L,840
37.007417,R,X
37.045724,U,1838
37.059977,D,814
37.075417,L,851
37.113727,R,671
37.152079,U,1828
37.166286,D,825
37.181683,L,825
37.220009,R,X
37.272257,U,1846
37.287793,D,827
37.302007,L,849
37.340282,R,X
37.378585,U,1830
37.392818,D,822
37.422425,L,834
37.460792,R,X
37.499109,U,1840
37.513326,D,800
